,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q3 2019,+5 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019",+5 Quarters
0,Cash & Equivalents,12774,12774,27459,-,15507,38151,37147,331534,337565,344141,311512,-,181342,80981,84146,-,-,-,-,171896,Upgrade
1,Trading Asset Securities,2015,2015,4309,-,7824,6835,4834,4194,3733,6069,5707,-,16701,331.03,316.61,-,-,-,-,150.96,Upgrade
2,Other Receivables,9854,6383,7717,-,12485,15761,12592,15713,6839,3435,34241,-,73322,132168,128028,-,-,-,-,25605,Upgrade
3,"Property, Plant & Equipment",23.59,23.59,35.38,-,47.17,53.07,58.97,64.86,70.76,-,-,-,-,-,-,-,-,-,-,1936,Upgrade
4,Other Intangible Assets,1402,1402,2251,-,3153,3605,4056,4507,4958,322.01,241.6,-,300.76,330.35,-,-,-,-,-,1741,Upgrade
5,Investments in Debt & Equity Securities,300391,300391,343876,-,337032,306717,306717,2669,7562,5025,5076,-,5075,55082,55085,-,-,-,-,55051,Upgrade
6,Other Current Assets,1704,1704,1066,-,1898,1192,2632,3588,2518,1998,684.09,-,577.99,176.27,292.43,-,-,-,-,423.58,Upgrade
7,Long-Term Deferred Tax Assets,570.41,570.41,-,-,359.95,557.84,957.85,1086,1197,729.76,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Other Long-Term Assets,39527,42998,44276,-,46081,46239,45125,45630,42740,43247,43745,-,124693,125017,125835,-,-,-,-,127107,Upgrade
9,Total Assets,368262,368262,430990,-,424389,419110,414120,408985,407183,404966,401206,-,402010,394085,393702,-,-,-,-,383911,Upgrade
10,Accounts Payable,330.05,330.05,316.47,-,390.63,390.63,379.4,264.15,221.62,1811,224.58,-,218.38,349.63,349.63,-,-,-,-,218.38,Upgrade
11,Accrued Expenses,2279,2279,2254,-,1322,1409,1284,1197,1741,1189,1562,-,2163,1556,1671,-,-,-,-,730.3,Upgrade
12,Other Current Liabilities,1041,1041,66006,-,-,9.25,-,-,-,40.83,0.87,-,1232,55.71,14.4,-,-,-,-,-,Upgrade
13,Long-Term Deferred Tax Liabilities,-,-,248.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Total Liabilities,4497,4497,69913,-,3757,3355,2914,2228,3206,4154,1913,-,4501,2230,2406,-,-,-,-,959.98,Upgrade
15,Common Stock,330000,330000,330000,-,330000,330000,330000,330000,330000,330000,330000,-,330000,330000,330000,-,-,-,-,330000,Upgrade
16,Retained Earnings,22005,22005,19317,-,80649,75773,71223,66775,63995,60829,59311,-,58338,52684,52125,-,-,-,-,44962,Upgrade
17,Comprehensive Income & Other,11760,11760,11760,-,9983,9983,9983,9983,9983,9983,9983,-,9171,9171,9171,-,-,-,-,7988,Upgrade
18,Shareholders' Equity,363765,363765,361076,420632,420632,415756,411206,406757,403977,400812,399293,397509,397509,391855,391296,-,-,-,-,382951,Upgrade
19,Total Liabilities & Equity,368262,368262,430990,-,424389,419110,414120,408985,407183,404966,401206,-,402010,394085,393702,-,-,-,-,383911,Upgrade
20,Net Cash (Debt),14789,14789,31768,23331,23331,44985,41981,335728,341298,350209,317219,198042,198042,81312,84463,-,-,-,-,172047,Upgrade
21,Net Cash Growth,-36.61%,-67.12%,-24.33%,-93.05%,-93.16%,-87.15%,-86.77%,69.52%,72.34%,330.70%,275.57%,-,-,-,-,-,-,-,-,-26.42%,Upgrade
22,Net Cash Per Share,448.17,512.97,710.02,627.71,708.21,1366.45,1274.06,8994.78,10407.14,10609.82,9607.51,5995.50,5808.13,2472.13,2533.70,-,-,-,-,5217.96,Upgrade
23,Filing Date Shares Outstanding,33,33,33,37.17,33,33,32.95,37.32,33,33.01,33.02,33.03,34.1,32.89,33.34,32.76,23.88,33.86,33.86,33,Upgrade
24,Total Common Shares Outstanding,33,33,33,37.17,33,33,32.95,37.32,33,33.01,33.02,33.03,34.1,32.89,33.34,32.76,23.88,33.86,33.86,33,Upgrade
25,Working Capital,21851,18380,-29113,-,33958,58584,54291,352800,347449,351488,350231,-,267441,211426,210377,-,-,-,-,197116,Upgrade
26,Book Value Per Share,11023.19,11023.19,10941.72,12746.42,12746.42,12598.67,12479.37,10897.81,12241.75,12142.85,12093.28,11658.05,11658.05,11913.62,11738.01,-,-,-,-,11604.57,Upgrade
27,Tangible Book Value,362362,362362,358826,417478,417478,412151,407150,402250,399019,400490,399052,397208,397208,391525,391296,-,-,-,-,381209,Upgrade
28,Tangible Book Value Per Share,10980.69,10980.69,10873.51,12650.86,12650.86,12489.44,12356.28,10777.05,12091.50,12133.10,12085.96,11649.23,11649.23,11903.57,11738.01,-,-,-,-,11551.81,Upgrade
