,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,924.45,791.35,718.1,-,832.27,847.51,789.25,541.34,541.34,952.64,1213,181.29,1358,852.6,1056,716.82,1172,1001,787.81,885.7,Upgrade
1,Other Revenue,-37.34,37.34,-,-,-22.4,22.4,-,13.02,13.02,39.64,-,137.43,-60.98,60.98,-,149.33,-101.13,101.13,-,162.05,Upgrade
2,Revenue,887.11,828.69,718.1,-,809.86,869.91,789.25,554.36,554.36,992.28,1213,318.72,1297,913.58,1056,866.14,1070,1102,787.81,1048,Upgrade
3,Revenue Growth (YoY),9.54%,-4.74%,-9.02%,-,46.09%,-12.33%,-34.92%,73.93%,-57.26%,8.62%,14.79%,-63.20%,21.18%,-17.13%,34.10%,-17.33%,-13.24%,-3.92%,-14.91%,10.40%,Upgrade
4,Cost of Revenue,710.58,690,570.75,-,644.69,706.14,655.49,455.92,455.92,863.02,1090,227.08,1169,791.79,942.66,768.21,903.61,950.82,717.91,915,Upgrade
5,Gross Profit,176.52,138.69,147.34,-,165.18,163.77,133.76,98.44,98.44,129.26,122.92,91.64,128.35,121.79,113.77,97.93,166.77,151.54,69.9,132.74,Upgrade
6,"Selling, General & Admin",77.93,73.84,70.1,-,75.49,74.57,73.25,99.69,99.69,65.16,62.72,156.82,68.54,61.94,62.48,85.93,72.66,59.88,50.4,84.86,Upgrade
7,Research & Development,39.03,41,32.42,-,41.4,34.85,35.9,43.9,43.9,35.54,43.09,37.39,42.15,44.32,45.9,41.24,35.72,36.39,33.64,43.07,Upgrade
8,Other Operating Expenses,5.04,7.22,3.56,-,3.57,-7.89,-9.66,11.57,11.57,-0.52,-2.47,5.13,2.08,-6.95,-5.65,35.85,-4.87,-15.24,-1.87,21.7,Upgrade
9,Operating Expenses,134.63,121.67,112.88,-,123.69,99.38,106.97,156.98,156.98,101.41,101.94,203.43,110.88,102.63,99.43,162.85,105.2,90.24,78.15,178.93,Upgrade
10,Operating Income,41.89,17.02,34.46,-,41.49,64.39,26.79,-58.53,-58.53,27.85,20.97,-111.79,17.48,19.16,14.34,-64.92,61.57,61.3,-8.25,-46.18,Upgrade
11,Interest Expense,-16.4,-13.28,-14.15,-,-11.1,-5.78,-6.46,-17.48,-17.48,-8.62,-8.88,-36.69,-,-8.77,-9.94,-18.37,-14.02,-18.71,-12.79,-24.01,Upgrade
12,Interest & Investment Income,113.92,124.31,94.07,-,99.19,105.73,92.97,111.54,111.54,105.76,75.29,123.07,96.94,100.35,78.69,113.93,71.67,123.97,0.49,86.39,Upgrade
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-45.11,45.11,-,Upgrade
14,Currency Exchange Gain (Loss),-1.77,1.77,-,-,-7.74,7.74,-,3.88,3.88,11.14,-,-8.46,4.17,-4.17,-,-18,-2.55,2.55,-,5.09,Upgrade
15,Other Non Operating Income (Expenses),-5.44,-2.84,1.55,-,5.82,0.05,-5.31,-5.87,-5.87,1.25,0.86,5.96,-7.65,-5.41,0.32,5.71,-7.35,0.3,-2.77,-9.86,Upgrade
16,EBT Excluding Unusual Items,132.21,126.98,115.94,-,127.65,172.12,107.98,33.54,33.54,137.38,88.24,-27.91,110.93,101.16,83.4,18.34,109.31,124.29,21.79,11.43,Upgrade
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,-1.36,-,0.79,0.79,-1.84,0.12,0.06,-0.03,0.12,-,-1.25,1.07,0,0.02,0.15,Upgrade
18,Gain (Loss) on Sale of Assets,2.55,-0,-1.38,-,0.54,-0.45,0,-0.94,-0.94,-0.39,0.35,-0.25,-0.32,-0.22,-0.39,-0.59,0.13,-0.24,0.07,-0.83,Upgrade
19,Asset Writedown,-11.85,1.87,-1.87,-,-1.74,0.12,-0.12,-0.02,-0.02,9.44,-9.44,1.42,-1.12,6.54,-7.7,-0.29,-2.74,-2.03,-0.28,17.05,Upgrade
20,Legal Settlements,-,-,-,-,0.7,-0.7,-,-0.91,-0.91,-1.18,-,-0.77,0.01,-0.01,-,-0.91,0.31,-0.31,-,-0.48,Upgrade
21,Other Unusual Items,0.81,16.33,8.71,-,-0.72,0.72,-,15.65,15.65,1.72,-,15.44,6.13,-,-,46.89,-1.35,1.35,-,22.49,Upgrade
22,Pretax Income,123.71,145.19,121.4,-,126.44,170.45,107.87,48.11,48.11,145.11,79.28,-12.01,115.59,107.59,75.31,62.2,106.73,123.07,21.61,49.8,Upgrade
23,Income Tax Expense,4.04,9.76,-2.96,-,-3.16,19.03,-1.81,-4.61,-4.61,-0.1,2.9,2.9,0.69,-0.37,1.31,-2.42,5.29,4.51,-2.44,7.3,Upgrade
24,Earnings From Continuing Operations,119.67,135.43,124.36,-,129.6,151.42,109.68,52.72,52.72,145.21,76.38,-14.92,114.9,107.96,74.01,64.62,101.44,118.56,24.05,42.5,Upgrade
25,Minority Interest in Earnings,-12.78,-11.87,-19.35,-,-25.13,-30.95,-15.29,-8.53,-8.53,-29.04,-13.59,-2.45,-17.96,-17.16,-12.65,-8.24,-13.31,-13.54,-3.45,-2.31,Upgrade
26,Net Income,106.9,123.55,105.01,-,104.47,120.47,94.39,44.19,44.19,116.17,62.79,-17.37,96.93,90.8,61.36,56.38,88.13,105.01,20.6,40.19,Upgrade
27,Net Income to Common,106.9,123.55,105.01,-,104.47,120.47,94.39,44.19,44.19,116.17,62.79,-17.37,96.93,90.8,61.36,56.38,88.13,105.01,20.6,40.19,Upgrade
