,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,1694,1735,1627,-,-,1581,1456,1605,1605,1192,789.59,1158,778.64,776.6,676.24,1359,697.06,704.75,656.92,598.42,Upgrade
1,Cash & Short-Term Investments,1694,1735,1627,-,-,1581,1456,1605,1605,1192,789.59,1158,778.64,776.6,676.24,1359,697.06,704.75,656.92,598.42,Upgrade
2,Cash Growth,-,9.78%,11.75%,-,-,32.63%,84.36%,38.62%,106.19%,53.47%,16.76%,-14.79%,11.70%,10.20%,2.94%,127.12%,8.52%,15.13%,-9.25%,-25.89%,Upgrade
3,Accounts Receivable,1496,1176,1182,-,-,883.65,933.26,679.16,679.16,1030,1257,989.54,1074,1182,1359,1154,1627,1459,1441,1592,Upgrade
4,Other Receivables,187.46,181.18,191.22,-,-,184.59,200.95,170.48,170.48,184.45,203.22,185.91,135.6,136.98,130.38,120.04,184.02,192.74,112.32,99.91,Upgrade
5,Receivables,1683,1357,1373,-,-,1068,1134,849.63,849.63,1214,1460,1175,1210,1319,1490,1274,1811,1652,1553,1692,Upgrade
6,Inventory,690.56,717.49,684.65,-,-,722.6,766.44,801.15,801.15,829.51,895.15,844.53,860.19,811.46,742.15,731.96,680.23,826.07,668.66,692.13,Upgrade
7,Other Current Assets,39.5,49.01,40.16,-,-,40.12,47.29,45.46,45.46,194.18,210.21,68.38,223.23,220.18,219.32,215.93,361.44,230,407.4,427.29,Upgrade
8,Total Current Assets,4107,3859,3725,-,-,3412,3404,3302,3302,3429,3355,3247,3072,3127,3128,3581,3550,3413,3286,3410,Upgrade
