,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,25433,12980,12517,12969,15478,14950,16889,14563,10839,11377,10225,11619,14138,14001,12685,10603,11218,9686,6869,5637,6781,Upgrade
1,Market Cap Growth,-13.18%,-13.18%,-25.88%,-10.94%,42.79%,31.41%,65.18%,25.34%,-23.33%,-18.75%,-19.39%,9.58%,26.03%,44.56%,84.66%,88.12%,65.44%,74.30%,15.94%,21.74%,91.13%,Upgrade
2,Enterprise Value,25933,13394,12882,13399,15907,15362,17465,14895,11477,11709,10901,12138,14657,14570,13409,11446,12061,10436,7722,6523,7667,Upgrade
3,Last Close Price,56.08,28.62,27.52,28.41,33.91,32.75,37.00,31.85,23.71,24.88,22.32,25.35,30.85,30.55,27.68,23.09,24.43,21.66,15.32,12.57,15.12,Upgrade
4,PE Ratio,71.04,38.69,37.59,39.31,-,41.12,55.69,48.72,40.54,55.28,39.55,49.84,-,45.84,42.76,34.11,41.53,38.14,30.65,30.25,34.79,Upgrade
5,Forward PE,56.65,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,Upgrade
6,PS Ratio,7.88,5.33,5.31,5.41,-,4.94,6.10,5.04,3.27,3.70,2.68,3.10,3.94,3.39,3.25,2.59,2.93,2.42,1.65,1.34,1.56,Upgrade
7,PB Ratio,5.97,2.65,2.62,2.75,-,-,3.80,3.37,2.58,2.71,2.53,2.99,3.71,3.94,3.69,3.15,3.41,3.03,2.20,1.90,2.31,Upgrade
8,P/TBV Ratio,3.12,3.12,3.09,3.25,-,-,4.54,4.02,3.07,3.23,3.00,3.56,4.42,4.69,4.39,3.76,4.06,3.60,2.61,2.18,2.65,Upgrade
9,P/FCF Ratio,145.38,-,-195.59,-,-,-,-133.07,-,-,-,53.25,-,-269.79,44.45,155.82,-,43.17,-,111.08,-,-53.12,Upgrade
10,P/OCF Ratio,47.14,389.58,-658.98,-,-,-,781.01,-,-,-,22.61,-,72.29,25.39,36.90,-,22.51,-,28.28,-,259.86,Upgrade
11,EV/Sales Ratio,8.09,5.50,5.47,5.59,-,5.08,6.31,5.15,3.46,3.80,2.85,3.24,4.09,3.53,3.43,2.79,3.15,2.60,1.85,1.55,1.76,Upgrade
12,EV/EBITDA Ratio,175.25,75.51,74.35,61.84,-,88.66,227.89,446.91,-,-,303.39,436.56,-,218.91,123.70,76.78,-,74.26,78.80,120.74,-,Upgrade
13,EV/EBIT Ratio,571.71,143.44,138.57,95.48,-,207.23,-674.57,-238.60,-,-,-239.63,-224.02,-,-1044.56,444.87,158.36,-,152.52,285.66,-,-,Upgrade
14,EV/FCF Ratio,148.23,-,-201.29,-,-,-,-137.61,-,-,-,56.76,-,-279.69,46.26,164.71,-,46.41,-,124.86,-,-60.07,Upgrade
15,Debt / Equity Ratio,0.32,0.32,0.32,0.29,-,-,0.32,0.34,0.33,0.33,0.25,0.25,0.26,0.24,0.27,0.29,0.37,0.36,0.34,0.40,0.39,Upgrade
16,Debt / EBITDA Ratio,10.58,5.70,7.62,5.67,-,-,3.83,7.43,-,-,4.96,5.86,-,5.69,5.83,7.16,-,3.61,3.36,30.97,-,Upgrade
17,Debt / FCF Ratio,8.95,-,-23.97,-,-,-,-11.14,-,-,-,5.25,-,-19.26,2.71,11.29,-,4.65,-,17.39,-,-8.92,Upgrade
18,Asset Turnover,0.44,0.43,-,-,-,0.48,0.44,0.32,0.32,0.59,0.74,0.20,0.85,0.61,0.69,0.56,0.71,0.76,0.55,0.73,Upgrade,
19,Inventory Turnover,-,4.04,3.94,-,-,-,3.79,3.35,2.28,2.24,4.00,5.01,1.07,5.59,4.08,5.12,4.35,4.80,5.09,4.22,4.82,Upgrade
20,Quick Ratio,1.15,1.15,1.06,1.17,-,-,1.15,1.13,1.11,1.11,1.01,0.96,1.03,0.94,0.92,0.95,0.98,0.93,0.88,0.84,0.83,Upgrade
21,Current Ratio,1.40,1.40,1.32,1.45,-,-,1.48,1.48,1.49,1.49,1.44,1.43,1.43,1.45,1.37,1.38,1.33,1.31,1.27,1.25,1.24,Upgrade
22,Return on Equity (ROE),9.91%,11.42%,-,-,-,13.82%,10.30%,5.02%,5.12%,14.64%,7.93%,-1.62%,13.15%,12.70%,8.90%,7.97%,12.83%,15.57%,3.25%,5.82%,Upgrade,
23,Return on Assets (ROA),1.30%,0.55%,-,-,-,2.21%,0.94%,-2.09%,-2.11%,1.03%,0.80%,-4.43%,0.72%,0.80%,0.58%,-2.60%,2.55%,2.64%,-0.36%,-2.00%,Upgrade,
24,Return on Capital (ROIC),1.64%,0.69%,-,-,-,2.76%,1.18%,-2.62%,-2.75%,1.40%,1.08%,-6.06%,1.00%,1.10%,0.81%,-3.67%,3.60%,3.67%,-0.50%,-2.82%,Upgrade,
25,Return on Capital Employed (ROCE),0.44%,1.76%,1.88%,2.75%,-,-,-0.52%,-1.27%,-,-,-1.01%,-1.25%,-,-0.35%,0.80%,1.96%,-,1.98%,0.83%,-,-,Upgrade
26,Earnings Yield,1.40%,2.58%,2.66%,2.54%,-,2.43%,1.80%,2.05%,2.47%,1.81%,2.53%,2.01%,1.64%,2.18%,2.34%,2.93%,2.41%,2.62%,3.26%,3.31%,2.87%,Upgrade
27,FCF Yield,0.69%,-0.31%,-0.51%,-0.34%,-,-0.77%,-0.75%,0.09%,-0.29%,0.49%,1.88%,0.30%,-0.37%,2.25%,0.64%,0.34%,2.32%,-0.91%,0.90%,-3.56%,-1.88%,Upgrade
28,Dividend Yield,0.13%,-,-,-,-,-,-,-,-,-,-,-,0.17%,-,-,-,0.24%,-,-,-,0.30%,Upgrade
29,Payout Ratio,29.51%,18.18%,34.41%,13.76%,-,17.63%,28.19%,10.31%,73.79%,73.79%,6.23%,11.62%,-,22.45%,35.95%,12.32%,28.84%,35.95%,23.32%,68.71%,-,Upgrade
30,Buyback Yield / Dilution,0.00%,1.88%,-0.03%,0.03%,-,-5.08%,0.74%,0.00%,-2.00%,0.97%,0.91%,0.04%,2.67%,0.49%,-2.73%,-2.81%,2.32%,2.20%,-4.96%,0.17%,1.23%,Upgrade
31,Total Shareholder Return,0.13%,1.88%,-0.03%,0.03%,-,-5.08%,0.74%,0.00%,-2.00%,0.97%,0.91%,0.04%,2.84%,0.49%,-2.73%,-2.81%,2.56%,2.20%,-4.96%,0.17%,1.53%,Upgrade
