,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1226,1694,1097,2070,1074,1495,863.31,2102,855.1,1232,808.52,1895,710.16,895.1,507.48,1203,839.52,618.46,318.53
1,Other Revenue,-13.31,13.31,-,20.55,-9.85,9.85,-,16.12,-9.34,9.34,-,14.63,-9.17,9.17,-,15.91,7.95,4.55,-
2,Revenue,1213,1708,1097,2091,1064,1504,863.31,2118,845.76,1241,808.52,1910,700.99,904.26,507.48,1219,847.48,623.01,318.53
3,Revenue Growth (YoY),14.04%,13.51%,27.06%,-1.31%,25.77%,21.21%,6.78%,10.93%,20.65%,37.26%,59.32%,56.66%,-17.29%,45.14%,59.32%,-,-,-,-
4,Cost of Revenue,279.68,469.66,306.2,652.36,222.38,380.57,206.28,589.86,199.59,293.22,179.36,489.13,152.15,224.89,110.91,306.81,232.65,104.91,69.31
5,Gross Profit,933.41,1238,790.74,1438,841.36,1124,657.03,1529,646.17,947.95,629.16,1421,548.84,679.37,396.57,912.22,614.82,518.1,249.22
6,"Selling, General & Admin",897.15,864.1,588.3,1174,599.26,771.96,477.57,850.68,477.84,612.86,449.55,804.76,398.54,449.38,273.58,493.43,362.34,375.26,177.9
7,Research & Development,85.46,81.64,32.65,116.87,73.07,74.92,33.96,128.24,44.94,50.51,31,44.74,26.16,19.48,22.84,16.04,18.96,12.2,11.28
8,Other Operating Expenses,16.48,7.72,6.7,12.22,-2.42,-37.59,2.96,44.36,-6.12,10.42,6.05,44.78,0.63,0.78,5.93,9.86,4.98,5.49,-4.69
9,Operating Expenses,1009,959.91,628.4,1297,678.08,817.21,517.23,1017,524.16,674.98,483.63,896.73,428.54,471.69,299.91,523.46,389.01,394.02,183.94
10,Operating Income,-75.26,278.17,162.34,140.99,163.28,306.66,139.8,511.71,122.02,272.98,145.53,523.81,120.3,207.68,96.66,388.76,225.81,124.08,65.28
