,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1167,1630,1343,2091,1641,1633,1605,2514,1225,1588,-,2035,2453,2499,3655,751.95,751.95,515.2,-
1,Short-Term Investments,-,370,-,310,-,620,-,480.12,-,982.62,-,1530,-,-,-,-,-,-,-
2,Trading Asset Securities,1976,1767,1611,1238,1918,1922,1794,1434,1325,1542,-,781.15,1170,1237,-,-,-,-,-
3,Cash & Short-Term Investments,3143,3767,2954,3640,3559,4175,3399,4428,2550,4112,4346,4346,3622,3736,3655,751.95,751.95,515.2,527.23
4,Cash Growth,-11.70%,-9.78%,-13.08%,-17.80%,39.55%,1.54%,-21.79%,1.89%,-29.59%,10.07%,18.89%,477.93%,381.71%,625.09%,593.33%,-,-,-,-
5,Accounts Receivable,931.03,813.09,649.71,742.92,682.85,504.38,424.19,508.76,422.23,326.37,-,328.3,274.12,257.91,224.12,326.48,326.48,159.12,-
6,Other Receivables,38.78,39.47,32.79,30.55,27.73,38,24.36,20.47,19.14,28.97,-,37.81,14.01,13.25,12.12,19.33,19.33,9.63,-
7,Receivables,969.81,852.56,682.5,773.47,710.58,542.38,448.55,529.23,441.37,355.34,-,366.11,288.13,271.17,236.24,345.81,345.81,168.75,-
8,Inventory,907.26,758.7,830.57,904.41,970.73,658.55,669.2,670.75,754.4,553.79,-,463.27,504.5,309.53,272.78,253.75,253.75,289.42,-
9,Prepaid Expenses,-,-,-,-,-,1.24,-,-,-,1.22,-,2.92,-,0.24,-,5.25,5.25,7.5,-
10,Other Current Assets,545.6,164.95,537.24,204.87,384.37,88.68,862.17,87.01,1357,78.17,-,46.95,66.78,52.78,59.18,34.41,34.41,40.11,-
11,Total Current Assets,5565,5543,5005,5523,5625,5466,5379,5715,5103,5100,-,5225,4482,4369,4224,1391,1391,1021,-
12,"Property, Plant & Equipment",909.73,902.56,842.69,808.14,772.28,759.78,688.17,665.36,641.37,568.21,-,431.96,316.27,250.85,157.85,109.29,109.29,77.38,-
13,Long-Term Investments,333.94,333.85,309.82,298.46,233.31,122.79,102.78,82.78,73.92,56.14,-,-,-,-,-,-,-,-,-
14,Goodwill,413.74,413.74,413.74,413.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Other Intangible Assets,266.96,238.64,199.1,193.11,86.69,89.19,78.59,77.94,67.58,65.75,-,64.59,58.83,52.96,54.17,55.16,55.16,51.16,-
16,Long-Term Deferred Tax Assets,148.45,112.08,105.5,93.13,61.38,67.73,62.04,52.12,34.18,15.36,-,15.58,19.04,14.22,12.31,13.35,13.35,11.12,-
17,Long-Term Deferred Charges,97.51,97.43,93.31,93.32,67.52,74.42,67.77,66.73,60.25,61.83,-,41.02,24.35,30.04,21.86,20.36,20.36,21.99,-
18,Other Long-Term Assets,68.61,94.66,91.69,84.45,63.9,58.05,73.34,59.63,41.78,31.99,-,34.31,65,27.2,13.6,12.53,12.53,5.28,-
19,Total Assets,7804,7736,7060,7507,6910,6638,6452,6720,6022,5900,-,5812,4965,4745,4483,1602,1602,1188,-
20,Accounts Payable,439.04,278.64,142.18,401.93,445.58,229.33,185.88,372.37,426.48,321.8,-,361.61,373.78,250.43,128.73,134.84,134.84,173.49,-
21,Accrued Expenses,260.72,275.6,68.63,469.93,103.66,227.02,67.47,312.06,93.26,254.27,-,285.73,54.95,141.02,32.95,150.21,150.21,95.16,-
22,Short-Term Debt,245.98,270.89,169.22,103.82,-,-,-,-,-,-,-,-,-,-,-,-,-,41.73,-
23,Current Portion of Long-Term Debt,-,0.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,72.09,61.67,55.89,42.1,47.63,52.46,56.58,62.42,60.34,47.72,-,48.91,44.95,39,-,-,-,-,-
25,Current Income Taxes Payable,-,46.62,72.43,105.22,87.83,47.97,77.55,109.69,51.9,41.2,-,97.54,36.46,29.67,43.01,65.78,65.78,19.01,-
26,Current Unearned Revenue,69.31,56.13,50.7,50.05,49.67,41.24,53.96,58.12,46.31,48.46,-,71.19,41.61,42.7,38.65,36.5,36.5,24.56,-
27,Other Current Liabilities,122.71,76.19,184.57,118.16,121.95,120.48,140.91,77.21,155.44,91.82,-,34.78,73.84,7.55,52.64,3.86,3.86,2.84,-
28,Total Current Liabilities,1210,1066,743.64,1291,856.33,718.5,582.35,991.87,833.73,805.26,-,899.75,625.59,510.36,295.98,391.19,391.19,356.79,-
29,Long-Term Debt,321.3,321.3,0.86,4.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Long-Term Leases,112.68,130.07,81.26,63.28,67.58,66.87,40.75,50.95,59.49,63.18,-,76.29,73.89,58.19,12.78,-,-,-,-
31,Long-Term Unearned Revenue,56.07,41.68,77.5,82.86,105.79,111.3,52.22,55.57,70.83,12.06,-,6.3,5.32,6.41,7.07,7.41,7.41,11.06,-
32,Long-Term Deferred Tax Liabilities,49,52.5,39.37,40.45,8.67,11.35,9.4,8.36,3.71,1.49,-,1.69,-,-,-,-,-,-,-
