,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,19659,26220,20324,25403,28877,39526,37650,54318,63218,72872,92146,79222,81450,86414,115088,71067,-,-,-,-
1,Market Cap Growth,-33.66%,-33.66%,-46.02%,-53.23%,-54.32%,-45.76%,-59.14%,-31.44%,-22.38%,-15.67%,-19.93%,11.47%,-,-,-,-,-,-,-,-
2,Enterprise Value,17411,23383,17827,22002,25475,35510,34394,50053,60808,68893,88715,75024,77959,82788,111448,70318,-,-,-,-
3,Last Close Price,46.80,62.42,48.32,59.28,67.39,92.24,87.86,125.67,146.26,168.60,213.19,182.65,187.79,199.23,265.34,163.58,-,-,-,-
4,PE Ratio,33.25,-,25.71,32.76,38.16,35.51,34.03,51.07,60.13,71.10,92.80,85.16,94.39,126.43,146.64,100.82,-,-,-,-
5,Forward PE,22.41,23.57,17.64,17.56,19.39,26.97,27.09,40.96,44.82,51.69,67.92,64.92,75.64,88.56,130.20,88.92,-,-,-,-
6,PS Ratio,3.22,4.29,3.41,4.41,5.23,7.12,7.06,10.72,12.61,15.17,19.77,18.32,20.25,25.94,33.09,22.23,-,-,-,-
7,PB Ratio,3.29,4.34,3.32,4.16,4.80,6.74,6.60,9.44,11.28,14.46,18.74,16.58,17.05,20.28,27.60,17.06,-,-,-,-
8,P/TBV Ratio,5.02,5.02,3.82,4.75,5.50,6.90,6.75,9.65,11.55,14.72,19.08,16.89,17.36,20.63,28.04,17.30,-,-,-,-
9,P/FCF Ratio,168.12,-,169.66,-,85.90,-,68.48,-,151.96,-,144.65,-,92.34,-,149.71,111.60,-,-,-,-
10,P/OCF Ratio,53.25,-,43.55,-,47.31,-,44.64,-,82.16,-,92.27,-,70.66,-,126.91,94.69,-,-,-,-
11,PEG Ratio,0.97,0.74,0.55,0.70,0.78,1.10,1.29,1.42,1.67,1.67,1.89,1.38,2.56,2.56,3.34,2.28,-,-,-,-
12,EV/Sales Ratio,2.85,3.83,2.99,3.82,4.61,6.40,6.45,9.88,12.13,14.34,19.04,17.35,19.38,24.85,32.04,22.00,-,-,-,-
13,EV/EBITDA Ratio,31.06,-,21.94,26.50,31.55,30.14,30.51,45.96,56.04,63.35,81.82,73.94,80.88,100.07,119.42,82.87,-,-,-,-
14,EV/EBIT Ratio,40.12,-,23.94,28.45,33.93,31.66,31.84,47.83,57.79,64.73,83.49,75.23,82.20,101.78,121.28,84.18,-,-,-,-
15,EV/FCF Ratio,148.90,-,148.82,-,75.78,-,62.56,-,146.16,-,139.27,-,88.39,-,144.97,110.42,-,-,-,-
16,Debt / Equity Ratio,0.12,0.12,0.13,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.00,-,-,0.05,0.02
17,Debt / EBITDA Ratio,1.34,-,0.58,0.43,0.24,0.16,0.08,0.16,0.05,0.24,0.09,0.21,0.06,0.24,0.11,0.03,-,-,0.08,0.05
18,Debt / FCF Ratio,6.43,-,6.55,-,0.64,-,0.22,-,0.27,-,0.17,-,0.14,-,0.13,0.02,-,-,0.65,-
19,Asset Turnover,0.62,0.92,0.60,1.16,0.63,0.92,0.52,1.33,0.57,-,-,1.42,0.58,0.78,-,-,2.43,-,-,
20,Inventory Turnover,1.82,1.34,2.36,1.41,2.78,1.09,2.29,1.23,3.31,1.22,-,-,4.04,1.50,3.09,-,-,3.43,-,-
21,Quick Ratio,3.40,3.40,4.33,4.89,3.42,4.99,6.57,6.61,5.00,3.59,5.55,-,5.24,6.25,7.85,13.15,2.81,2.81,1.92,-
22,Current Ratio,4.60,4.60,5.20,6.73,4.28,6.57,7.61,9.24,5.76,6.12,6.33,-,5.81,7.16,8.56,14.27,3.56,3.56,2.86,-
23,Return on Equity (ROE),-4.67%,19.84%,11.38%,13.08%,8.61%,19.94%,10.92%,40.22%,9.76%,20.52%,12.17%,44.99%,8.60%,17.86%,-,-,75.97%,53.78%,-,
24,Return on Assets (ROA),-2.42%,9.40%,5.57%,4.89%,6.03%,11.71%,5.31%,20.08%,5.12%,-,-,24.30%,6.19%,11.25%,-,-,40.47%,-,-,
25,Return on Capital (ROIC),-2.75%,10.44%,6.42%,5.78%,6.92%,13.13%,6.04%,23.53%,5.99%,13.74%,7.42%,28.21%,6.96%,12.30%,-,-,55.96%,37.93%,-,
26,Return on Capital Employed (ROCE),6.58%,-,11.17%,12.24%,12.08%,18.53%,18.25%,17.83%,18.37%,20.51%,20.86%,-,19.31%,18.74%,21.70%,19.95%,66.40%,34.29%,22.78%,-
27,Earnings Yield,3.01%,2.26%,3.89%,3.05%,2.62%,2.82%,2.94%,1.96%,1.66%,1.41%,1.08%,1.17%,1.06%,0.79%,0.68%,0.99%,-,-,-,-
28,FCF Yield,0.59%,0.45%,0.59%,1.35%,1.16%,1.40%,1.46%,0.80%,0.66%,0.73%,0.69%,0.76%,1.08%,0.60%,0.67%,0.90%,-,-,-,-
29,Dividend Yield,1.28%,-,-,-,0.89%,-,-,-,0.55%,-,-,-,0.32%,-,-,-,-,-,-,-
30,Payout Ratio,43.77%,-,82.48%,0.72%,0.15%,-,116.16%,-,-,18.69%,92.62%,0.43%,-,-,102.44%,-,-,0.26%,94.88%,0.32%
31,Buyback Yield / Dilution,1.06%,3.03%,0.25%,1.56%,0.18%,-1.43%,-0.27%,0.38%,-1.57%,2.11%,0.48%,-20.19%,-14.77%,-18.72%,-19.49%,0.57%,-,-,-,-
32,Total Shareholder Return,2.34%,3.03%,0.25%,1.56%,1.07%,-1.43%,-0.27%,0.38%,-1.03%,2.11%,0.48%,-20.19%,-14.45%,-18.72%,-19.49%,0.57%,-,-,-,-
