,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,973.83,990.45,1012,997.92,972.06,1015,1052,522.1,664.64,-,654.25,701.25,-,196.48
1,Short-Term Investments,-,50,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,100,120,106.47,123.73,5.8,-,111.81,117.35,-,-
3,Cash & Short-Term Investments,973.83,1040,1012,997.92,1072,1135,1159,645.84,670.44,-,766.06,818.6,196.48,196.48
4,Cash Growth,-9.16%,-8.36%,-12.69%,54.52%,59.90%,-,51.27%,-21.11%,241.22%,-,-,-,-,-
5,Accounts Receivable,127.58,148.25,148.33,204.52,164.47,174.97,160.64,147.33,177.82,-,91.4,140.98,-,127.71
6,Other Receivables,2.31,9.55,1.66,11.13,2.69,11.27,1.89,4.78,1.66,-,46.46,5.55,-,0.6
7,Receivables,129.89,157.81,149.99,245.7,167.16,186.24,162.53,182.1,179.47,-,137.86,146.52,-,128.31
8,Inventory,163.66,162,145.28,145.19,165.26,165.13,138.91,157.2,129.77,-,133.8,128.6,-,92.27
9,Other Current Assets,70.8,25.2,105.43,65.26,51.75,27.58,36.1,26.21,27.04,-,35.59,22.68,-,8.28
10,Total Current Assets,1338,1385,1412,1454,1456,1514,1496,1011,1007,-,1073,1116,-,425.35
11,"Property, Plant & Equipment",700.85,673.89,630.87,588.43,544.55,518.73,502.93,447.48,442.85,-,397.6,359.19,-,230.95
12,Long-Term Investments,0.51,0.63,0.7,0.8,1.79,1.1,1.18,0.86,0.94,-,1.1,1.12,-,1.04
13,Other Intangible Assets,189.05,189.79,190.81,191.82,184.26,185.24,170.37,180.62,151.62,-,85.18,85.66,-,87.58
14,Long-Term Accounts Receivable,-,1.82,-,1.82,-,2.06,-,2.45,-,-,-,1.74,-,0.81
15,Long-Term Deferred Tax Assets,12.08,12.3,12.48,12.74,9.67,10.1,10.17,10.29,3.62,-,2.28,2.75,-,2.42
16,Long-Term Deferred Charges,3.66,1.84,0.95,0.95,0.95,0.11,-,-,-,-,-,-,-,-
17,Other Long-Term Assets,21.92,15.66,28.55,25.44,22.66,10.43,19.16,22.18,9.91,-,1.86,7.12,-,2.32
18,Total Assets,2266,2281,2277,2276,2220,2242,2200,1675,1616,-,1561,1574,-,750.47
19,Accounts Payable,85.42,99.93,99.54,98.25,92.99,123.33,85.72,86.82,75.45,-,73.27,91.35,-,57.74
20,Accrued Expenses,6.77,10.95,7.46,12.39,8.22,12.84,8.56,14.47,9.18,-,8.34,15.61,-,16.44
21,Short-Term Debt,-,-,-,0.83,-,1,4.41,14.82,-,-,-,-,-,-
22,Current Portion of Long-Term Debt,3.28,2.62,2.49,1.45,3.85,-,-,0.01,-,-,-,-,-,-
23,Current Portion of Leases,-,2.01,-,3.94,-,4.73,4.44,5.9,5.62,-,-,5.68,-,-
24,Current Income Taxes Payable,6.52,1.6,9.6,8.22,6.79,4.75,16.41,12.92,15.21,-,14.29,13.32,-,15.54
25,Current Unearned Revenue,15.28,16.31,25.77,25.29,24.69,30.67,30.21,23.2,22.1,-,19.8,28.98,-,15.98
26,Other Current Liabilities,26.25,29.75,10.04,24.74,10.71,26.37,33.81,54.23,41.38,-,18.67,8.21,-,4.51
27,Total Current Liabilities,143.52,163.17,154.89,175.1,147.26,203.68,183.56,212.37,168.93,-,134.36,163.15,-,110.21
28,Long-Term Debt,352.57,405.53,399.57,391.8,412.65,405.54,391.11,1.57,-,-,-,-,-,-
