,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,139.09,124.58,133.61,161.6,209.62,177.51,139.38,158.97,207.19,153.07,135.24,208.95,125.88,193.93
1,Other Revenue,-1.08,1.08,-,2.14,-1.01,1.01,-,2.05,-1.44,1.44,-,2.74,-,0.76
2,Revenue,138.01,125.66,133.61,163.74,208.61,178.52,139.38,161.02,205.75,154.51,135.24,211.69,125.88,194.69
3,Revenue Growth (YoY),-33.84%,-29.61%,-4.13%,1.69%,1.39%,15.54%,3.06%,-23.94%,63.46%,-20.64%,-,-,-,-
4,Cost of Revenue,113.54,101.64,107.33,134.94,166.75,144.01,107.08,123.32,156.66,121.79,105.24,160.02,83.18,120.09
5,Gross Profit,24.46,24.02,26.29,28.8,41.86,34.51,32.3,37.7,49.09,32.72,29.99,51.67,42.69,74.6
6,"Selling, General & Admin",7.7,11.27,8.33,16.85,10.29,10.35,8.31,12.84,11.24,9.79,7.69,12.1,5.72,15.85
7,Research & Development,4.31,3.74,4.01,6.69,6.44,6.58,4.45,4.99,7.28,4.91,5.48,4.89,3.9,7.36
8,Other Operating Expenses,1.5,1.17,1.76,1.61,0.71,0.64,0.97,4.2,0.5,1.11,0.88,5.97,1.12,6.45
9,Operating Expenses,12.93,17.43,13.05,26.53,17.78,18.23,13.66,18.68,22.76,17.18,12.83,24.83,10.27,29.7
10,Operating Income,11.54,6.59,13.24,2.27,24.08,16.28,18.63,19.02,26.33,15.53,17.17,26.84,32.42,44.9
11,Interest Expense,-2.41,-,-8.11,-,-4.48,-9.31,-,-0.13,-0.32,-0.59,-,-0.45,-,-
12,Interest & Investment Income,2.99,6.38,10.35,5.98,10.24,8.93,5.25,3.66,5.63,6.82,3.08,7.22,0.06,1.36
13,Currency Exchange Gain (Loss),2.82,-2.82,-,9.61,-6.05,6.05,-,1.59,-4.14,4.14,-,-2.55,-,-3.16
14,Other Non Operating Income (Expenses),-0.64,0.29,-0.02,-8.88,8.68,2.11,-2.51,-3.51,3.45,0.76,-0.53,0.89,0.16,0.81
15,EBT Excluding Unusual Items,14.29,10.44,15.45,8.98,32.47,24.08,21.38,20.64,30.95,26.67,19.71,31.96,32.64,43.91
16,Gain (Loss) on Sale of Investments,-,-,-,-0.17,0.16,-0.36,-0.53,-0.1,-,-,-,-,-0.01,-
17,Gain (Loss) on Sale of Assets,0.03,0.08,-,-0.12,-,-0,-,-,-,-0.07,0.01,0.17,0.03,-
18,Asset Writedown,1.16,-1.02,0.1,0.5,-0.49,0.01,0.01,0.68,-0.64,-0.39,0.28,0.14,0.28,-1.4
19,Other Unusual Items,-0.5,1.23,0.82,3.03,0.5,-0.5,-,1.39,3.21,-3.21,-,10.99,-,6.6
20,Pretax Income,14.97,10.73,16.37,12.22,32.63,23.23,20.86,22.6,33.52,22.99,20,43.27,32.94,49.11
21,Income Tax Expense,1.02,1.55,1.85,1.27,3.52,2.84,2.87,3.29,4.4,2.94,2.38,5.92,4.4,5.19
22,Earnings From Continuing Operations,13.95,9.17,14.52,10.95,29.11,20.39,17.99,19.31,29.12,20.05,17.62,37.35,28.54,43.92
23,Minority Interest in Earnings,-0.01,-0.01,0,1,0.01,-0.01,0,0.06,-0.06,0.08,-0.08,-0,-,-
24,Net Income,13.94,9.17,14.53,11.96,29.12,20.38,17.99,19.37,29.06,20.13,17.54,37.34,28.54,43.92
25,Net Income to Common,13.94,9.17,14.53,11.96,29.12,20.38,17.99,19.37,29.06,20.13,17.54,37.34,28.54,43.92
26,Net Income Growth,-52.13%,-55.02%,-19.27%,-38.28%,0.20%,1.22%,2.56%,-48.13%,1.80%,-54.15%,-,-,-,-
27,Shares Outstanding (Basic),127,116,121,119,123,113,120,121,116,119,117,117,88,88
28,Shares Outstanding (Diluted),127,116,121,119,123,113,120,121,116,119,117,117,88,88
29,Shares Change (YoY),3.75%,2.91%,0.92%,-1.23%,5.94%,-5.00%,2.56%,3.32%,31.03%,35.26%,-,-,-,-
30,EPS (Basic),0.11,0.08,0.12,0.10,0.24,0.18,0.15,0.16,0.25,0.17,0.15,0.32,0.32,0.50
31,EPS (Diluted),0.11,0.08,0.12,0.10,0.24,0.18,0.15,0.16,0.25,0.17,0.15,0.32,0.32,0.50
32,EPS Growth,-53.86%,-56.29%,-20.00%,-37.51%,-5.43%,6.54%,0%,-49.80%,-22.31%,-66.10%,-,-,-,-
33,Free Cash Flow,-58.51,-28.3,5.35,5.96,-55.7,-35.12,-36.13,-21.73,-34.17,13.89,-51.62,12.37,2.68,37.26
34,Free Cash Flow Per Share,-0.46,-0.24,0.04,0.05,-0.45,-0.31,-0.30,-0.18,-0.30,0.12,-0.44,0.11,0.03,0.43
35,Dividend Per Share,-,-,-,0.150,-,-,-,0.100,-,-,-,0.231,-,0.231
36,Dividend Growth,-,-,-,50.00%,-,-,-,-56.67%,-,-,-,-,-,-
37,Gross Margin,17.73%,19.12%,19.67%,17.59%,20.06%,19.33%,23.17%,23.41%,23.86%,21.17%,22.18%,24.41%,33.92%,38.31%
38,Operating Margin,8.36%,5.24%,9.91%,1.39%,11.54%,9.12%,13.37%,11.81%,12.80%,10.05%,12.69%,12.68%,25.76%,23.06%
