,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,3124,2794,2393,3714,2801,2961,2910,3824,3021,3125,4966,2804,2930,-,-
1,Market Cap Growth,-5.65%,-5.65%,-17.78%,-2.87%,-7.30%,-5.24%,-41.40%,36.35%,3.12%,-,-,-,-,-,-
2,Enterprise Value,2514,2172,1792,3070,2156,2248,2164,3178,2375,2379,4220,1985,2110,-,-
3,Last Close Price,25.80,23.70,20.30,31.30,23.60,24.95,24.52,32.10,25.36,26.23,41.69,23.43,24.48,-,-
4,PE Ratio,62.86,56.34,36.95,48.88,35.25,34.09,33.53,44.18,35.08,30.02,47.95,22.02,26.68,-,-
5,PS Ratio,5.56,4.98,3.79,5.43,4.06,4.31,4.25,5.79,4.60,4.42,7.92,4.20,5.50,-,-
6,PB Ratio,1.81,1.62,1.43,2.21,1.68,1.83,1.83,2.41,2.13,2.23,-,2.04,2.16,-,-
7,P/TBV Ratio,1.82,1.82,1.62,2.50,1.91,2.06,2.07,2.71,2.45,2.51,-,2.18,2.31,-,-
8,P/FCF Ratio,-,-,-,-46.71,-23.15,-,-,-,-,-,-219.04,-,56.00,-,-
9,P/OCF Ratio,19.37,-,18.16,30.25,79.91,-,100.71,-,55.79,30.88,43.62,-,20.94,-,-
10,EV/Sales Ratio,4.48,3.87,2.84,4.48,3.12,3.27,3.16,4.81,3.62,3.36,6.73,2.97,3.96,-,-
11,EV/EBITDA Ratio,30.60,28.51,20.79,34.15,23.24,21.01,20.04,30.31,23.26,21.89,36.58,13.76,17.34,-,-
12,EV/EBIT Ratio,74.76,64.58,38.81,54.94,35.19,28.81,26.96,39.96,30.43,27.70,45.89,16.36,20.26,-,-
13,EV/FCF Ratio,-33.30,-,-,-38.60,-17.82,-,-,-,-,-,-186.16,-,40.34,-,-
14,Debt / Equity Ratio,0.21,0.21,0.25,0.24,0.24,0.26,0.26,0.26,0.02,0.01,-,0.01,0.02,-,-
15,Debt / EBITDA Ratio,4.39,4.35,4.50,4.54,6.49,3.45,3.85,4.04,0.27,0.15,-,0.18,0.15,-,-
16,Debt / FCF Ratio,-,-,-,-5.13,-3.35,-,-,-,-,-,-,-,0.45,-,-
17,Asset Turnover,0.24,0.22,0.23,0.29,0.37,0.32,0.29,0.39,-,-,0.35,-,-,-,
18,Inventory Turnover,2.78,2.79,2.65,2.96,3.48,4.04,3.79,2.89,3.44,-,-,3.21,-,-,-
19,Quick Ratio,7.69,7.69,7.34,7.50,6.93,8.42,6.49,7.20,3.76,5.03,-,6.73,5.92,-,2.95
20,Current Ratio,9.32,9.32,8.49,9.12,8.30,9.89,7.43,8.15,4.76,5.96,-,7.99,6.84,-,3.86
21,Return on Equity (ROE),3.29%,2.19%,3.48%,2.67%,7.24%,5.13%,4.79%,5.48%,-,-,5.15%,-,18.67%,-,
22,Return on Assets (ROA),1.27%,0.72%,1.45%,0.25%,2.70%,1.83%,2.40%,2.89%,-,-,2.74%,-,-,-,
23,Return on Capital (ROIC),1.38%,0.79%,1.59%,0.28%,2.97%,2.03%,2.71%,3.31%,-,-,3.09%,-,13.26%,-,
24,Return on Capital Employed (ROCE),1.58%,1.58%,2.18%,2.63%,2.92%,3.76%,3.94%,3.94%,5.34%,5.94%,-,8.50%,7.38%,-,7.01%
25,Earnings Yield,1.59%,1.78%,2.71%,2.05%,2.84%,2.93%,2.98%,2.26%,2.85%,3.33%,2.09%,4.54%,3.75%,-,-
26,FCF Yield,-2.42%,-2.70%,-3.04%,-2.14%,-4.32%,-5.02%,-4.37%,-2.04%,-3.10%,-1.91%,-0.46%,0.02%,1.79%,-,-
27,Dividend Yield,0.60%,-,-,-,0.64%,-,-,-,0.39%,-,-,-,1.89%,-,-
28,Payout Ratio,38.32%,-,188.63%,11.15%,0.73%,0.83%,57.47%,-,4.93%,-,130.40%,-,72.84%,-,10.76%
29,Buyback Yield / Dilution,-1.58%,-3.75%,-2.91%,-0.92%,1.23%,-5.94%,5.00%,-2.56%,-3.32%,-31.03%,-35.26%,-,-,-,-
30,Total Shareholder Return,-0.97%,-3.75%,-2.91%,-0.92%,1.87%,-5.94%,5.00%,-2.56%,-2.93%,-31.03%,-35.26%,-,1.89%,-,-
