,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1316,1111,1915,3419,6358,7959,16221,33052,33603,41338,34690,Upgrade
1,Market Cap Growth,-67.50%,-67.50%,-69.89%,-57.04%,-60.80%,-75.92%,-51.73%,-20.05%,-3.13%,64.23%,57.71%,Upgrade
2,Enterprise Value,83835,76534,87693,75211,89943,75676,84603,85578,79188,80247,73870,Upgrade
3,Last Close Price,0.39,0.33,0.56,1.00,1.86,2.50,5.10,9.75,9.38,11.17,9.04,Upgrade
4,PE Ratio,-,-,-,-,-,65.47,-,4.65,4.24,10.72,-,Upgrade
5,Forward PE,-,-,-,-,2.81,1.69,1.68,3.32,3.84,5.33,5.17,Upgrade
6,PS Ratio,0.09,0.08,0.11,0.25,0.42,0.35,0.55,0.92,0.95,2.91,-,Upgrade
7,PB Ratio,0.28,0.11,0.10,0.11,0.14,0.12,0.22,0.44,0.52,0.83,0.81,Upgrade
8,P/TBV Ratio,0.99,0.99,0.19,0.19,0.20,0.17,0.33,0.65,0.69,1.00,0.90,Upgrade
9,P/FCF Ratio,0.73,0.62,1.76,0.46,0.56,7.22,-,-100.18,-,22.47,-,Upgrade
10,P/OCF Ratio,0.57,0.57,1.62,0.39,0.50,4.02,-,24.01,-,18.08,-,Upgrade
11,PEG Ratio,-,-,-,-,-,-,0.24,0.16,0.19,0.28,0.19,Upgrade
12,EV/Sales Ratio,5.74,5.24,5.04,5.60,5.91,3.34,2.89,2.39,2.24,5.65,-,Upgrade
13,EV/EBITDA Ratio,-,-,-,-,-,-66.31,-,11.88,9.84,23.00,-,Upgrade
14,EV/EBIT Ratio,-,-,-,-,-,-,-,12.36,10.14,24.04,-,Upgrade
15,EV/FCF Ratio,46.55,42.50,80.79,10.11,7.92,68.62,-,-259.38,-,43.62,-,Upgrade
16,Debt / Equity Ratio,7.52,7.52,4.09,2.64,1.90,1.33,1.31,1.33,1.48,1.84,2.29,Upgrade
17,Debt / FCF Ratio,43.54,43.54,75.01,11.09,7.60,82.96,-,-300.05,-,49.75,-,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,4.67%,5.92%,3.11%,-,Upgrade
19,Earnings Yield,-1393.29%,-1650.51%,-1077.95%,-618.35%,-164.30%,1.53%,18.32%,21.52%,23.60%,9.33%,-,Upgrade
20,FCF Yield,136.82%,162.08%,56.70%,217.49%,178.57%,13.86%,-10.58%,-1.00%,-0.17%,4.45%,-,Upgrade
21,Dividend Yield,0.00%,-,-,-,-,-,-,11.10%,11.77%,3.93%,-,Upgrade
22,Buyback Yield / Dilution,-3.20%,-0.01%,-6.58%,-7.36%,-0.74%,-0.06%,-0.06%,-0.07%,-,-0.08%,-,Upgrade
23,Total Shareholder Return,-3.20%,-0.01%,-6.58%,-7.36%,-0.74%,-0.06%,-0.06%,11.03%,11.77%,3.85%,-,Upgrade
