,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,535.3,453.14,293.38,241.04,7.82,9.37,16.4,104.55,5.39,39.31
1,Trading Asset Securities,-,-,-,-,-,-,-,-,1.02,-
2,Cash & Short-Term Investments,535.3,453.14,293.38,241.04,7.82,9.37,16.4,104.55,6.4,39.31
3,Cash Growth,82.46%,87.99%,3654.01%,2471.65%,-52.34%,-91.03%,156.20%,165.98%,-51.84%,139.21%
4,Accounts Receivable,608.65,600.88,711.77,745.19,813.7,875.75,830.75,864.46,954.16,1001
5,Other Receivables,-,30.46,-,41.5,-,25.33,0.02,21.03,-,23.29
6,Receivables,608.65,631.34,711.77,786.69,813.7,901.08,830.77,885.49,954.16,1024
7,Inventory,341.86,374.86,261.59,291.29,244.98,321.37,413.55,226.64,317.44,325.14
8,Other Current Assets,77.22,53.96,88.21,20.41,99.16,32.1,77.1,31.33,92.21,44.13
9,Total Current Assets,1563,1513,1355,1339,1166,1264,1338,1248,1370,1432
10,"Property, Plant & Equipment",74.78,79.15,29.93,28.98,120.21,120.22,75.53,113.36,74.76,120.52
11,Long-Term Investments,108.6,118.21,115.4,122.67,137.13,144.57,75.78,75.5,-,-
12,Other Intangible Assets,0.15,0.29,0.44,0.59,0.74,0.89,0.91,1.05,1.19,0.07
13,Long-Term Deferred Tax Assets,53.12,50.07,45.11,43.88,50.66,52.1,57.56,56.05,43.26,40.15
14,Other Long-Term Assets,35.17,35.84,-,0.17,17.86,6.65,39.51,6.62,41.71,5.55
15,Total Assets,1835,1797,1546,1536,1492,1588,1587,1501,1531,1599
16,Accounts Payable,189.83,195.04,189.46,200.71,223.92,327.72,228.76,265.82,282.69,366.42
17,Accrued Expenses,-,-,-,0.34,-,-,-,0.31,-,7.37
18,Short-Term Debt,89.5,89.5,85,55,68.66,115.16,106.71,122.81,106.75,126.21
19,Current Income Taxes Payable,23.54,20.52,14.02,13.27,8.44,1.95,-,9.53,4.06,10.49
20,Current Unearned Revenue,561.15,542.93,377.01,354.68,262.25,264.25,393.26,247.05,270.78,233.1
21,Other Current Liabilities,85.86,78.68,39.26,77.51,139.35,98.65,96.87,95.05,108.89,99.58
22,Total Current Liabilities,949.87,926.68,704.74,701.51,702.61,807.73,825.59,740.57,773.17,843.17
23,Total Liabilities,949.87,926.68,704.74,701.51,702.61,807.73,825.59,740.57,773.17,843.17
24,Common Stock,135,135,135,135,135,135,135,135,135,135
25,Additional Paid-In Capital,239.06,239.06,239.06,239.06,239.06,239.06,239.06,239.06,239.06,239.06
26,Retained Earnings,501.88,487.34,458.51,451.64,407.06,398.4,380.2,378.68,376.63,374.2
27,Comprehensive Income & Other,9.01,8.78,8.52,8.52,8.51,8.15,7.26,7.26,7.26,7.26
28,Shareholders' Equity,884.96,870.18,841.09,834.22,789.64,780.62,761.52,760,757.96,755.52
29,Total Liabilities & Equity,1835,1797,1546,1536,1492,1588,1587,1501,1531,1599
30,Total Debt,89.5,89.5,85,55,68.66,115.16,106.71,122.81,106.75,126.21
31,Net Cash (Debt),445.79,363.64,208.38,186.04,-60.84,-105.79,-90.31,-18.26,-100.35,-86.9
32,Net Cash Growth,113.94%,95.46%,-,-,-,-,-,-,-,-
33,Net Cash Per Share,3.30,2.69,1.54,1.38,-0.45,-0.78,-0.67,-0.14,-0.74,-0.64
34,Filing Date Shares Outstanding,135,135,135,135,135,135,135,135,135,135
35,Total Common Shares Outstanding,135,135,135,135,135,135,135,135,135,135
36,Working Capital,613.15,586.62,650.21,637.92,463.04,456.19,512.23,507.44,597.03,589.24
37,Book Value Per Share,6.56,6.45,6.23,6.18,5.85,5.78,5.64,5.63,5.61,5.60
38,Tangible Book Value,884.81,869.88,840.65,833.63,788.9,779.73,760.61,758.96,756.76,755.45
39,Tangible Book Value Per Share,6.55,6.44,6.23,6.18,5.84,5.78,5.63,5.62,5.61,5.60
40,Buildings,-,42.95,-,11.84,-,91.08,-,91.08,-,91.08
41,Machinery,-,30.75,-,34.42,-,48.63,-,35.45,-,34.89
42,Construction In Progress,-,6.97,-,-,-,-,-,-,-,-
