,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,356.74,331.43,288.71,160.04,312.43,597.47,165.7,368.02,239.06,387.59
1,Revenue Growth (YoY),23.57%,107.09%,-7.59%,-73.21%,88.55%,62.35%,-30.69%,-5.05%,-29.49%,-12.00%
2,Cost of Revenue,266.13,252.42,226.89,159.97,245.07,507.87,144.31,299.31,196.82,324.53
3,Gross Profit,90.62,79.01,61.81,0.08,67.36,89.6,21.39,68.71,42.24,63.06
4,"Selling, General & Admin",49.07,34.61,40.89,38.14,40.98,53.6,35.15,80.33,36.37,62.77
5,Other Operating Expenses,1.26,-4.99,-0.57,2.75,-2.31,11.84,-15.67,-8.57,-1.06,-7.82
6,Operating Expenses,50.33,29.63,40.32,40.89,38.67,65.44,19.48,71.76,35.31,54.96
7,Operating Income,40.29,49.38,21.5,-40.82,28.7,24.16,1.91,-3.05,6.93,8.11
8,Interest Expense,-4.91,-6.11,-3.78,-4.84,-2.83,-3.2,-3.25,-3.38,-3.68,-4.27
9,Interest & Investment Income,0.12,0.51,0.89,0.24,0.05,0.02,0.11,0.55,0.44,0.5
10,Earnings From Equity Investments,-9.61,-3.61,-7.27,-14.46,-7.44,-2.88,-,2,-,-
11,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,0.29
12,EBT Excluding Unusual Items,25.89,40.16,11.34,-59.87,18.48,18.09,-1.22,-3.89,3.7,4.62
13,Gain (Loss) on Sale of Investments,-,-,-,0.81,-,-,-,0.7,-,0.04
14,Gain (Loss) on Sale of Assets,-,-,0.78,116.34,-,-,-,-,-,-
15,Legal Settlements,-,-,-,-,-,4.9,-,-,-,-
16,Other Unusual Items,-,8.77,-,-,-,3.95,-,-,-,-
17,Pretax Income,25.89,48.93,12.12,57.29,18.48,26.95,-1.22,-3.19,3.7,4.65
18,Income Tax Expense,11.11,13.09,5.25,12.71,9.46,7.85,-2.74,-5.24,1.25,-0.58
19,Net Income,14.78,35.84,6.87,44.58,9.02,19.1,1.52,2.05,2.44,5.23
20,Net Income to Common,14.78,35.84,6.87,44.58,9.02,19.1,1.52,2.05,2.44,5.23
21,Net Income Growth,115.11%,-19.62%,-23.84%,133.49%,494.66%,832.37%,-37.85%,-60.83%,-91.60%,-
22,Shares Outstanding (Basic),135,135,135,135,135,135,135,135,135,135
23,Shares Outstanding (Diluted),135,135,135,135,135,135,135,135,135,135
24,EPS (Basic),0.11,0.27,0.05,0.33,0.07,0.14,0.01,0.02,0.02,0.04
25,EPS (Diluted),0.11,0.27,0.05,0.33,0.07,0.14,0.01,0.01,0.02,0.03
26,EPS Growth,118.93%,-18.84%,-25.17%,131.24%,568.22%,967.42%,-44.69%,-61.02%,-91.60%,-
27,Free Cash Flow,77.77,191.61,20.71,1.72,59.96,37.43,-70.14,145.46,-16.63,11.02
28,Free Cash Flow Per Share,0.58,1.42,0.15,0.01,0.44,0.28,-0.52,1.08,-0.12,0.08
29,Operating Margin,11.29%,14.90%,7.45%,-25.50%,9.18%,4.04%,1.15%,-0.83%,2.90%,2.09%
30,Profit Margin,4.14%,10.81%,2.38%,27.86%,2.89%,3.20%,0.92%,0.56%,1.02%,1.35%
31,Free Cash Flow Margin,21.80%,57.81%,7.17%,1.08%,19.19%,6.27%,-42.33%,39.52%,-6.96%,2.84%
32,EBITDA,41.25,51.38,23.02,-37.94,31.59,25.89,5.83,-0.37,10.03,9.93
33,D&A For EBITDA,0.96,2,1.53,2.87,2.9,1.73,3.92,2.68,3.09,1.82
34,EBIT,40.29,49.38,21.5,-40.82,28.7,24.16,1.91,-3.05,6.93,8.11
