,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2119320,2067120,1900080,1962720,1900080,1962720,1774800,1354080,1237600,1361360,1361360,1310400,1485120,1434160,1470560,1288560,1223040,-,-
1,Market Cap Growth,52.66%,5.32%,7.06%,44.95%,53.53%,44.17%,30.37%,3.33%,-16.67%,-5.08%,-7.43%,1.69%,21.43%,-,-,-,-,-,-
2,Enterprise Value,2110641,2204954,2037914,1941575,1878935,1943406,1121103,1341067,1224587,1302544,1305707,1254747,1429467,1378507,1414907,1233874,1168354,-,-
3,PE Ratio,11.53,11.24,8.96,9.08,9.26,10.08,10.50,10.14,9.44,9.92,10.26,9.03,10.29,10.68,11.46,9.27,11.49,-,-
4,PS Ratio,1.33,1.29,1.19,1.16,1.21,1.31,1.26,1.02,0.94,1.07,1.17,1.22,1.46,1.49,1.45,1.33,1.69,-,-
5,PB Ratio,1.32,1.28,1.18,1.17,1.13,1.23,1.09,1.42,1.34,1.47,1.46,-,1.66,1.60,1.58,1.39,1.30,-,-
6,P/FCF Ratio,6.35,6.19,8.10,13.20,29.39,-,-,-,-,-25.37,-,-,-,6.40,6.54,7.31,7.75,-,-
7,P/OCF Ratio,6.18,6.18,8.09,13.17,29.33,-,-,-,-,-25.82,-,-,-,6.40,6.54,7.30,7.75,-,-
8,EV/Sales Ratio,1.32,1.38,1.28,1.15,1.20,1.30,0.79,1.01,0.93,1.03,1.12,1.16,1.40,1.43,1.40,1.27,1.62,-,-
9,EV/EBITDA Ratio,8.07,8.42,6.76,6.06,7.19,9.52,7.08,16.84,18.24,24.54,-,-,-,7.41,7.65,6.13,7.50,-,-
10,EV/EBIT Ratio,8.09,8.45,6.78,6.08,7.20,9.54,7.10,12.52,10.64,10.40,10.20,9.16,8.86,7.50,7.80,6.29,7.71,-,-
11,EV/FCF Ratio,6.32,6.60,8.69,13.06,29.07,-,-,-,-,-24.27,-,-,-,6.16,6.30,7.00,7.41,-,-
12,Debt / Equity Ratio,-,-,-,0.14,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Debt / EBITDA Ratio,-,-,-,0.83,0.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / FCF Ratio,-,-,-,1.60,3.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Quick Ratio,0.57,0.57,0.57,0.69,0.69,0.48,0.52,0.46,-,0.37,0.47,-,-,0.41,-,0.40,-,-,-
16,Current Ratio,1.12,1.12,1.12,1.15,1.15,1.05,1.07,0.95,-,1.02,1.03,-,-,1.03,-,0.98,-,-,-
17,Asset Turnover,0.21,0.22,0.28,0.29,0.23,-,-,-,0.19,-,-,-,-,-,-,-,-,-,
18,Return on Equity (ROE),12.08%,11.83%,11.10%,11.40%,20.00%,-,15.23%,15.64%,23.44%,-,-,18.86%,24.13%,11.29%,13.88%,-,-,-,
19,Return on Assets (ROA),2.21%,2.27%,2.78%,2.90%,4.04%,-,-,-,2.30%,-,-,-,-,-,-,-,-,-,
20,Return on Capital (ROIC),9.21%,8.41%,9.28%,10.13%,15.30%,-,3.30%,3.78%,14.24%,-,-,6.73%,15.28%,9.90%,11.96%,-,-,-,
21,Return on Capital Employed (ROCE),3.89%,3.89%,4.48%,5.00%,4.08%,3.46%,2.49%,1.71%,-,2.11%,2.29%,-,-,3.65%,-,4.10%,-,-,-
22,Earnings Yield,8.68%,9.22%,11.71%,11.37%,11.17%,10.28%,9.89%,10.35%,11.13%,10.56%,10.61%,11.97%,10.50%,10.18%,8.73%,10.78%,8.71%,-,-
23,Earnings Yield,8.68%,9.22%,11.71%,11.37%,11.17%,10.28%,9.89%,10.35%,11.13%,10.56%,10.61%,11.97%,10.50%,10.18%,8.73%,10.78%,8.71%,-,-
24,FCF Yield,15.75%,16.15%,12.35%,7.58%,3.40%,-0.99%,-,1.20%,-1.51%,-3.94%,-,8.45%,11.27%,15.61%,15.28%,13.69%,12.90%,-,-
25,Dividend Yield,7.88%,-,-,15.95%,13.03%,9.28%,-,-,-,3.24%,-,-,-,-,-,10.96%,3.85%,-,-
26,Payout Ratio,86.94%,170.32%,170.32%,-,-,147.50%,-,50.30%,49.75%,118.79%,-,20.53%,16.22%,117.53%,191.73%,99.60%,100.26%,67.24%,68.32%
27,Buyback Yield / Dilution,-5.04%,0.90%,-,-,-52.08%,2.92%,-,-,-16.98%,-32.16%,-,-,-,-,-,-,-,-,
28,Total Shareholder Return,7.88%,-5.04%,0.90%,15.95%,13.03%,-42.79%,2.92%,-,-,-13.74%,-32.16%,-,-,-,-,10.96%,3.85%,-,-
