,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Investments in Debt Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,486003,-,-,-
1,Investments in Equity & Preferred Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,478545,-,-,-
2,Other Investments,3172822,3172822,3171116,3171116,2793641,3045651,2358507,-,2103018,2107029,-,-,1963544,-,-,-,-,-
3,Total Investments,3172822,3172822,3171116,3171116,2793641,3045651,2358507,-,2103018,2107029,-,-,1963544,-,1777507,-,-,-
4,Cash & Equivalents,8679,8679,99379,99379,21145,19314,653697,-,13013,58816,-,-,37996,-,55653,-,-,-
5,Reinsurance Recoverable,2434398,2434398,1782179,1782179,2166381,2290520,2275452,-,2328532,2272819,-,-,2375597,-,2011043,-,-,-
6,Other Receivables,668230,668230,927286,927286,551010,618624,606882,-,493970,789728,-,-,417008,-,693685,-,-,-
7,"Property, Plant & Equipment",2132,2132,2326,2326,2598,2790,2992,-,3398,236.72,-,-,353.43,-,489.99,-,-,-
8,Other Intangible Assets,368.46,368.46,554.46,554.46,764.14,690.48,825.26,-,845.95,961.22,-,-,325.64,-,541.49,-,-,-
9,Restricted Cash,-,-,-,-,-,-,-,-,588487,-,-,-,-,-,-,-,-,-
10,Other Current Assets,377128,377128,369232,369232,309226,327640,337427,-,371883,314063,-,-,203296,-,218136,-,-,-
11,Other Long-Term Assets,37242,37242,37942,37942,38765,39192,37626,-,38433,40020,-,-,30048,-,30107,-,-,-
12,Total Assets,6700999,6700999,6390016,6390016,5883530,6344421,6273409,-,5941579,5583674,-,-,5028168,-,4787163,-,-,-
13,Accounts Payable,40418,40418,33868,33868,41516,32700,30738,-,29553,38028,-,-,35726,-,53186,-,-,-
14,Accrued Expenses,19444,19444,17307,17307,31973,14344,12998,-,23999,10817,-,-,30406,-,7127,-,-,-
15,Insurance & Annuity Liabilities,205622,205622,1145118,1145118,248533,793616,773523,-,214736,972409,-,-,177032,-,794099,-,-,-
16,Unpaid Claims,2963278,2963278,1783462,1783462,2231116,-,-,-,2429115,-,-,-,2694518,-,2092370,-,-,-
17,Unearned Premiums,1284655,1284655,1354796,1354796,1233129,-,118146,-,1187086,-,-,-,796219,-,790362,-,-,-
18,Reinsurance Payable,453793,453793,-,-,360242,3488961,3453529,-,393700,3395540,-,-,284044,-,-,-,-,-
19,Short-Term Debt,-,-,237213,237213,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Current Income Taxes Payable,17059,17059,12912,12912,22048,12826,9675,-,15137,2840,-,-,13776,-,9686,-,-,-
21,Other Current Liabilities,4306,4306,14516,14516,6706,252899,921791,-,596576,117868,-,-,5115,-,4024,-,-,-
22,Total Liabilities,5091007,5091007,4710244,4710244,4289947,4711459,5320400,-,5017846,4648871,-,-,4133326,-,3857724,-,-,-
23,Common Stock,1044000,1044000,1044000,1044000,1044000,1044000,728000,-,728000,728000,-,-,728000,-,728000,-,-,-
24,Additional Paid-In Capital,329328,329328,329328,329328,329328,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Retained Earnings,236664,236664,306444,306444,220255,259634,225009,-,195734,206803,-,-,166842,-,201438,-,-,-
26,Comprehensive Income & Other,-,-,-,-,-,329328,-,-,-,-,-,-,-,-,-,-,-,-
27,Shareholders' Equity,1609992,1609992,1679772,1679772,1593583,1632962,953009,923734,923734,934803,-,894842,894842,929438,929438,942145,-,860257
28,Total Liabilities & Equity,6700999,6700999,6390016,6390016,5883530,6344421,6273409,-,5941579,5583674,-,-,5028168,-,4787163,-,-,-
29,Filing Date Shares Outstanding,104.4,104.4,104.4,104.4,104.4,101.52,-,-,72.8,104.57,-,-,53.84,79.12,-,-,-,-
30,Total Common Shares Outstanding,104.4,104.4,104.4,104.4,104.4,101.52,-,-,72.8,104.57,-,-,53.84,79.12,-,-,-,-
31,Total Debt,-,-,237213,237213,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Net Cash (Debt),8679,8679,-137834,-137834,21145,19314,653697,13013,13013,58816,-,37996,37996,55653,55653,54686,-,85315
33,Net Cash Growth,-58.96%,-55.07%,-,-,62.50%,-67.16%,-,-65.75%,-65.75%,5.68%,-,-30.52%,-,-34.77%,-,-,-,-
34,Net Cash Per Share,86.27,86.27,-1273.94,-1273.94,220.76,190.26,-,-,206.60,562.47,-,-,705.71,703.40,-,-,-,-
