,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1044,1025,1043,866.02,793.28,569.31,599.14,687.37,564.52,744.87,932.66,872.02,2188,-,-,626.2,-,570.74,570.74
1,Short-Term Investments,-,835,-,860,-,100,-,130,-,462,-,462,-,-,-,-,-,-,-
2,Trading Asset Securities,1102,1029,830.78,906.87,1666,1779,1719,1434,1054,923.13,852.98,845.31,16,-,-,46,-,46,46
3,Cash & Short-Term Investments,2146,2889,1874,2633,2459,2449,2318,2252,1619,2130,1786,2179,2204,-,672.2,672.2,616.74,616.74,616.74
4,Cash Growth,-12.75%,17.96%,-19.16%,16.92%,51.95%,14.96%,29.83%,3.32%,-26.55%,-,165.64%,224.21%,257.31%,-,8.99%,-,-,-,-
5,Accounts Receivable,342.47,317.17,299.49,273.44,291.7,267.42,243.13,162.86,210.45,194.19,275.08,178.59,220.68,-,-,172.43,-,112.09,112.09
6,Other Receivables,19.9,18.41,16.24,14.04,25.2,19.71,16.04,13.76,15.34,15.11,14.36,13.56,20.81,-,-,15.27,-,9.95,9.95
7,Receivables,362.37,335.59,315.73,287.48,316.9,287.13,259.17,176.63,225.79,209.3,289.44,192.15,241.49,-,-,187.71,-,122.04,122.04
8,Inventory,241.63,225.67,280.89,255.38,225.22,272.34,296.01,295.64,340.64,364.41,341.7,393.43,289.24,-,-,280.17,-,170.1,170.1
9,Other Current Assets,921.66,69.49,936.88,40.99,149.47,54.1,54.56,44.53,558.96,52.48,378.06,43.42,33.04,-,-,38.62,-,13.41,13.41
10,Total Current Assets,3671,3519,3408,3217,3151,3062,2928,2769,2744,2756,2795,2808,2767,-,-,1179,-,922.29,922.29
11,"Property, Plant & Equipment",185,195.13,238.38,249.25,255.23,270.75,271.84,267.68,252.05,256.87,214.3,223.69,247.34,-,-,121.87,-,115.26,115.26
12,Long-Term Investments,-,-,-,-,-,3.19,4.55,4.55,1.37,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,32.44,32.52,39.19,32.67,33.08,33.54,33.27,33.63,34.07,34.52,35.01,35.01,19.15,-,-,16.48,-,16.93,16.93
14,Long-Term Deferred Tax Assets,47.29,41.11,29.88,20.94,25.17,19.58,9.28,7.92,11.86,10.91,12.13,11.8,10.36,-,-,6.31,-,3.75,3.75
15,Long-Term Deferred Charges,17.69,18.35,18.78,16.19,13.04,15.61,16.34,16.91,13.91,16.35,15.99,13,14.73,-,-,12.06,-,7.94,7.94
16,Other Long-Term Assets,11.38,11.36,5.08,25.15,5.02,7.09,5.34,14.47,15.24,13.22,8.03,5.63,17.89,-,-,8.26,-,10.16,10.16
17,Total Assets,3965,3818,3739,3561,3483,3412,3269,3114,3072,3088,3080,3097,3077,-,-,1344,-,1076,1076
18,Accounts Payable,463.45,404.76,404.91,369.19,351.97,325.93,286.65,202.92,210.71,285.84,361.17,440.56,408.82,-,-,386.83,-,249.51,249.51
19,Accrued Expenses,25.12,26.92,24.45,32.68,20.93,17.63,17.24,21.86,14.74,15.85,18.46,32.19,18.63,-,-,32.12,-,17.38,17.38
20,Short-Term Debt,54.78,52.74,24.48,-,-,-,-,-,-,-,-,-,45.4,-,-,42.56,-,45.83,45.83
21,Current Portion of Leases,28.5,32.21,36.07,36.49,31.07,32.46,31.03,31.29,32.61,31.41,28.08,28.27,-,-,-,-,-,-,-
22,Current Income Taxes Payable,40.32,31.15,32.35,14.33,40.34,28.99,21.09,18.16,31.71,20.84,18.65,10.12,3.69,-,-,20.23,-,6.81,6.81
23,Current Unearned Revenue,8.77,8.71,5.68,5.56,5.58,11.38,12.87,6.77,17.14,9.57,7.25,7.74,2.63,-,-,1.57,-,0.7,0.7
24,Other Current Liabilities,20.81,0.36,0.07,0.45,5.43,2.11,0.19,0.63,0.62,4.63,1.56,0.67,33.22,-,-,1.06,-,8.15,8.15
25,Total Current Liabilities,641.75,556.86,528,458.69,455.33,418.5,369.08,281.63,307.53,368.13,435.17,519.55,512.4,-,-,484.37,-,328.37,328.37
26,Long-Term Leases,20.12,25.27,77.94,87.22,100.19,113.14,118.12,120.98,125.87,119.56,70.25,69.53,110.99,-,-,-,-,-,-
27,Long-Term Unearned Revenue,0.17,0.19,0.2,0.21,0.28,0.34,0.41,0.48,0.62,0.64,0.72,0.8,0.93,-,-,1.17,-,2.11,2.11
28,Long-Term Deferred Tax Liabilities,5.03,5.06,5.08,5.15,6.9,7.15,3.31,3.35,2.86,2.77,2.79,2.79,2.66,-,-,1.56,-,1.32,1.32
29,Other Long-Term Liabilities,5.95,5.96,5.96,5.96,8.48,8.51,8.28,8.34,10.36,9.96,9.49,9.49,6.57,-,-,3.27,-,1.2,1.2
30,Total Liabilities,673.02,593.34,617.18,557.23,571.19,547.65,499.21,414.77,447.24,501.06,518.42,602.15,633.55,-,-,490.37,-,333,333
31,Common Stock,166.4,166.4,128,128,128,128,128,128,128,128,80,80,80,-,-,60,-,60,60
32,Additional Paid-In Capital,1675,1668,1694,1688,-,1670,1670,1670,1670,1670,1718,1718,1718,-,-,385.25,-,385.25,385.25
33,Retained Earnings,1446,1384,1283,1162,1077,1020,958.95,882.87,805.13,784.76,778.71,708.24,646.2,-,-,415.39,-,297.61,297.61
34,Comprehensive Income & Other,5.28,6.47,16.24,25.43,1706,46.93,12.67,18.24,22.2,4.38,-14.69,-10.78,-0.69,-,-,-7.34,-,0.46,0.46
35,Shareholders' Equity,3292,3224,3122,3004,2911,2864,2769,2699,2625,2587,2562,2495,2443,-,853.31,853.31,743.32,743.32,743.32
36,Total Liabilities & Equity,3965,3818,3739,3561,3483,3412,3269,3114,3072,3088,3080,3097,3077,-,-,1344,-,1076,1076
37,Total Debt,103.4,110.23,138.49,123.71,131.26,145.6,149.15,152.27,158.48,150.97,98.33,97.8,156.39,-,42.56,42.56,45.83,45.83,45.83
38,Net Cash (Debt),2042,2778,1736,2509,2328,2303,2169,2100,1460,1979,1687,2082,2047,-,629.64,629.64,570.91,570.91,570.91
