,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,645.44,644.73,559.16,458.22,514.55,512.22,427.96,346.24,330.72,316.04,462.32,422.38,514.58,517.65,457.46,436.72,418.85,227.73,227.73
1,Other Revenue,-3.22,3.22,-,8.51,-5.32,5.32,-,7.33,-3.94,3.94,-,12.89,-7,7,-,7.1,-2.3,1.15,1.15
2,Revenue,642.22,647.95,559.16,466.73,509.23,517.53,427.96,353.57,326.78,319.98,462.32,435.27,507.58,524.65,457.46,443.82,416.55,228.88,228.88
3,Revenue Growth (YoY),26.12%,25.20%,30.66%,32.00%,55.83%,61.74%,-7.43%,-18.77%,-35.62%,-39.01%,1.06%,-1.92%,21.85%,129.22%,99.86%,-,-,-,-
4,Cost of Revenue,417.46,435.47,372.87,282.88,340.75,348.46,299.49,219.13,219.97,213.44,335.99,387.4,330.09,331.34,323.05,283.39,260.33,154.36,154.36
5,Gross Profit,224.76,212.48,186.29,183.85,168.49,169.07,128.47,134.44,106.81,106.54,126.33,47.88,177.49,193.3,134.41,160.43,156.22,74.52,74.52
6,"Selling, General & Admin",38.35,44.81,35.28,39.17,35.81,25.67,24.29,29.69,24.33,23.04,24.03,-61.07,59.25,81.24,22.42,43.44,35.8,24.99,24.99
7,Research & Development,33.02,29.46,28.47,33.86,28.08,31.16,24.62,22.71,26.07,25.22,23.46,25.88,23.56,23.68,20.71,22.67,25.52,11.59,11.59
8,Other Operating Expenses,2.83,2.89,2.16,2.7,1.83,1.35,-2.14,5.06,0.29,1.01,0.41,3.18,0.25,0.73,1.17,7.51,-4.65,1.78,1.78
9,Operating Expenses,75.64,78.11,68.97,78.88,68.8,57.78,50.14,58.64,52.83,44.62,53.3,-32.73,82.92,108.94,43.87,75.96,58.49,36.65,36.65
10,Operating Income,149.12,134.37,117.33,104.97,99.69,111.3,78.33,75.81,53.98,61.92,73.02,80.61,94.58,84.36,90.54,84.47,97.73,37.87,37.87
