,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,11759,9520,7814,7583,6368,5824,4730,4088,3681,3725,4339,4502,6304,5159,-,-,-,-,-,-
1,Market Cap Growth,63.46%,63.46%,65.22%,85.47%,72.98%,56.36%,9.00%,-9.20%,-41.60%,-27.80%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9717,6741,6078,5255,4040,3521,2560,2628,2221,1746,2652,2455,4257,4530,-,-,-,-,-,-
3,Last Close Price,70.26,57.21,46.48,44.75,37.58,34.37,27.60,23.52,21.18,21.43,24.58,24.92,34.90,28.56,-,-,-,-,-,-
4,PE Ratio,22.70,18.46,15.90,16.78,15.63,14.55,13.02,12.00,11.00,11.68,13.54,15.78,21.12,17.94,-,-,-,-,-,-
5,Forward PE,21.27,18.04,15.51,16.44,14.40,14.68,13.10,10.72,10.72,10.72,11.54,13.59,20.10,20.47,-,-,-,-,-,-
6,PS Ratio,5.05,4.11,3.58,3.69,3.31,3.22,2.91,2.86,2.52,2.41,2.52,2.33,3.27,2.67,-,-,-,-,-,-
7,PB Ratio,3.55,2.89,2.42,2.43,2.12,2.00,1.65,1.48,1.36,1.42,1.68,1.76,2.53,2.11,-,-,-,-,-,-
8,P/TBV Ratio,2.92,2.92,2.45,2.46,2.14,2.02,1.67,1.49,1.38,1.44,1.70,1.78,2.56,2.13,-,-,-,-,-,-
9,P/FCF Ratio,22.99,18.61,15.77,15.44,12.96,10.40,11.42,12.49,16.18,23.61,26.28,-,32.65,25.84,-,-,-,-,-,-
10,P/OCF Ratio,17.58,17.58,14.90,14.51,12.02,9.79,10.43,11.02,13.96,18.98,21.31,-,24.71,19.29,-,-,-,-,-,-
11,PEG Ratio,0.85,0.85,0.85,0.85,0.85,0.85,0.85,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,4.20,2.91,2.78,2.56,2.10,1.95,1.57,1.84,1.52,1.13,1.54,1.27,2.21,2.34,-,-,-,-,-,-
13,EV/EBITDA Ratio,17.43,12.77,12.70,11.50,9.66,9.06,7.48,9.03,7.79,6.04,8.07,6.91,11.45,12.10,-,-,-,-,-,-
14,EV/EBIT Ratio,19.37,13.33,13.32,12.13,10.25,9.64,8.02,9.73,8.39,6.48,8.55,7.38,12.16,12.80,-,-,-,-,-,-
15,EV/FCF Ratio,19.00,13.18,12.27,10.70,8.22,6.29,6.18,8.03,9.76,11.07,16.06,-,22.05,22.69,-,-,-,-,-,-
16,Debt / Equity Ratio,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.04,0.04,0.06,-,0.05,0.05,0.06,0.06,0.06
17,Debt / EBITDA Ratio,0.19,0.17,0.18,0.28,0.22,0.31,0.26,0.45,0.32,0.68,0.45,0.32,0.23,0.40,-,0.11,0.12,0.12,0.29,0.29
18,Debt / FCF Ratio,0.20,0.20,0.22,0.28,0.25,0.23,0.35,0.46,0.67,1.00,0.91,-,0.51,0.78,-,0.22,0.22,0.50,0.57,1.13
19,Asset Turnover,0.66,0.69,0.61,0.53,0.59,0.62,0.54,0.46,0.42,0.42,0.60,0.56,-,-,-,-,-,0.85,-,
20,Inventory Turnover,6.46,7.15,6.88,5.56,4.71,5.48,4.90,4.05,2.76,2.50,2.42,3.66,4.54,-,-,-,-,-,3.63,-
21,Quick Ratio,3.91,3.91,5.79,4.15,6.37,6.10,6.54,6.98,8.62,6.00,6.35,4.77,4.56,4.77,-,-,1.78,-,2.25,2.25
22,Current Ratio,5.72,5.72,6.32,6.45,7.01,6.92,7.32,7.93,9.83,8.92,7.49,6.42,5.41,5.40,-,-,2.43,-,2.81,2.81
23,Return on Equity (ROE),17.86%,20.71%,15.80%,11.47%,16.81%,17.69%,11.21%,11.68%,12.95%,15.86%,11.15%,10.05%,-,-,39.23%,25.63%,35.86%,23.63%,-,
24,Return on Assets (ROA),9.58%,8.89%,8.04%,7.45%,7.23%,8.33%,6.14%,6.13%,4.38%,5.02%,5.91%,6.53%,-,-,-,-,-,8.80%,-,
25,Return on Capital (ROIC),11.08%,10.19%,9.18%,8.51%,8.24%,9.39%,6.79%,6.73%,4.89%,5.74%,6.95%,7.76%,-,-,25.26%,25.06%,30.96%,12.00%,-,
