,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2209,2837,3719,4492,4746,5465,5731,6300,4849,5283,6952,Upgrade
1,Market Cap Growth,-36.86%,-36.86%,-21.64%,-17.79%,-17.18%,-13.25%,18.17%,19.25%,-30.25%,-28.99%,-4.57%,Upgrade
2,Enterprise Value,5867,6585,7737,8939,9201,10463,8683,8940,7033,7855,9085,Upgrade
3,Last Close Price,1.62,2.05,2.60,3.07,3.05,3.46,3.45,3.74,2.75,2.96,3.70,Upgrade
4,PE Ratio,-,-,-,-,-,5.25,6.71,-12599.10,-,-,29.10,Upgrade
5,Forward PE,40.50,20.90,33.21,30.79,15.91,11.85,11.06,9.25,6.60,7.76,9.14,Upgrade
6,PS Ratio,2.28,2.94,4.21,1.21,1.16,1.44,1.67,4.78,1.75,2.24,8.38,Upgrade
7,PB Ratio,0.10,0.12,0.14,0.17,0.17,0.19,0.20,0.23,0.18,0.19,0.24,Upgrade
8,P/TBV Ratio,0.12,0.12,0.14,0.17,0.17,0.19,0.20,0.23,0.18,0.19,0.24,Upgrade
9,P/FCF Ratio,12.72,-,7.34,12.06,8.43,-3.54,-,2.38,1.76,6.29,20.13,Upgrade
10,P/OCF Ratio,15.92,-,7.26,11.85,8.34,-3.55,-,2.37,1.75,6.23,19.33,Upgrade
11,EV/Sales Ratio,6.08,6.82,8.77,2.41,2.25,2.76,2.54,6.78,2.53,3.33,10.95,Upgrade
12,EV/EBITDA Ratio,-,-,23.09,9.50,8.36,10.28,9.73,24.99,12.73,16.23,33.27,Upgrade
13,EV/EBIT Ratio,-,-,23.40,9.58,8.43,10.38,9.91,26.33,13.16,16.86,35.01,Upgrade
14,EV/FCF Ratio,33.77,-,15.28,24.00,16.34,-6.78,-,3.37,2.55,9.35,26.30,Upgrade
15,Debt / Equity Ratio,0.28,0.28,0.26,0.26,0.25,0.24,0.24,0.17,0.16,0.18,0.16,Upgrade
16,Debt / FCF Ratio,39.79,-,13.44,18.37,11.95,-4.32,-,1.78,1.59,6.03,13.55,Upgrade
17,Return on Capital Employed (ROCE),-,-,1.09%,2.91%,3.42%,3.14%,2.74%,1.08%,1.68%,1.40%,0.77%,Upgrade
18,Earnings Yield,-83.91%,-63.02%,-22.17%,-27.23%,-10.02%,20.23%,16.05%,1.02%,-12.59%,-7.48%,4.37%,Upgrade
19,FCF Yield,7.86%,6.12%,13.62%,8.29%,11.86%,-28.23%,-23.28%,42.10%,56.82%,15.90%,4.97%,Upgrade
20,Dividend Yield,6.79%,5.35%,5.39%,8.78%,8.84%,7.79%,7.82%,7.21%,9.80%,9.14%,7.30%,Upgrade
21,Buyback Yield / Dilution,-0.05%,-0.01%,-0.09%,-0.09%,-0.09%,-0.08%,0.00%,-0.01%,0.12%,-0.12%,-0.43%,Upgrade
22,Total Shareholder Return,6.74%,5.34%,5.30%,8.69%,8.75%,7.71%,7.82%,7.20%,9.92%,9.02%,6.87%,Upgrade
