,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,2803,2642,2595,2241,1963,1466,1539,1190,2349,1740,Upgrade
1,Short-Term Investments,360.1,531.9,350,84.3,241.4,340,237.1,475.5,316.3,329.9,Upgrade
2,Trading Asset Securities,196.4,49.3,37.8,107.3,-,-,6.1,75.3,220.8,46.9,Upgrade
3,Cash & Short-Term Investments,3360,3224,2983,2432,2204,1806,1782,1741,2886,2117,Upgrade
4,Cash Growth,12.62%,32.54%,35.33%,34.71%,23.70%,3.71%,-38.26%,-17.76%,9.44%,-33.99%,Upgrade
5,Accounts Receivable,39.8,37.2,38.2,47.1,150.1,148.8,234.7,214.1,217.5,182.8,Upgrade
6,Other Receivables,155.6,506.9,115.9,131.6,150.1,98.6,118,93.5,137.3,209.4,Upgrade
7,Receivables,283.9,813.6,610.5,780.1,1170,1490,1077,1722,1361,1418,Upgrade
8,Inventory,3462,3834,3831,3739,5585,5702,4551,4244,4107,4910,Upgrade
9,Other Current Assets,84.8,117.7,533.4,831.8,536.5,720.7,1003,1376,806.4,633.2,Upgrade
10,Total Current Assets,7191,7989,7958,7783,9495,9719,8412,9082,9160,9078,Upgrade
11,"Property, Plant & Equipment",18956,19758,20358,20531,21619,21844,21889,20458,19989,20502,Upgrade
12,Long-Term Investments,6168,6019,2268,6620,3095,2665,2579,2220,2236,2572,Upgrade
13,Long-Term Deferred Tax Assets,7.3,9.1,10.1,8,15.4,17.6,35.6,31.3,21.5,34.6,Upgrade
14,Other Long-Term Assets,197.5,213,252.3,309.3,226.5,98.8,58.5,63.1,76.9,45.8,Upgrade
15,Total Assets,32519,33988,34935,35499,38563,38739,38068,37246,36098,36323,Upgrade
16,Accounts Payable,37.4,28.2,26.4,16.6,8,9.7,8.2,8.8,3.7,46.6,Upgrade
17,Current Portion of Long-Term Debt,3180,2808,1868,2551,3113,3458,1396,725.9,342.7,146.6,Upgrade
18,Current Income Taxes Payable,131.5,122.6,118.4,169.6,100.7,79,30.6,11.9,30.8,23.2,Upgrade
19,Current Unearned Revenue,7.8,3.1,21.8,45.8,2377,2341,4353,3818,1369,1604,Upgrade
20,Other Current Liabilities,585.8,674.6,872.5,822.4,869.6,918.5,859.4,861.6,1189,836.4,Upgrade
21,Total Current Liabilities,3943,3637,2907,3605,6468,6806,6647,5426,2935,2657,Upgrade
22,Long-Term Debt,3732,4000,4975,4177,3549,3346,3338,3654,4723,4535,Upgrade
23,Long-Term Deferred Tax Liabilities,252.9,240.3,378.2,378.9,390.1,385.1,373.6,366.6,356.6,357.6,Upgrade
24,Other Long-Term Liabilities,-,16.2,10,11,11.2,35.1,146.5,158.6,242,150.4,Upgrade
25,Total Liabilities,7927,7894,8270,8172,10418,10573,10505,9605,8256,7699,Upgrade
26,Common Stock,678.6,678.6,678.6,678,678,677.4,677.4,677.3,677.3,676.3,Upgrade
27,Additional Paid-In Capital,4092,4092,4092,4090,4090,4088,4088,4087,4087,4081,Upgrade
28,Retained Earnings,18226,19672,20270,20929,21924,21835,21250,21346,21616,22379,Upgrade
29,Comprehensive Income & Other,1489,1489,1466,1479,1454,1567,1547,1529,1457,1480,Upgrade
30,Total Common Equity,24486,25932,26507,27176,28146,28166,27562,27639,27838,28616,Upgrade
31,Minority Interest,105.8,163.1,158.5,151.1,-2,-0.5,0.8,2.1,3.9,7.6,Upgrade
32,Shareholders' Equity,24592,26095,26665,27327,28144,28166,27563,27641,27842,28624,Upgrade
33,Total Liabilities & Equity,32519,33988,34935,35499,38563,38739,38068,37246,36098,36323,Upgrade
34,Total Debt,6912,6809,6843,6728,6662,6804,4734,4380,5066,4681,Upgrade
35,Net Cash (Debt),-3552,-3585,-3860,-4296,-4457,-4999,-2952,-2639,-2180,-2565,Upgrade
36,Net Cash Per Share,-2.62,-2.64,-2.84,-3.17,-3.29,-3.69,-2.18,-1.95,-1.61,-1.89,Upgrade
37,Filing Date Shares Outstanding,1357,1357,1357,1356,1356,1355,1355,1355,1355,1353,Upgrade
38,Total Common Shares Outstanding,1357,1357,1357,1356,1356,1355,1355,1355,1355,1353,Upgrade
39,Working Capital,3248,4352,5051,4179,3027,2912,1766,3657,6226,6422,Upgrade
40,Book Value Per Share,16.94,18.01,18.43,18.94,19.66,19.67,19.23,19.29,19.43,20.04,Upgrade
41,Tangible Book Value,24486,25932,26507,27176,28146,28166,27562,27639,27838,28616,Upgrade
42,Tangible Book Value Per Share,16.94,18.01,18.43,18.94,19.66,19.67,19.23,19.29,19.43,20.04,Upgrade
43,Land,-,49.1,-,49.1,-,49.1,-,49.1,-,49.1,Upgrade
44,Buildings,-,4862,-,5081,-,5695,-,3782,-,2965,Upgrade
45,Machinery,-,96.5,-,91.9,-,98.1,-,110.3,-,85.8,Upgrade
