,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,255.43,133.83,118.21,200.94,175.27,226.7,171.72,211.29,103.38,406.2,Upgrade
1,Cash & Short-Term Investments,255.43,133.83,118.21,200.94,175.27,226.7,171.72,211.29,103.38,406.2,Upgrade
2,Cash Growth,116.09%,-33.40%,-32.56%,-11.36%,2.07%,7.29%,66.11%,-47.98%,-32.80%,122.54%,Upgrade
3,Accounts Receivable,1523,2390,1772,2025,1939,2568,2191,2040,2048,2430,Upgrade
4,Other Receivables,173.38,89.39,166.37,83.4,138.24,29.9,20.78,40.27,16.74,63.78,Upgrade
5,Receivables,1697,2479,1939,2108,2077,2598,2211,2080,2065,2494,Upgrade
6,Inventory,571.9,574.07,719.44,787.28,713.77,553.05,592.74,443.87,629.29,498.42,Upgrade
7,Prepaid Expenses,397.81,-,251.17,235.47,353.83,171.51,292.61,169.02,168.53,171.39,Upgrade
8,Other Current Assets,557.8,814,507.62,710.97,740.99,988.69,911.32,750.81,670.83,977.45,Upgrade
9,Total Current Assets,3480,4001,3535,4043,4061,4538,4180,3655,3637,4547,Upgrade
10,"Property, Plant & Equipment",604.29,646.92,759.01,797.58,803,845.17,817.61,760.36,556.74,402.73,Upgrade
11,Long-Term Investments,20.94,20.94,20.94,20.94,-,-,-,-,-,-,Upgrade
12,Other Intangible Assets,2.59,3.03,3.6,4.19,5.27,4.54,2.59,3.27,3.83,2.46,Upgrade
13,Long-Term Deferred Tax Assets,100.19,102.64,96.57,98.7,98.62,105.36,114.24,128.45,146.34,141,Upgrade
14,Other Long-Term Assets,92.99,95.51,74.56,77.11,79.51,85.67,102.54,97.03,80.21,89.8,Upgrade
15,Total Assets,4301,4870,4490,5042,5048,5579,5217,4644,4424,5183,Upgrade
16,Accounts Payable,1821,2363,1894,2613,2477,3118,2804,2482,2491,3347,Upgrade
17,Accrued Expenses,-,26.16,-,39.67,-,37.16,-,40.46,-,50.47,Upgrade
18,Short-Term Debt,1,1.21,1.28,1.14,2.19,2.33,3.34,2.03,0.04,12.06,Upgrade
19,Current Portion of Long-Term Debt,1042,1037,1115,879.44,989.64,861.66,861.74,698.18,670.04,591.48,Upgrade
20,Current Portion of Leases,6.46,6.73,6.79,7.02,6.54,6.44,7.43,7.87,3.52,4.13,Upgrade
21,Current Income Taxes Payable,-,32.06,-,28.77,-,69.78,5.54,67.55,-,46.23,Upgrade
22,Current Unearned Revenue,-,17.77,-,14.92,-,21.03,-,21.35,-,28.73,Upgrade
23,Other Current Liabilities,92.52,27.6,119.09,65.12,173.86,65.51,194.02,57.71,148.04,17.11,Upgrade
24,Total Current Liabilities,2963,3511,3137,3649,3650,4182,3876,3377,3313,4097,Upgrade
25,Long-Term Debt,241.08,263,284.97,307.1,325.72,313.33,287.38,213.77,60,0.6,Upgrade
26,Long-Term Leases,1.77,4.85,7.38,10.72,13.34,16.59,19.96,23.47,8.36,5.77,Upgrade
27,Long-Term Deferred Tax Liabilities,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,Upgrade
28,Total Liabilities,3211,3784,3434,3972,3994,4517,4189,3619,3386,4109,Upgrade
29,Common Stock,107.59,107.59,107.59,107.59,107.59,107.59,107.59,107.59,107.59,107.59,Upgrade
30,Additional Paid-In Capital,619.29,619.29,619.29,619.29,619.29,619.29,619.29,619.29,619.29,619.29,Upgrade
31,Retained Earnings,258.37,252.85,218.45,232.74,222.91,208.7,176.9,167.76,191.63,220.44,Upgrade
32,Comprehensive Income & Other,109.08,111.79,111.3,110.59,110.57,122.04,119.09,119.19,109.81,111.41,Upgrade
