,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,2441,3500,2645,3208,3152,3897,3195,3314,2903,4076,Upgrade
1,Revenue Growth (YoY),-7.73%,9.12%,-16.07%,-17.68%,-1.36%,17.58%,10.07%,-18.70%,-12.55%,1.78%,Upgrade
2,Cost of Revenue,2288,3284,2466,3017,2889,3657,2921,3109,2717,3804,Upgrade
3,Gross Profit,152.83,216.43,178.77,190.28,262.68,239.19,273.57,204.55,185.74,272.03,Upgrade
4,"Selling, General & Admin",145.6,177.51,171.33,174.3,215.08,215.37,210.09,188.56,204.87,205.1,Upgrade
5,Other Operating Expenses,-0.73,-23.01,-7.9,-19.4,-8.3,-49.52,6.03,-12.14,-7.04,-16.17,Upgrade
6,Operating Expenses,131.33,153.06,162.06,161.54,207.69,161.83,218.35,193.75,202.86,188.94,Upgrade
7,Operating Income,21.5,63.37,16.7,28.75,54.99,77.36,55.22,10.8,-17.12,83.09,Upgrade
8,Interest Expense,-32.81,-38.29,-33.06,-36.22,-41.56,-37.5,-40.03,-15.07,-25.84,-28.54,Upgrade
9,Interest & Investment Income,10.37,4.61,5.76,4.85,7.95,5.38,5.41,4.72,5.69,5.29,Upgrade
10,Other Non Operating Income (Expenses),0.72,-4.59,-1.57,-4.85,-0.77,-0.85,4,-1.3,-0.23,-0.01,Upgrade
11,EBT Excluding Unusual Items,-0.23,25.1,-12.16,-7.47,20.6,44.39,24.61,-0.85,-37.5,59.83,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-,17.62,-,-,-,-,-,-,Upgrade
13,Gain (Loss) on Sale of Assets,-0.37,-0.49,-0.38,-0.07,-,-0.67,-,-0.03,-,5.84,Upgrade
14,Asset Writedown,-,-1.15,-,-3.77,-,-3.83,-,-1.53,-,-3.92,Upgrade
15,Pretax Income,8.71,23.45,-12.54,6.3,20.6,39.89,24.61,-2.4,-37.5,61.75,Upgrade
16,Income Tax Expense,3.15,-6.1,2.8,-1.32,8.15,9.92,16.01,20.06,-2.48,27.01,Upgrade
17,Earnings From Continuing Operations,5.56,29.56,-15.34,7.62,12.45,29.97,8.59,-22.46,-35.02,34.74,Upgrade
18,Net Income to Company,5.56,29.56,-15.34,7.62,12.45,29.97,8.59,-22.46,-35.02,34.74,Upgrade
19,Minority Interest in Earnings,-0.03,4.84,1.05,2.21,1.77,1.83,1.79,-1.41,6.21,2.58,Upgrade
20,Net Income,5.52,34.4,-14.29,9.82,14.21,31.8,10.38,-23.87,-28.81,37.32,Upgrade
21,Net Income to Common,5.52,34.4,-14.29,9.82,14.21,31.8,10.38,-23.87,-28.81,37.32,Upgrade
22,Net Income Growth,-,250.15%,-,-69.11%,36.91%,-,-,-,-,-45.35%,Upgrade
23,Shares Outstanding (Basic),1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,Upgrade
24,Shares Outstanding (Diluted),1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,Upgrade
25,EPS (Basic),0.01,0.03,-0.01,0.01,0.01,0.03,0.01,-0.02,-0.03,0.03,Upgrade
26,EPS (Diluted),0.01,0.03,-0.01,0.01,0.01,0.03,0.01,-0.02,-0.03,0.03,Upgrade
27,EPS Growth,-,250.18%,-,-69.11%,36.92%,-,-,-,-,-45.35%,Upgrade
28,Free Cash Flow,7.2,377.03,-507.37,164.29,-415.53,106.97,-112.8,4.17,-745.1,24.55,Upgrade
29,Free Cash Flow Per Share,0.01,0.35,-0.47,0.15,-0.38,0.10,-0.10,0.00,-0.68,0.02,Upgrade
30,Operating Margin,0.88%,1.81%,0.63%,0.90%,1.74%,1.99%,1.73%,0.33%,-0.59%,2.04%,Upgrade
31,Profit Margin,0.23%,0.98%,-0.54%,0.31%,0.45%,0.82%,0.32%,-0.72%,-0.99%,0.92%,Upgrade
32,Free Cash Flow Margin,0.29%,10.77%,-19.18%,5.12%,-13.19%,2.75%,-3.53%,0.13%,-25.67%,0.60%,Upgrade
33,EBITDA,73.54,126.33,69.02,79.72,112.46,122.32,92,48.9,16.79,112.41,Upgrade
34,D&A For EBITDA,52.04,62.96,52.32,50.98,57.47,44.96,36.79,38.1,33.91,29.31,Upgrade
35,EBIT,21.5,63.37,16.7,28.75,54.99,77.36,55.22,10.8,-17.12,83.09,Upgrade
