,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,0.73,0.73,0.73,0.72,0.73,0.8,0.92,0.92,1.03,1.12,Upgrade
1,Other Revenue,32.03,73.32,27.76,19.26,11.5,10.42,52.04,39.18,20.75,20.22,Upgrade
2,Revenue,32.76,74.05,28.49,19.98,12.23,11.22,52.96,40.1,21.78,21.34,Upgrade
3,Revenue Growth (YoY),15.00%,270.55%,133.00%,78.09%,-76.91%,-72.02%,143.19%,87.92%,3.58%,-12.02%,Upgrade
4,Cost of Revenue,-,-,-,-,-,-,-,0.87,-,-0.05,Upgrade
5,Gross Profit,32.76,85.75,28.49,23.73,12.23,11.18,52.96,39.23,21.78,21.39,Upgrade
6,"Selling, General & Admin",3.35,3.21,4.32,4.09,6.79,5.43,5.72,5.61,4.86,6.44,Upgrade
7,Operating Expenses,3.35,3.76,4.32,4.83,6.79,5.57,5.72,5.61,4.86,6.46,Upgrade
8,Operating Income,29.41,81.99,24.17,18.9,5.44,5.61,47.24,33.62,16.92,14.93,Upgrade
9,Interest Expense,-,-,-,-,-0,-,-0,-0.36,-0.01,-0.01,Upgrade
10,Interest & Investment Income,-,-,-,0,-,0,-,-,-,-,Upgrade
11,Currency Exchange Gain (Loss),-1.82,-1.45,2.57,-4.32,1.79,2.34,0.72,0.16,-2.87,2.35,Upgrade
12,Other Non Operating Income (Expenses),-,0.01,2.64,-0.02,-,-,-,-0,-,-3.88,Upgrade
13,EBT Excluding Unusual Items,27.59,80.54,29.38,14.56,7.22,7.95,47.96,33.42,14.04,13.39,Upgrade
14,Impairment of Goodwill,-,-,-,-0.94,-,-,-,-,-,-,Upgrade
15,Gain (Loss) on Sale of Investments,12.76,-67.39,-34.71,-38.18,-71.82,-1.1,14.97,18.42,18.24,9.32,Upgrade
16,Asset Writedown,-,-0.73,-,-0.28,-,1.84,-1.7,-8.34,-3.08,-8.61,Upgrade
17,Other Unusual Items,-,-,-,-,-,-,-,0.48,-,-,Upgrade
18,Pretax Income,40.35,12.42,-5.34,-24.84,-64.59,8.69,61.22,43.98,29.19,14.1,Upgrade
19,Income Tax Expense,-,-,-,-,-,-0.01,0,0,-,-0,Upgrade
20,Earnings From Continuing Operations,40.35,12.42,-5.34,-24.84,-64.59,8.7,61.22,43.97,29.19,14.1,Upgrade
21,Net Income to Company,40.35,12.42,-5.34,-24.84,-64.59,8.7,61.22,43.97,29.19,14.1,Upgrade
22,Minority Interest in Earnings,0,0.03,-0.01,-0.3,-0.2,-0.08,0.03,-,-,0,Upgrade
23,Net Income,40.35,12.45,-5.34,-25.14,-64.79,8.62,61.26,43.97,29.19,14.11,Upgrade
24,Net Income to Common,40.35,12.45,-5.34,-25.14,-64.79,8.62,61.26,43.97,29.19,14.11,Upgrade
25,Net Income Growth,-,-,-,-,-,-80.39%,109.85%,211.75%,-0.92%,0.93%,Upgrade
26,Shares Outstanding (Basic),451,451,451,451,451,451,451,451,451,451,Upgrade
27,Shares Outstanding (Diluted),451,451,451,451,451,451,451,451,451,451,Upgrade
28,Shares Change (YoY),-,-,-,-,-,-,-,-0.00%,-0.00%,-,Upgrade
29,EPS (Basic),0.09,0.03,-0.01,-0.06,-0.14,0.02,0.14,0.10,0.06,0.03,Upgrade
30,EPS (Diluted),0.09,0.03,-0.01,-0.06,-0.14,0.02,0.14,0.10,0.06,0.03,Upgrade
31,EPS Growth,-,-,-,-,-,-80.39%,109.85%,211.76%,-0.92%,0.93%,Upgrade
32,Free Cash Flow,6.45,58.88,12.24,5.18,13.98,251.25,-233.52,48.43,-31.15,26.73,Upgrade
33,Free Cash Flow Per Share,0.01,0.13,0.03,0.01,0.03,0.56,-0.52,0.11,-0.07,0.06,Upgrade
34,Operating Margin,89.78%,110.73%,84.83%,94.56%,44.49%,50.02%,89.21%,83.83%,77.67%,69.98%,Upgrade
35,Profit Margin,123.16%,16.81%,-18.76%,-125.79%,-529.89%,76.84%,115.66%,109.65%,134.04%,66.09%,Upgrade
36,Free Cash Flow Margin,19.67%,79.51%,42.95%,25.92%,114.31%,2239.09%,-440.94%,120.76%,-143.05%,125.23%,Upgrade
37,EBITDA,29.76,82.37,24.55,19.28,5.83,6,47.63,34.01,17.24,15.18,Upgrade
38,D&A For EBITDA,0.34,0.37,0.38,0.38,0.39,0.39,0.39,0.39,0.32,0.25,Upgrade
39,EBIT,29.41,81.99,24.17,18.9,5.44,5.61,47.24,33.62,16.92,14.93,Upgrade
