,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,294.18,241.19,247.62,260.99,212.91,213.21,184.67,186.18,149,150.2
1,Revenue Growth (YoY),18.80%,-7.59%,16.30%,22.41%,15.29%,14.52%,23.94%,23.95%,-9.65%,-10.98%
2,Cost of Revenue,146.37,126.82,126.12,134.19,111.7,109.19,91.13,94.29,76.47,81.29
3,Gross Profit,147.8,114.37,121.5,126.8,101.21,104.02,93.54,91.89,72.53,68.92
4,"Selling, General & Admin",88.11,73.07,67.04,68.03,49.58,59.4,48.66,61.98,38.21,47.97
5,Other Operating Expenses,20.37,5.1,0.64,5.41,-0.12,1.21,2.17,5,0.57,0.9
6,Operating Expenses,108.48,78.17,67.67,74.28,49.46,60.61,50.83,69.38,38.78,48.87
7,Operating Income,39.32,36.19,53.83,52.51,51.75,43.41,42.71,22.51,33.75,20.05
8,Interest Expense,-0.13,-0.15,-0.15,-0.16,-0.18,-0.21,-0.08,-0.04,-0.07,-0.07
9,Interest & Investment Income,5.08,4.75,3.77,1.94,0.84,0.31,0.29,0.36,0.93,2.3
10,Earnings From Equity Investments,3.36,0.72,-0.4,0.24,-,-,-,-,-,-
11,Currency Exchange Gain (Loss),3.23,4.68,-4.68,6.58,-6.58,0,-0,-0.31,2.18,-
12,Other Non Operating Income (Expenses),1.02,0.22,0.05,2.26,0.42,0.27,0.17,2.82,0.14,0.03
13,EBT Excluding Unusual Items,51.87,46.4,52.43,63.37,46.26,43.78,43.08,25.35,36.92,22.3
14,Gain (Loss) on Sale of Investments,0.37,-1.69,1.26,-,-,-,-,-,-,-
15,Asset Writedown,-2.25,-28.96,-11.69,-48.13,-9.44,-32.92,-9.24,-13.87,-8.45,-17.44
16,Other Unusual Items,-,-,-,-0.98,0.98,-,-,-1.81,1.81,-
17,Pretax Income,49.99,15.75,42,14.25,37.8,10.86,33.84,9.66,30.28,4.85
18,Income Tax Expense,7.6,2.99,5.8,-1.01,5.54,-2.94,5.22,-3.35,4.72,-7.24
19,Earnings From Continuing Operations,42.39,12.77,36.2,15.27,32.26,13.8,28.62,13.01,25.56,12.1
20,Net Income,42.39,12.77,36.2,15.27,32.26,13.8,28.62,13.01,25.56,12.1
21,Net Income to Common,42.39,12.77,36.2,15.27,32.26,13.8,28.62,13.01,25.56,12.1
22,Net Income Growth,17.11%,-16.38%,12.21%,10.60%,12.70%,6.10%,12.00%,7.55%,7.14%,-25.36%
23,Shares Outstanding (Basic),1917,1916,1918,1921,1929,1923,1929,1932,1992,1992
24,Shares Outstanding (Diluted),1917,1916,1918,1921,1929,1923,1929,1932,1992,1992
25,Shares Change (YoY),-0.05%,-0.29%,-0.56%,-0.09%,0.00%,-0.45%,-3.17%,-3.02%,7.32%,33.33%
26,EPS (Basic),0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01
27,EPS (Diluted),0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01
28,EPS Growth,17.17%,-16.14%,12.84%,10.70%,12.69%,6.58%,15.67%,13.45%,-0.17%,-45.28%
29,Free Cash Flow,122.97,10.95,-25.2,45.1,-30.79,59.46,6.44,5.24,-21.57,-42.63
30,Free Cash Flow Per Share,0.06,0.01,-0.01,0.02,-0.02,0.03,0.00,0.00,-0.01,-0.02
31,Dividend Per Share,0.011,0.003,0.009,0.004,0.007,0.004,0.005,0.002,0.003,0.002
32,Dividend Growth,22.47%,-23.81%,27.14%,20.00%,40.00%,75.00%,78.57%,-4.76%,16.67%,-
33,Operating Margin,13.37%,15.01%,21.74%,20.12%,24.31%,20.36%,23.13%,12.09%,22.65%,13.35%
34,Profit Margin,14.41%,5.29%,14.62%,5.85%,15.15%,6.47%,15.50%,6.99%,17.15%,8.05%
35,Free Cash Flow Margin,41.80%,4.54%,-10.18%,17.28%,-14.46%,27.89%,3.49%,2.82%,-14.48%,-28.38%
36,EBITDA,40.6,34.44,57.68,52.36,53.95,41.92,45.92,20.34,37.5,20.96
37,D&A For EBITDA,1.28,-1.75,3.85,-0.15,2.2,-1.5,3.21,-2.17,3.76,0.91
38,EBIT,39.32,36.19,53.83,52.51,51.75,43.41,42.71,22.51,33.75,20.05
