,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,"Property, Plant & Equipment",964.65,962.46,962.85,958.03,959.45,958.56,945.45,936.49,950.36,929.3
1,Cash & Equivalents,223.34,222.21,223.98,214.91,206.26,203.77,208.38,217.77,204.01,201.26
2,Accounts Receivable,9.88,6.99,10.61,5.23,4.69,2.43,8.8,6.39,9.99,3.94
3,Other Receivables,0.68,2.23,2.97,2.78,1.42,1.46,1.51,1.67,2.14,5.74
4,Other Current Assets,0.54,-,-,-,-,-,-,-,-,3.72
5,Deferred Long-Term Tax Assets,0.43,0.41,0.48,0.31,0.15,1.53,1.56,1.45,1.49,1.45
6,Total Assets,1200,1194,1201,1181,1172,1168,1166,1164,1168,1145
7,Current Portion of Long-Term Debt,-,-,-,-,-,7,10.5,7,6.75,6.5
8,Current Portion of Leases,0.82,1.22,1.22,1.18,1.12,1.1,0.91,1.36,1.45,1.39
9,Long-Term Debt,-,-,-,-,-,-,-,7,10.5,14
10,Long-Term Leases,-,0.21,0.85,1.41,1.92,2.37,-,0.23,1,1.7
11,Accounts Payable,0.21,0.67,0.56,0.62,1.3,1.44,0.57,1.32,0.59,0.52
12,Accrued Expenses,1.36,4.67,1.27,3.8,0.88,3.16,2.97,3.74,1.87,5.01
13,Current Income Taxes Payable,0.87,0.45,0.94,1.4,1.32,1.27,1.24,5.4,1.33,2.95
14,Current Unearned Revenue,9.73,12.92,15,10.9,11.25,13.76,13.58,10.84,8.86,4.35
15,Other Current Liabilities,6.6,5.87,13.8,4.75,10.37,6.89,15.81,8.4,17.01,9.66
16,Long-Term Deferred Tax Liabilities,197.54,195.92,194.53,191.92,191.18,190.02,187.17,183.82,185.14,179.37
17,Total Liabilities,217.13,221.94,228.17,215.97,219.35,227.01,232.75,229.12,234.51,225.46
18,Common Stock,345.04,345.04,345.04,345.04,345.04,345.04,345.04,345.04,345.04,345.04
19,Additional Paid-In Capital,-,45.06,45.06,45.06,45.06,45.06,45.06,45.06,45.06,45.06
20,Retained Earnings,549.78,540.99,539.73,534.8,525,517.12,504.77,503.34,483.23,478.31
21,Comprehensive Income & Other,87.57,41.26,42.9,40.38,37.53,33.51,38.07,41.2,60.15,51.54
22,Shareholders' Equity,982.39,972.36,972.74,965.29,952.64,940.73,932.95,934.64,933.49,919.95
23,Total Liabilities & Equity,1200,1194,1201,1181,1172,1168,1166,1164,1168,1145
24,Total Debt,0.82,1.43,2.07,2.59,3.04,10.47,11.41,15.6,19.7,23.59
25,Net Cash / Debt,222.53,220.78,221.92,212.32,203.23,193.3,196.97,202.17,184.31,177.67
26,Net Cash Growth,0.27%,3.99%,9.20%,9.84%,3.17%,-4.39%,6.87%,13.79%,17.47%,14.76%
27,Net Cash Per Share,0.50,0.50,0.50,0.48,0.46,0.44,0.45,0.46,0.42,0.40
28,Filing Date Shares Outstanding,441.4,441.4,441.4,441.4,441.4,441.4,441.4,441.4,441.4,441.4
29,Total Common Shares Outstanding,441.4,441.4,441.4,441.4,441.4,441.4,441.4,441.4,441.4,441.4
30,Book Value Per Share,2.23,2.20,2.20,2.19,2.16,2.13,2.11,2.12,2.11,2.08
31,Tangible Book Value,982.39,972.36,972.74,965.29,952.64,940.73,932.95,934.64,933.49,919.95
32,Tangible Book Value Per Share,2.23,2.20,2.20,2.19,2.16,2.13,2.11,2.12,2.11,2.08
33,Buildings,-,0.12,-,0.12,-,0.12,-,0.24,-,3.4
