,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,25.37,12.61,31.33,13.17,6.73,26.85,14.02,55.16,16.68,22.3
1,Short-Term Investments,-,0.93,-,1.02,-,1.07,-,1.86,-,2.24
2,Trading Asset Securities,111.73,136.84,135.56,188.57,114.57,112.37,-,29.74,19.37,5.2
3,Cash & Short-Term Investments,137.1,150.38,166.88,202.76,121.3,140.29,14.02,86.76,36.05,29.73
4,Cash Growth,-17.85%,-25.83%,37.58%,44.53%,765.11%,61.70%,-61.11%,191.78%,-53.46%,-84.02%
5,Accounts Receivable,71.33,64.94,82.01,89.72,91.61,90.38,102.52,92.17,113.62,76.49
6,Other Receivables,-,22.98,-,4.67,-,4.97,-,33.59,-,5.29
7,Receivables,71.33,87.92,82.01,94.39,91.61,95.36,109.38,132.63,121.58,91.61
8,Other Current Assets,6.05,1.45,6.55,0.99,11.12,1.3,23.91,3.35,19.87,3.68
9,Total Current Assets,214.47,239.76,255.44,298.14,224.03,236.94,147.31,222.74,177.5,125.02
10,"Property, Plant & Equipment",5.9,7.15,1.92,2.82,4.03,5.29,7.77,2.03,3.08,5.74
11,Long-Term Investments,39.97,41.84,54.29,49.43,126.4,134.85,268.01,210.36,251.9,298.79
12,Other Intangible Assets,2.92,0.31,0.34,0.37,0.6,0.64,0.69,0.74,0.74,0.77
13,Long-Term Deferred Tax Assets,3.18,2.9,11.63,11.63,14.07,13.83,9.24,7.72,8.8,4.52
14,Other Long-Term Assets,42.2,42.2,-,-,-,-,-,-,-,-
15,Total Assets,308.63,334.15,323.62,362.39,369.11,391.56,433.02,443.58,442.01,434.83
16,Accounts Payable,2.34,-,4.48,-,4.48,7.98,8.42,17.72,-,-
17,Accrued Expenses,3.11,5.05,4.03,7.63,4.87,7.52,5.8,10.43,5.45,10.6
18,Short-Term Debt,5.84,14.9,-,-,-,-,-,-,7.98,-
19,Current Portion of Leases,2.01,2.18,1.44,2.05,2.16,2.3,3.03,0.83,1.73,2.06
20,Current Income Taxes Payable,0.47,-,0.98,1.85,-,4.5,2.23,5.15,10.25,13.73
21,Other Current Liabilities,21.78,34.52,11.92,19.9,0.42,0.36,3.03,3.51,8.81,7.29
22,Total Current Liabilities,35.53,56.65,22.85,31.44,11.93,22.67,22.51,37.64,34.22,33.67
23,Long-Term Leases,3.27,4.19,-,0.47,1.4,2.53,3.93,0.14,-,1.2
24,Long-Term Deferred Tax Liabilities,0.54,0.28,-,-,-,-,-,-,-,-
25,Total Liabilities,39.34,61.12,22.85,31.91,13.33,25.19,26.45,37.78,34.22,34.87
26,Common Stock,153.34,153.34,153.34,153.34,153.34,153.34,153.34,153.34,153.34,153.34
27,Additional Paid-In Capital,158.2,158.2,158.2,158.2,158.2,158.2,158.2,158.2,158.2,158.2
28,Retained Earnings,-46.95,-43.81,-16.63,12.92,37.05,47.42,86.74,86.64,91.43,82.22
29,Comprehensive Income & Other,5.2,5.2,5.27,5.23,5.16,5.08,4.82,4.84,5.06,5.01
30,Total Common Equity,269.79,272.93,300.19,329.69,353.75,364.04,403.09,403.02,408.04,398.77
31,Minority Interest,-0.5,0.11,0.58,0.79,2.04,2.32,3.48,2.78,-0.25,1.19
32,Shareholders' Equity,269.29,273.04,300.77,330.48,355.79,366.36,406.57,405.8,407.79,399.96
33,Total Liabilities & Equity,308.63,334.15,323.62,362.39,369.11,391.56,433.02,443.58,442.01,434.83
34,Total Debt,11.12,21.27,1.44,2.53,3.55,4.83,6.96,0.97,9.71,3.25
35,Net Cash (Debt),125.98,129.11,165.44,200.24,117.74,135.46,7.06,85.79,26.34,26.48
36,Net Cash Growth,-23.85%,-35.52%,40.51%,47.82%,1567.98%,57.89%,-73.20%,223.96%,-58.69%,-85.07%
37,Net Cash Per Share,0.82,0.84,1.08,1.31,0.77,0.88,0.05,0.56,0.17,0.17
38,Filing Date Shares Outstanding,153.34,153.34,153.34,153.34,153.34,153.34,153.34,153.34,153.34,153.34
39,Total Common Shares Outstanding,153.34,153.34,153.34,153.34,153.34,153.34,153.34,153.34,153.34,153.34
40,Working Capital,178.94,183.11,232.59,266.7,212.1,214.27,124.8,185.09,143.28,91.34
41,Book Value Per Share,1.76,1.78,1.96,2.15,2.31,2.37,2.63,2.63,2.66,2.60
42,Tangible Book Value,266.87,272.62,299.85,329.32,353.15,363.4,402.4,402.28,407.3,398
43,Tangible Book Value Per Share,1.74,1.78,1.96,2.15,2.30,2.37,2.62,2.62,2.66,2.60
44,Machinery,-,-,-,-,-,-,-,-,-,7.12
45,Leasehold Improvements,-,-,-,-,-,-,-,-,-,3.6
