,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,321,628,946,1520,1949,1647,2388,2196,2320,2722,6817,Upgrade
1,Market Cap Growth,-58.68%,-58.68%,-51.45%,-7.72%,-18.39%,-25.00%,2.93%,-19.34%,-65.97%,-65.74%,-40.47%,Upgrade
2,Enterprise Value,23079,23487,23283,22802,23891,22455,20998,19182,22640,24863,29909,Upgrade
3,Last Close Price,0.10,0.22,0.33,0.53,0.71,0.60,0.87,0.80,0.86,1.11,2.78,Upgrade
4,PE Ratio,-,-,-,-,-,-0.65,-,-,-,-,-,Upgrade
5,Forward PE,-,-,-,4.57,5.14,3.97,-,7.68,17.79,4.05,4.05,Upgrade
6,PS Ratio,0.01,0.03,0.04,0.06,0.08,0.06,0.09,0.10,0.12,0.28,-,Upgrade
7,PB Ratio,0.41,0.41,0.67,1.20,7.68,2.62,3.60,0.48,0.37,0.20,0.45,Upgrade
8,P/TBV Ratio,-,-,-,-,-,-,-,-,4.49,0.38,0.97,Upgrade
9,P/FCF Ratio,-,-,-,-,-,-,-4.03,-,-,134.94,-,Upgrade
10,P/OCF Ratio,0.93,0.93,23.35,-,-,3.63,12.50,-,-,4.36,-,Upgrade
11,PEG Ratio,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,3.02,0.27,0.27,Upgrade
12,EV/Sales Ratio,0.99,1.01,0.88,0.88,0.93,0.85,0.82,0.91,1.13,2.55,-,Upgrade
13,EV/EBITDA Ratio,39.03,101.53,36.35,53.35,43.47,23.72,-61.29,-,-,38.49,-,Upgrade
14,EV/EBIT Ratio,-,-,-,-692.03,-,72.23,-21.50,-,-,75.01,-,Upgrade
15,EV/FCF Ratio,-47.83,-,-,-,-,-,-35.43,-,-,1232.55,-,Upgrade
16,Debt / Equity Ratio,14.68,14.68,16.35,18.23,89.19,37.83,33.56,4.16,2.77,1.59,1.58,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-,-,-37.57,-,-,1064.58,-,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,-0.38%,-,6.49%,-18.55%,-,-,1.63%,-,Upgrade
19,Earnings Yield,-404.36%,-199.79%,-98.89%,-49.63%,-17.19%,-153.54%,-186.21%,-474.86%,-439.20%,-55.04%,-,Upgrade
20,FCF Yield,-150.19%,-76.85%,-126.61%,-104.65%,-41.20%,-10.91%,-24.82%,-40.99%,-11.12%,0.74%,-,Upgrade
21,Buyback Yield / Dilution,-4.51%,-4.30%,-4.72%,-0.32%,-0.19%,-0.99%,-1.71%,-10.00%,-,-,-,Upgrade
22,Total Shareholder Return,-4.51%,-4.30%,-4.72%,-0.32%,-0.19%,-0.99%,-1.71%,-10.00%,-,-,-,Upgrade
