,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2938,2790,2707,2026,2762,3204,3344,3264,4064,4458,4060,4956,7253,-,-,-,-,-,-,-
1,Market Cap Growth,-12.92%,-12.92%,-19.05%,-37.93%,-32.03%,-28.12%,-17.65%,-34.14%,-43.96%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2732,2712,2648,1960,2638,3076,3239,3144,3808,4347,3839,4641,7237,-,-,-,-,-,-,-
3,Last Close Price,7.38,7.01,6.80,5.09,6.86,7.96,8.30,8.11,9.91,10.87,9.90,12.08,17.44,-,-,-,-,-,-,-
4,PE Ratio,105.43,101.22,91.24,52.24,61.25,67.91,46.10,42.32,52.92,53.90,50.32,60.80,89.26,-,-,-,-,-,-,-
5,PS Ratio,3.09,2.97,2.79,2.01,2.60,2.93,2.89,2.67,3.28,3.48,3.25,4.07,5.84,-,-,-,-,-,-,-
6,PB Ratio,2.75,2.38,2.31,1.74,2.35,2.74,2.86,2.82,3.43,3.78,3.52,4.40,6.20,-,-,-,-,-,-,-
7,P/TBV Ratio,2.40,2.40,2.34,1.75,2.37,-,2.87,2.83,3.43,3.79,3.53,4.40,6.20,-,-,-,-,-,-,-
8,P/FCF Ratio,29.10,27.65,-151.30,-119.04,-,-56.53,37.36,-79.72,-,-79.17,-,-,-,-,-,-,-,-,-,-
