,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,228.17,230.33,242.02,238.62,259.43,268.1,297.88,267.19,322.98,332.17,316.2,307.98,291.64,300.06,341.69,257.36,330.65,252.94,171.97
1,Other Revenue,-,-0.17,0.17,-,-,-0.17,0.17,-,0.33,-0.17,0.17,-,0.32,-0.17,0.17,-,0.03,-,0.02
2,Revenue,228.17,230.17,242.18,238.62,259.43,267.93,298.05,267.19,323.31,332,316.37,307.98,291.96,299.89,341.86,257.36,330.67,252.94,171.99
3,Revenue Growth (YoY),-12.05%,-14.09%,-18.74%,-10.69%,-19.76%,-19.30%,-5.79%,-13.25%,10.74%,10.71%,-7.46%,19.67%,-11.71%,18.56%,98.77%,-,-,-,-
4,Cost of Revenue,184.56,185.53,198.66,186.3,205.88,212.98,235.79,211.84,259.47,268.88,249.91,245.98,220.9,239.84,275.38,207.24,266.64,205.87,136.81
5,Gross Profit,43.61,44.64,43.53,52.32,53.55,54.95,62.26,55.35,63.84,63.13,66.46,62.01,71.06,60.05,66.48,50.12,64.03,47.07,35.18
6,"Selling, General & Admin",35.12,37.23,39.46,36.79,48.78,37.04,37.58,36.36,43.1,35.33,34.8,34.3,42.12,34.34,31.79,30.98,32.2,29.14,24.42
7,Research & Development,1.04,0.35,1.45,0.92,0.72,0.7,1.15,0.62,0.53,0.64,1.17,0.46,-,-,-,-,-,-,-
8,Other Operating Expenses,0.76,-5.6,0.73,-0.23,0.23,-3.57,-1.5,0.39,1.2,1.17,0.59,0.8,7.72,-5.23,0.2,0.76,2.09,-3.08,0.65
9,Operating Expenses,44.76,34.67,25.86,42.72,49.61,33.98,32.77,42.13,36.12,40.61,38.97,40.85,45.27,32.89,34.65,32.85,21.98,33.94,33.22
10,Operating Income,-1.15,9.97,17.66,9.6,3.94,20.97,29.48,13.22,27.72,22.51,27.48,21.15,25.79,27.16,31.83,17.26,42.05,13.13,1.96
11,Interest Expense,-3.27,-0.93,-0.86,-1.13,-7.43,-2.44,-1.89,-1.4,-1.52,-1.03,-0.78,-0.9,-1.92,-0.84,-0.84,-0.95,-0.93,-0.79,-0.77
12,Interest & Investment Income,2.92,0.79,1.11,1.36,5.72,2.25,2.44,2.74,2.65,2.59,2.82,1.71,1.71,1.12,0.89,0.95,1.39,1.1,1.93
13,Currency Exchange Gain (Loss),-,-0.75,0.75,-,-,-0.32,0.32,-,0.78,-0.23,0.23,-,-0.22,0.11,-0.11,-,-0.11,-,-0.24
14,Other Non Operating Income (Expenses),11.76,0.07,-0.39,0.76,3.08,0.52,-0.33,-0.85,-0.7,1.39,-0.4,-0.56,2.88,0.39,-4.2,1.68,0.31,0.34,-0.08
15,EBT Excluding Unusual Items,10.26,9.14,18.28,10.6,5.31,20.98,30.03,13.71,28.93,25.24,29.33,21.41,28.24,27.94,27.57,18.94,42.7,13.78,2.8
16,Gain (Loss) on Sale of Investments,-1.15,-,-,-,-1.38,-,-,-,-,-,-,-,-,-,-,-,-,-0.07,-
17,Gain (Loss) on Sale of Assets,0.38,-0.01,0.01,0.06,0.07,0.01,-0.01,0.02,-0.2,0.03,0,-,-0.01,0,-0,0,0.92,-,-
18,Asset Writedown,-7.13,-0.97,0.47,-0.47,-1.43,-1.63,0.38,-0.38,1.16,-1.16,0.29,-0.29,0.9,-0.9,0.08,-0.08,0.67,-0.15,-0.02
19,Other Unusual Items,0.08,-2.37,1.7,0.59,-,-,-,-,9.1,-,-,-,6.83,-1.92,1.92,-,-4.55,-,0.57
20,Pretax Income,2.44,5.8,20.46,10.77,2.57,19.36,30.4,13.36,38.99,24.11,29.63,21.11,35.97,25.11,29.58,18.86,39.75,13.56,3.35
21,Income Tax Expense,1.23,1.38,4.63,3.76,-0.53,6.15,8.67,4.25,10.51,6.38,8.28,5.96,9.56,6.58,8.48,4.74,11.3,4.11,1.2
22,Earnings From Continuing Operations,1.21,4.41,15.83,7.02,3.1,13.22,21.73,9.11,28.48,17.73,21.35,15.16,26.41,18.54,21.1,14.12,28.45,9.46,2.15
23,Minority Interest in Earnings,-0.19,-0.38,-0.44,0.12,0.01,-0.07,-0.03,0.11,-0.02,0.02,0.02,-0.01,0.02,0.03,0.01,-,-,-,-
24,Net Income,1.01,4.03,15.39,7.13,3.11,13.15,21.7,9.22,28.47,17.74,21.37,15.14,26.43,18.57,21.11,14.12,28.45,9.46,2.15
25,Net Income to Common,1.01,4.03,15.39,7.13,3.11,13.15,21.7,9.22,28.47,17.74,21.37,15.14,26.43,18.57,21.11,14.12,28.45,9.46,2.15
26,Net Income Growth,-67.43%,-69.34%,-29.10%,-22.65%,-89.06%,-25.91%,1.56%,-39.09%,7.71%,-4.46%,1.23%,7.24%,-7.09%,96.38%,882.30%,-,-,-,-
27,Shares Outstanding (Basic),437,387,394,357,371,429,312,461,341,432,427,303,292,309,305,282,314,299,299
28,Shares Outstanding (Diluted),437,387,394,357,371,429,312,461,341,432,427,303,292,309,305,282,314,299,299
29,Shares Change (YoY),17.89%,-9.70%,26.28%,-22.65%,8.65%,-0.82%,-26.99%,52.26%,16.96%,39.69%,40.23%,7.24%,-6.92%,3.67%,2.10%,-,-,-,-
30,EPS (Basic),0.00,0.01,0.04,0.02,0.01,0.03,0.07,0.02,0.08,0.04,0.05,0.05,0.09,0.06,0.07,0.05,0.09,0.03,0.01
31,EPS (Diluted),0.00,0.01,0.04,0.02,0.01,0.03,0.07,0.02,0.08,0.04,0.05,0.05,0.09,0.06,0.07,0.05,0.09,0.03,0.01
32,EPS Growth,-72.38%,-66.05%,-43.85%,0%,-89.93%,-25.29%,39.11%,-60.00%,-7.91%,-31.61%,-27.81%,0%,2.24%,100.00%,862.15%,-,-,-,-
33,Free Cash Flow,120.08,20.38,19.97,-59.5,1.26,21.25,38.95,-118.14,147.45,-109.2,-24.32,-70.24,54.4,-15.96,78.72,-132.27,129.49,-6.06,-96.97
34,Free Cash Flow Per Share,0.27,0.05,0.05,-0.17,0.00,0.05,0.12,-0.26,0.43,-0.25,-0.06,-0.23,0.19,-0.05,0.26,-0.47,0.41,-0.02,-0.32
35,Dividend Per Share,-,-,-,-,-,-,-,-,0.150,-,-,-,0.180,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-,-,-,-,-16.67%,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,19.11%,19.39%,17.97%,21.93%,20.64%,20.51%,20.89%,20.72%,19.74%,19.01%,21.01%,20.13%,24.34%,20.02%,19.45%,19.47%,19.36%,18.61%,20.46%
38,Operating Margin,-0.50%,4.33%,7.29%,4.02%,1.52%,7.83%,9.89%,4.95%,8.57%,6.78%,8.69%,6.87%,8.83%,9.06%,9.31%,6.71%,12.72%,5.19%,1.14%
39,Profit Margin,0.44%,1.75%,6.35%,2.99%,1.20%,4.91%,7.28%,3.45%,8.80%,5.34%,6.76%,4.92%,9.05%,6.19%,6.18%,5.49%,8.60%,3.74%,1.25%
40,Free Cash Flow Margin,52.63%,8.86%,8.25%,-24.94%,0.49%,7.93%,13.07%,-44.22%,45.61%,-32.89%,-7.69%,-22.81%,18.63%,-5.32%,23.03%,-51.39%,39.16%,-2.40%,-56.38%
41,EBITDA,1,11.76,19.39,11.4,5.96,22.98,31.64,15.23,29.73,25.17,29.67,23.81,28.34,29.78,34.48,20.06,45.32,17.55,5.86
42,EBITDA Margin,0.44%,5.11%,8.01%,4.78%,2.30%,8.58%,10.61%,5.70%,9.20%,7.58%,9.38%,7.73%,9.71%,9.93%,10.09%,7.80%,13.70%,6.94%,3.41%
43,D&A For EBITDA,2.15,1.79,1.73,1.79,2.02,2.01,2.15,2.01,2.01,2.66,2.19,2.66,2.55,2.62,2.65,2.8,3.26,4.42,3.9
44,EBIT,-1.15,9.97,17.66,9.6,3.94,20.97,29.48,13.22,27.72,22.51,27.48,21.15,25.79,27.16,31.83,17.26,42.05,13.13,1.96
45,EBIT Margin,-0.50%,4.33%,7.29%,4.02%,1.52%,7.83%,9.89%,4.95%,8.57%,6.78%,8.69%,6.87%,8.83%,9.06%,9.31%,6.71%,12.72%,5.19%,1.14%
46,Effective Tax Rate,50.49%,23.83%,22.61%,34.88%,-,31.74%,28.52%,31.79%,26.94%,26.48%,27.95%,28.21%,26.58%,26.19%,28.66%,25.12%,28.43%,30.29%,35.87%
47,Revenue as Reported,-,230.17,242.18,238.62,-,267.93,298.05,267.19,323.31,332,316.37,307.98,291.96,299.89,341.86,257.36,1089,-,-
48,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.65
