,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,260.84,186.64,151.87,196.23,197.89,310.21,310.92,241.77,326.86,209.78,258.58,402.47,146.6,94.7,139.44,110.71,247.07,-,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,10,40,40,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,260.84,186.64,151.87,196.23,197.89,310.21,310.92,241.77,336.86,249.78,298.58,402.47,146.6,94.7,139.44,110.71,247.07,-,279.23
3,Cash Growth,31.81%,-39.83%,-51.16%,-18.84%,-41.25%,24.19%,4.13%,-39.93%,129.77%,163.75%,114.12%,263.53%,-40.66%,-,-50.06%,-,-,-,-
4,Accounts Receivable,746.93,794.96,795.6,772.8,758.84,783.43,811.76,804.17,747.95,832.34,738.72,628.48,557.35,674.06,601.57,591.97,543.39,-,-
5,Other Receivables,2.15,0.23,7.06,7.05,7.65,1.65,7.43,2.05,4.77,8.54,7.36,6.91,6.89,1,0.59,0.43,10.07,-,-
6,Receivables,749.08,795.19,802.67,779.86,766.49,785.09,819.18,806.22,752.72,840.88,746.08,635.39,564.24,675.06,602.16,592.4,553.46,-,-
7,Inventory,201.88,195.71,197.66,200.59,196.87,203.96,204.93,201.48,204.82,202.78,177.73,171.57,178.86,182.34,187.52,217.5,140.35,-,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,1.11,-,0.07,0.07,-,-
9,Other Current Assets,79.18,81.02,96.32,94.12,93.54,93.56,105.88,104.86,116.95,102.75,80.69,119.34,80.14,13.9,12.83,22.37,25.96,-,-
10,Total Current Assets,1291,1259,1249,1271,1255,1393,1441,1354,1411,1396,1303,1329,969.85,967.11,941.95,943.05,966.91,-,-
11,"Property, Plant & Equipment",118.95,119.82,121.84,118.77,118.53,77,79.39,81.63,81.98,82.53,83.55,85.63,88.27,89.54,91.36,89.14,80.07,-,-
12,Other Intangible Assets,7.48,7.85,8.23,7.57,7.89,1.82,1.99,1.77,1.81,0.98,0.93,1.07,0.94,0.97,0.89,0.98,1.1,-,-
13,Long-Term Deferred Tax Assets,29.99,30.53,30.77,32.4,34.3,31.83,31.86,32.4,31.79,31.91,29.97,27.63,29.06,29.48,29.08,28.15,32.43,-,-
14,Long-Term Deferred Charges,21.9,21.06,22.03,19.48,17.78,15.85,16.14,14.89,13.82,14.7,12.9,12.25,23.43,18.99,16.83,13.96,10.56,-,-
15,Other Long-Term Assets,24.77,25.69,23.17,22.6,28.1,33.44,23.11,22.1,15.63,22.07,15.31,13.22,5.96,6.22,6.19,6.22,6.7,-,-
16,Total Assets,1494,1464,1458,1472,1461,1553,1598,1507,1559,1548,1449,1469,1121,1114,1088,1083,1099,-,-
17,Accounts Payable,224.12,145.65,158.28,129.77,167.67,160.62,191.4,160.07,240.09,207.86,198.42,174.94,127.8,170.68,135.01,112.74,127.53,-,-
18,Accrued Expenses,12.91,12.18,34.26,9.08,17.33,13.52,30.31,9.57,40.11,13.3,32.05,8.26,37.82,28.9,26.35,21.76,31.25,-,-
19,Short-Term Debt,46.27,100.54,84.43,114.43,53.92,160.02,181.89,95.2,51.31,110.74,48.85,57.32,97.64,67.43,48.17,89.45,91.35,-,-
20,Current Portion of Long-Term Debt,4.82,3.74,2.2,9.59,12.58,13.75,12.42,10.23,8.69,12.03,9.27,13.2,10.15,16.14,15.36,16.45,17.15,-,-
21,Current Portion of Leases,-,-,1.5,-,-,-,3.18,-,3.44,-,3.37,-,3.41,3.43,3.44,3.15,-,-,-
