,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 4, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,108,83,174,93,174,140,210,164,182,31,56,Upgrade
1,Market Cap Growth,-11.32%,-11.32%,0%,-33.40%,-16.96%,-14.38%,15.69%,429.61%,223.37%,-65.77%,-41.53%,Upgrade
2,Enterprise Value,112,66,170,64,162,87,168,102,172,26,54,Upgrade
3,Last Close Price,0.10,0.09,0.20,0.11,0.20,0.19,0.29,0.23,0.26,0.12,0.21,Upgrade
4,PE Ratio,-,-,-,-,-,-,10.23,20.22,-,-,-,Upgrade
5,PS Ratio,0.66,0.61,1.01,0.43,0.75,0.56,0.86,0.79,1.03,0.17,0.24,Upgrade
6,PB Ratio,1.41,1.30,2.06,0.93,1.55,1.18,1.56,1.34,1.61,0.52,0.92,Upgrade
7,P/TBV Ratio,1.30,1.30,2.06,0.93,1.55,1.19,1.57,1.33,1.60,0.51,0.91,Upgrade
8,P/FCF Ratio,12.89,9.90,-30.86,-,-,-,-,-,8.56,1.32,2.54,Upgrade
9,P/OCF Ratio,8.17,8.17,-43.23,-,-,-,-,-,7.54,1.19,2.31,Upgrade
10,EV/Sales Ratio,0.82,0.48,0.98,0.30,0.69,0.35,0.69,0.50,0.98,0.15,0.23,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,59.85,-17.02,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-956.25,-,-,-,-,Upgrade
13,EV/FCF Ratio,13.38,7.85,-30.06,-,-,-,-,-,8.10,1.12,2.46,Upgrade
14,Debt / Equity Ratio,0.39,0.39,0.24,0.20,0.14,0.19,0.14,0.19,0.19,0.17,0.29,Upgrade
15,Debt / FCF Ratio,2.94,2.94,-3.62,-,-,-,-,-,1.01,0.42,0.80,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-0.12%,-,-,-,-,Upgrade
17,Earnings Yield,-34.66%,-45.14%,-15.99%,-36.08%,-26.29%,-9.46%,9.78%,4.95%,-1.71%,-52.92%,-41.84%,Upgrade
18,FCF Yield,7.76%,10.10%,-3.24%,-15.45%,-8.62%,-15.10%,-12.18%,-2.70%,11.68%,75.90%,39.38%,Upgrade
19,Buyback Yield / Dilution,-6.28%,-,-13.41%,-20.00%,-9.09%,-1.27%,-135.98%,-227.57%,-48.32%,-8.77%,-,Upgrade
20,Total Shareholder Return,-6.28%,-,-13.41%,-20.00%,-9.09%,-1.27%,-135.98%,-227.57%,-48.32%,-8.77%,-,Upgrade
