,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,1667,1731,1659,-,-,1526,1492,1656,1545,1044,1457,1200,1065,1080,680.88,704.3,613.6,694.51,979.39,780.82,Upgrade
1,Short-Term Investments,-,22.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,506.13,-,313.93,Upgrade
2,Trading Asset Securities,195.42,136,153.89,-,-,576.35,252.1,160.13,296.02,921.63,488.02,707.6,495.92,673.24,624.05,645.83,484.75,791.42,334.51,188.03,Upgrade
3,Cash & Short-Term Investments,1863,1889,1813,-,-,2103,1744,1817,1841,1965,1945,1907,1561,1753,1305,1350,1098,1992,1314,1283,Upgrade
4,Cash Growth,-,-10.16%,3.95%,-,-,6.99%,-10.33%,-4.76%,17.95%,12.10%,49.04%,41.27%,42.10%,-11.99%,-0.68%,5.25%,-16.85%,153.99%,84.65%,137.70%,Upgrade
5,Accounts Receivable,2646,2438,2166,-,-,2426,2289,2178,2268,2146,2142,1855,2390,2513,2569,2254,2364,1960,1903,1959,Upgrade
6,Other Receivables,181.24,202,197.2,-,-,212.82,230.8,207.13,226.61,157.09,178.95,213.79,145.6,120.93,125.28,138.96,166.09,137.06,163.88,124.52,Upgrade
7,Receivables,2827,2640,2363,-,-,2639,2519,2385,2495,2311,2321,2069,2535,2640,2694,2393,2530,2098,2067,2090,Upgrade
8,Inventory,2764,3136,2932,-,-,2150,2384,2388,2233,2227,2108,2047,1875,1774,1991,1716,1549,1408,1367,1780,Upgrade
9,Prepaid Expenses,-,70.98,-,-,-,51.5,-,40.6,-,67.06,-,35.58,-,11.2,-,47.77,-,9.49,-,41.27,Upgrade
10,Other Current Assets,625.79,444.77,610.47,-,-,300.98,306.25,293.17,347.49,211.21,316.97,203.36,291.86,255.87,321.14,176.26,416.23,244.44,1107,221.57,Upgrade
11,Total Current Assets,8079,8181,7718,-,-,7244,6954,6924,6917,6782,6691,6262,6263,6434,6311,5684,5594,5752,5854,5415,Upgrade
12,"Property, Plant & Equipment",4183,4061,3921,-,-,3896,3815,3809,3843,3864,3830,3796,3599,3548,3538,3481,3391,3330,3357,3413,Upgrade
13,Long-Term Investments,1223,1334,1242,-,-,1302,1373,1333,1176,1210,1292,1295,1433,1429,1403,1691,1094,1092,1123,1127,Upgrade
14,Goodwill,341.69,341.69,341.69,-,-,360.71,360.71,360.71,360.71,360.71,360.42,360.42,360.35,360.07,360.13,359.62,359.62,359.62,359.62,359.62,Upgrade
15,Other Intangible Assets,475.18,480.43,485.31,-,-,457.16,454.26,468.29,462.04,463.9,452.67,455.84,460.03,463.2,463.26,435.56,465.52,440.14,440.42,444.52,Upgrade
16,Long-Term Accounts Receivable,20.42,20.42,30.35,-,-,46.1,45.96,64.57,109.38,121.24,131.29,151.82,-,168.93,-,199.03,-,118.73,-,132.78,Upgrade
17,Long-Term Deferred Tax Assets,343.62,347.84,323.53,-,-,338.66,334.34,323.67,365.03,358.73,347.19,346.92,316.57,310.68,293.47,282.42,238.68,230.84,222.08,216.17,Upgrade
18,Long-Term Deferred Charges,17.01,15.51,16.75,-,-,19.44,19.93,15.63,15.56,14.98,16.79,18.72,18.08,17.72,17.94,16.93,12.04,9.56,7.46,4.68,Upgrade
19,Other Long-Term Assets,277.4,157.35,244.97,-,-,150.75,236,204.32,208.1,208.45,284.19,250.49,387.06,207.94,374.5,216.09,496.42,438.44,462.89,324.93,Upgrade
20,Total Assets,14961,14940,14324,-,-,13815,13593,13504,13457,13384,13406,12937,12837,12940,12761,12365,11651,11771,11828,11437,Upgrade
