,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,10101,10265,9409,9139,9397,9737,10887,11555,9573,9890,13057,13162,17919,14214,12929,11901,10448,8539,7805,7204,8025,Upgrade
1,Market Cap Growth,5.42%,5.42%,-13.58%,-20.91%,-1.84%,-1.54%,-16.62%,-12.20%,-46.58%,-30.42%,0.99%,10.59%,71.51%,66.46%,65.65%,65.20%,30.19%,9.79%,-15.92%,-37.15%,7.13%,Upgrade
2,Enterprise Value,10770,10957,10028,9376,9635,9939,11280,12543,10560,10599,13902,14172,18929,15463,14510,13634,12181,9343,9513,8892,9713,Upgrade
3,Last Close Price,8.61,8.75,7.74,7.52,7.73,8.01,8.77,9.31,7.71,7.97,10.31,10.43,14.19,11.26,10.54,9.70,8.52,6.97,6.23,5.78,6.44,Upgrade
4,PE Ratio,15.08,21.06,21.67,23.26,-,17.04,19.89,23.41,20.37,21.64,24.66,18.89,21.54,14.96,13.10,12.71,14.39,13.65,14.65,14.39,13.48,Upgrade
5,Forward PE,11.93,12.21,11.17,11.60,11.93,11.75,11.90,14.12,9.83,10.38,12.10,11.05,15.84,12.95,14.11,17.82,15.98,10.37,12.61,9.30,10.66,Upgrade
6,PS Ratio,0.66,0.91,0.83,0.87,-,0.69,0.79,0.85,0.71,0.77,1.06,1.07,1.44,1.19,1.09,1.07,1.08,0.93,0.89,0.85,0.89,Upgrade
7,PB Ratio,1.07,1.07,0.97,0.95,-,-,1.16,1.25,1.05,1.13,1.47,1.47,2.04,1.64,1.57,1.49,1.34,1.19,1.09,1.03,1.16,Upgrade
8,P/TBV Ratio,1.19,1.19,1.07,1.06,-,-,1.30,1.40,1.18,1.27,1.65,1.68,2.34,1.89,1.83,1.74,1.57,1.43,1.31,1.24,1.40,Upgrade
9,P/FCF Ratio,41.99,-49.84,-,-,-,-,27.62,-,-441.91,74.94,82.96,-,35.04,36.20,158.19,-,13.50,-,7.61,7.02,23.33,Upgrade
10,P/OCF Ratio,18.20,3618.99,-,-,-,-,18.08,-,38.94,24.40,28.53,-,23.42,23.78,38.50,-,10.47,-,5.62,5.04,9.89,Upgrade
11,PEG Ratio,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,Upgrade
12,EV/Sales Ratio,0.71,0.97,0.89,0.90,-,0.70,0.81,0.92,0.79,0.83,1.13,1.15,1.53,1.29,1.23,1.22,1.26,1.02,1.09,1.05,1.08,Upgrade
13,EV/EBITDA Ratio,9.15,12.56,10.85,10.61,-,8.67,10.34,11.69,9.82,11.29,14.20,12.35,14.51,10.51,9.52,9.48,10.36,9.56,10.75,10.40,10.53,Upgrade
14,EV/EBIT Ratio,14.04,19.74,16.58,16.55,-,13.78,16.85,19.23,16.10,20.30,24.30,19.09,20.79,14.20,12.62,12.65,14.78,14.76,17.49,17.10,16.43,Upgrade
15,EV/FCF Ratio,44.77,-53.19,-,-,-,-,28.62,-,-487.47,80.32,88.32,-,37.01,39.39,177.52,-,15.74,-,9.28,8.66,28.24,Upgrade
16,Debt / Equity Ratio,0.25,0.25,0.25,0.24,-,-,0.23,0.21,0.23,0.30,0.28,0.28,0.23,0.26,0.32,0.32,0.33,0.35,0.33,0.37,0.36,Upgrade
17,Debt / EBITDA Ratio,2.00,2.30,2.19,1.66,-,-,2.29,1.61,1.70,2.64,2.90,2.02,3.09,1.91,1.74,1.37,1.92,1.80,2.01,3.23,4.71,Upgrade
18,Debt / FCF Ratio,9.79,-11.44,-,-,-,-,5.45,-,-94.79,20.15,15.89,-,4.01,5.69,32.61,-,3.29,-,2.33,2.55,7.23,Upgrade
19,Asset Turnover,1.02,1.11,-,-,-,0.94,0.97,1.14,1.03,0.90,0.95,1.01,0.90,0.94,1.03,0.95,0.93,0.80,0.58,0.82,Upgrade,
20,Inventory Turnover,-,4.46,4.60,-,-,-,4.93,4.68,5.63,5.43,4.86,5.05,5.85,5.31,5.24,5.52,5.70,5.90,5.52,3.46,4.69,Upgrade
21,Quick Ratio,1.02,1.02,1.01,1.04,-,-,1.25,1.16,1.10,1.20,1.25,1.26,1.29,1.34,1.41,1.29,1.27,1.27,1.39,1.00,1.11,Upgrade
22,Current Ratio,1.75,1.75,1.82,1.92,-,-,1.91,1.89,1.82,1.91,1.99,1.98,2.04,2.05,2.07,2.03,1.93,1.97,1.95,1.72,1.79,Upgrade
23,Return on Equity (ROE),7.52%,7.02%,-,-,-,4.89%,7.20%,6.84%,4.15%,3.01%,6.51%,7.40%,8.07%,11.47%,14.31%,14.69%,11.79%,10.11%,3.33%,10.16%,Upgrade,
