,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,3851,4027,3454,-,3812,3204,3295,3788,3500,2961,3113,3177,2943,2971,3227,2808,2738,2351,1701,2311,Upgrade
1,Other Revenue,-44.74,44.74,-,-,-31.74,31.74,-,63.18,-41.39,41.39,-,84.73,-47.35,47.35,-,43.28,-15.26,15.26,-,61.92,Upgrade
2,Revenue,3806,4072,3454,-,3781,3236,3295,3851,3459,3003,3113,3261,2896,3019,3227,2851,2722,2366,1701,2373,Upgrade
3,Revenue Growth (YoY),0.68%,25.84%,4.84%,-,9.31%,7.78%,5.85%,18.08%,19.43%,-0.54%,-3.54%,14.39%,6.38%,27.60%,89.78%,20.15%,17.34%,14.50%,-24.89%,-11.36%,Upgrade
4,Cost of Revenue,3290,3487,2857,-,3217,2796,2794,3252,3029,2633,2621,2868,2421,2466,2561,2326,2182,1916,1360,1999,Upgrade
5,Gross Profit,516.23,585.28,597.09,-,564.03,440,501.37,598.98,429.98,369.49,491.66,392.86,474.74,552.79,666.68,524.69,540.7,449.66,340.28,373.47,Upgrade
6,"Selling, General & Admin",277.97,281.73,280.94,-,291.65,255.6,250.29,274.77,270.28,224.83,231.76,219.57,249.79,227.01,255.89,214.2,243.38,194.97,186.8,182.64,Upgrade
7,Research & Development,71.95,70.79,69.53,-,66.43,58.21,60.16,51.87,47.27,44.33,42.72,49.08,36.76,37.78,26.65,14.02,16.65,17.4,34,31.49,Upgrade
8,Other Operating Expenses,10.98,44.08,7.78,-,4.32,0.07,-9.25,48.18,-35.67,-24.35,13.09,73.11,-10.57,-16.17,11.88,55.35,20.61,25.61,0.79,97.92,Upgrade
9,Operating Expenses,364.18,421.57,357.78,-,362.28,314.51,301.27,405.13,280.06,261.29,287.57,332.89,274.92,274.31,294.42,286.31,279.96,243.53,221.59,325.9,Upgrade
10,Operating Income,152.06,163.71,239.31,-,201.75,125.49,200.1,193.86,149.92,108.2,204.09,59.98,199.82,278.48,372.26,238.38,260.74,206.13,118.68,47.58,Upgrade
