,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,826.59,1003,4087,222.76,307.44,-,337.2,295.91,3217,184.88,169.02,2760,499.84,-,15723,36575,11716,3044,4236,11875,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,93206,131472,143796,-,-,-,13376,5896,5896,3608,Upgrade
2,Cash & Short-Term Investments,826.59,1003,4087,222.76,307.44,-,337.2,295.91,3217,184.88,93375,134233,144296,-,15723,36575,25092,8940,10132,15483,Upgrade
3,Cash Growth,168.86%,-,1112.02%,-24.72%,-90.44%,-,-99.64%,-99.78%,-97.77%,-,493.89%,267.01%,475.08%,-,55.17%,136.23%,73.20%,-4.78%,-11.28%,0.18%,Upgrade
4,Accounts Receivable,13848,4678,20416,20703,19074,-,33618,39383,26058,6792,19172,12073,12776,-,31411,29094,32581,32100,27958,16518,Upgrade
5,Other Receivables,45812,39852,2435,9177,17672,-,1423,1624,1641,1832,1644,1946,8614,-,3062,3287,6065,7059,11595,5945,Upgrade
6,Receivables,59660,44530,22851,29880,36746,-,35042,41007,27699,8624,20816,14019,21390,-,34473,32381,38645,39159,39553,22464,Upgrade
7,Inventory,12067,12556,14744,20549,27024,-,29705,27952,30219,44581,35423,57262,52101,-,35281,39541,47119,66871,85108,84542,Upgrade
8,Prepaid Expenses,-,2.22,8.68,21.09,35.69,-,5.52,19.41,44.7,60.17,110.05,130.96,121.78,-,83.64,121.89,116.21,91.69,33.73,66.93,Upgrade
9,Other Current Assets,1637,1625,1000,0.91,572.23,-,6078,985.32,1345,15498,9482,13482,45608,-,-,128.99,5070,1977,4428,4677,Upgrade
10,Total Current Assets,74191,59717,42691,50673,64685,-,71167,70260,62525,68948,159206,219127,263516,-,85560,108748,116042,117038,139256,127233,Upgrade
11,"Property, Plant & Equipment",3106,3286,3476,3665,3854,-,4233,4423,4612,4857,3741,15049,4341,-,5354,5790,6226,6663,7099,7535,Upgrade
12,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,3000,4000,4000,-,3000,3000,3000,3000,3000,3000,Upgrade
13,Other Intangible Assets,-,-,-,-,-,-,1214,1245,1276,1306,1337,1367,1398,-,1459,1490,1520,1551,1582,1612,Upgrade
14,Other Long-Term Assets,1044,1111,1195,1278,1336,-,341.87,441.26,540.65,636.03,734.94,840.57,943.14,-,81.14,108.84,137.17,168.49,86.33,120.27,Upgrade
15,Total Assets,78340,64114,84839,70917,69875,-,76956,76369,68953,75747,168019,240384,274199,-,95454,119137,126926,128420,151022,139501,Upgrade
16,Accounts Payable,16870,4672,23186,25764,7440,-,23901,12237,4217,4067,5502,338.49,268.75,-,6968,8616,13758,7198,2722,4994,Upgrade
17,Accrued Expenses,1383,1467,1279,277.36,457.23,-,501.18,577.26,574.83,577.97,584.97,952.17,1238,-,2247,2467,3760,2621,2638,2725,Upgrade
18,Short-Term Debt,11722,16200,18935,2300,20300,-,5577,22406,22666,26258,88373,166241,169492,-,6986,6751,29905,49710,78407,71249,Upgrade
19,Current Income Taxes Payable,-,37.12,586.1,208.96,13.91,-,-,-,-,-,-,159.02,347.41,-,2446,417.49,597.54,22.2,26.69,25.51,Upgrade
20,Other Current Liabilities,858.6,950.7,125.91,347.08,296.25,-,8827,399.09,583.01,575.7,23606,184.2,29329,-,717.53,20689,3500,7949,9277,2144,Upgrade
21,Total Current Liabilities,30833,23327,44112,28897,28508,-,38806,35619,28041,31478,118067,167875,200675,-,19364,38941,51521,67500,93070,81137,Upgrade
22,Total Liabilities,30833,23327,44112,28897,28508,-,38806,35619,28041,31478,118067,167875,200675,-,19364,38941,51521,67500,93070,81137,Upgrade
23,Common Stock,52000,52000,52000,52000,52000,-,52000,52000,52000,52000,52000,52000,52000,-,52000,52000,52000,52000,52000,52000,Upgrade
24,Retained Earnings,-6993,-13713,-13773,-12481,-13133,-,-16350,-13750,-13588,-10232,-7245,23084,24099,-,26665,30771,25980,11495,8527,8938,Upgrade
25,Treasury Stock,-2.82,-2.82,-2.82,-2.82,-2.82,-,-2.82,-2.82,-2.82,-2.82,-2.82,-7775,-7775,-,-7775,-7775,-7775,-7775,-7775,-7775,Upgrade
26,Comprehensive Income & Other,2503,2503,2503,2503,2503,-,2503,2503,2503,2503,5200,5200,5200,-,5200,5200,5200,5200,5200,5200,Upgrade
27,Shareholders' Equity,47507,40787,40727,42020,41368,-,38150,40750,40912,44269,49952,72509,73524,-,76090,80196,75405,60920,57952,58363,Upgrade
28,Total Liabilities & Equity,78340,64114,84839,70917,69875,-,76956,76369,68953,75747,168019,240384,274199,-,95454,119137,126926,128420,151022,139501,Upgrade
29,Total Debt,11722,16200,18935,2300,20300,-,5577,22406,22666,26258,88373,166241,169492,-,6986,6751,29905,49710,78407,71249,Upgrade
30,Net Cash (Debt),-10895,-15197,-14848,-2077,-19993,-,-5240,-22110,-19449,-26073,5002,-32009,-25196,-,8737,29824,-4813,-40770,-68275,-55766,Upgrade
31,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-42.75%,-,-,-,-,-,-,-,-,-,Upgrade
32,Net Cash Per Share,-2094.71,-2881.61,-3303.56,-400.87,-3845.89,-,-1007.82,-4252.26,-3738.40,-5553.00,1065.97,-6809.74,-5365.44,-,1862.25,6358.62,-1025.71,-8693.00,-14616.83,-11882.62,Upgrade
33,Filing Date Shares Outstanding,5.2,5.27,4.49,5.18,5.2,5.2,5.2,5.2,5.2,4.7,4.69,4.7,4.7,4.68,4.69,4.69,4.69,4.69,4.67,4.69,Upgrade
34,Total Common Shares Outstanding,5.2,5.27,4.49,5.18,5.2,5.2,5.2,5.2,5.2,4.7,4.69,4.7,4.7,4.68,4.69,4.69,4.69,4.69,4.67,4.69,Upgrade
35,Working Capital,43357,36390,-1421,21776,36177,-,32361,34641,34484,37470,41140,51252,62842,-,66196,69807,64521,49538,46186,46096,Upgrade
36,Book Value Per Share,9133.54,7733.88,9061.45,8109.12,7957.71,-,7338.12,7837.22,7864.15,9428.33,10645.36,15426.05,15656.74,-,16218.47,17098.36,16069.60,12989.33,12406.93,12436.13,Upgrade
37,Tangible Book Value,47507,40787,40727,42020,41368,-,36936,39505,39637,42963,48616,71141,72126,-,74631,78706,73885,59369,56371,56751,Upgrade
38,Tangible Book Value Per Share,9133.54,7733.88,9061.45,8109.12,7957.71,-,7104.56,7597.80,7618.97,9150.15,10360.49,15135.15,15359.05,-,15907.44,16780.72,15745.58,12658.63,12068.32,12092.59,Upgrade
39,Buildings,16054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
40,Machinery,11713,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
41,Construction In Progress,-,-,-,-,-,-,-,-,-,-,-,5802,-,-,-,-,-,-,-,-,Upgrade
