,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,"Property, Plant & Equipment",7119,7688,7841,7460,7995,9198,9892,10467,11472,12257,Upgrade
1,Cash & Equivalents,591.12,506.52,557.93,452.42,513.72,440.76,500.3,373.7,510.21,421.9,Upgrade
2,Accounts Receivable,107.19,103.9,120.99,135.77,142.56,142.52,156.31,181.46,156.45,95.71,Upgrade
3,Other Receivables,-,-,-,-,0.56,11.37,-,7.89,-,-,Upgrade
4,Other Current Assets,19.06,19.19,24.24,21.05,12.98,10,20.25,28.65,22.09,10.64,Upgrade
5,Total Assets,7837,8318,8544,8069,8665,9803,10569,11058,12160,12785,Upgrade
6,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,200,-,-,Upgrade
7,Long-Term Debt,200,200,200,200,200,200,200,-,200,200,Upgrade
8,Accrued Expenses,2.89,2.56,1.51,1.45,1.99,1.65,1.49,1.51,1.66,1.75,Upgrade
9,Current Income Taxes Payable,6.06,1.75,8.4,4.69,0.1,-,4.27,-,19.98,13.62,Upgrade
10,Other Current Liabilities,225.24,134.41,221.15,128.8,231.41,175.18,243.85,181.82,288.41,197.75,Upgrade
11,Long-Term Deferred Tax Liabilities,125.53,121.4,117.21,113.1,108.72,104.52,100.2,96.03,91.87,87.75,Upgrade
12,Other Long-Term Liabilities,1.41,1.41,1.49,1.49,1.57,1.57,1.65,1.65,1.72,1.72,Upgrade
13,Total Liabilities,561.11,461.53,549.76,449.54,543.79,482.93,551.46,481,603.64,502.58,Upgrade
14,Common Stock,360,360,360,360,360,360,360,360,360,360,Upgrade
15,Retained Earnings,5137,5718,5856,5482,5983,7182,7879,8439,9419,10145,Upgrade
16,Comprehensive Income & Other,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,Upgrade
17,Shareholders' Equity,7275,7856,7994,7620,8121,9320,10018,10577,11557,12283,Upgrade
18,Total Liabilities & Equity,7837,8318,8544,8069,8665,9803,10569,11058,12160,12785,Upgrade
19,Total Debt,200,200,200,200,200,200,200,200,200,200,Upgrade
20,Net Cash / Debt,391.12,306.52,357.93,252.42,313.72,240.76,300.3,173.7,310.21,221.9,Upgrade
21,Net Cash Growth,9.27%,21.43%,14.09%,4.84%,4.47%,38.61%,-3.19%,-21.72%,-41.04%,-28.72%,Upgrade
22,Net Cash Per Share,1.09,0.85,0.99,0.70,0.87,0.67,0.83,0.48,0.86,0.62,Upgrade
23,Filing Date Shares Outstanding,360,360,360,360,360,360,360,360,360,360,Upgrade
24,Total Common Shares Outstanding,360,360,360,360,360,360,360,360,360,360,Upgrade
25,Book Value Per Share,20.21,21.82,22.21,21.17,22.56,25.89,27.83,29.38,32.10,34.12,Upgrade
26,Tangible Book Value,7275,7856,7994,7620,8121,9320,10018,10577,11557,12283,Upgrade
27,Tangible Book Value Per Share,20.21,21.82,22.21,21.17,22.56,25.89,27.83,29.38,32.10,34.12,Upgrade
