,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2520,120,136,64,72,72,132,1360,1376,1388,1432
1,Market Cap Growth,86.34%,86.34%,88.89%,-10.06%,-45.45%,-94.74%,-90.41%,-2.02%,-3.91%,-36.45%,-3.76%
2,Enterprise Value,2457,56,76,-34,-36,8,109,1345,1329,1286,1384
3,Last Close Price,6.30,0.25,0.29,0.14,0.08,0.08,0.14,1.48,1.50,1.51,1.52
4,PE Ratio,537.08,25.58,9.16,7.16,-,4.49,6.78,213.10,-,56.18,53.88
5,PS Ratio,11.36,0.54,0.54,0.26,0.35,0.39,0.72,9.33,10.12,7.95,7.16
6,PB Ratio,23.95,1.14,1.09,0.53,0.42,0.42,0.80,8.74,9.41,9.30,10.57
7,P/TBV Ratio,1.14,1.14,1.09,0.53,0.42,0.42,0.80,8.74,9.41,9.30,10.57
8,P/FCF Ratio,-,-33.44,-,2.22,-,0.77,2.60,-58.41,-,-,80.91
9,P/OCF Ratio,19.04,19.04,3.10,2.15,-,0.76,2.57,-58.60,-,-,75.00
10,EV/Sales Ratio,11.07,0.25,0.30,-,-,0.04,0.60,9.23,9.77,7.37,6.92
11,EV/EBITDA Ratio,233.88,10.78,4.41,-,-,0.39,4.49,247.26,-,42.56,42.12
12,EV/EBIT Ratio,13.10,13.10,4.63,-,-,0.41,4.62,279.12,-,43.38,42.93
13,EV/FCF Ratio,-684.69,-15.65,-,-,-,0.08,2.14,-57.78,-,-,78.21
14,Debt / Equity Ratio,0.03,0.03,0.05,0.06,0.03,0.03,0.02,0.03,0.18,0.13,0.04
15,Debt / FCF Ratio,-,-0.98,-,0.24,-,0.06,0.07,-0.20,-,-,0.29
16,Return on Capital Employed (ROCE),4.07%,4.07%,13.01%,6.89%,-,11.13%,14.17%,3.10%,-,19.55%,23.44%
17,Earnings Yield,0.19%,3.91%,10.91%,13.96%,5.47%,22.28%,14.74%,0.47%,0.78%,1.78%,1.86%
18,FCF Yield,-0.14%,-2.99%,25.01%,45.08%,55.48%,130.34%,38.47%,-1.71%,-2.88%,3.18%,1.24%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-0.06%,
20,Total Shareholder Return,0.79%,-,-,-,-,-,-,-,-,-,-0.06%
