,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,50,31,48,57,57,118,178,192,220,144,224
1,Market Cap Growth,-45.07%,-45.07%,-15.49%,-51.70%,-68.16%,-38.75%,-18.91%,33.33%,-1.79%,-43.75%,-15.15%
2,Enterprise Value,366,294,268,277,256,328,264,337,324,353,289
3,Last Close Price,0.06,0.04,0.06,0.07,0.07,0.15,0.22,0.24,0.28,0.18,0.28
4,PE Ratio,-,-,-,-,-,-,-,9.44,-1.46,-,-
5,PS Ratio,0.04,0.03,0.04,0.05,0.04,0.08,0.10,0.11,0.13,0.09,0.12
6,PB Ratio,1.63,0.83,0.38,0.21,0.16,0.23,0.30,0.32,0.38,0.26,0.32
7,P/TBV Ratio,1.35,1.35,0.44,0.23,0.17,0.24,0.32,0.33,0.39,0.27,0.33
8,P/FCF Ratio,-,-,1.23,1.33,0.84,16.23,-,1.90,-,1.07,3.89
9,P/OCF Ratio,2.99,-,0.88,0.80,0.58,3.04,-,1.58,-,0.81,2.12
10,EV/Sales Ratio,0.32,0.26,0.21,0.23,0.20,0.21,0.15,0.19,0.20,0.21,0.15
11,EV/EBITDA Ratio,-,-,-,-,-,-,5.59,8.38,-3.59,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,28.07,-,-,-
13,EV/FCF Ratio,-6817.41,-,6.88,6.50,3.80,45.21,-,3.34,-,2.63,5.02
14,Debt / Equity Ratio,8.80,8.80,2.25,0.88,0.64,0.47,0.38,0.31,0.33,0.40,0.33
15,Debt / FCF Ratio,-,-,7.20,5.50,3.46,32.32,-,1.83,-,1.64,4.01
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,1.77%,-,-,-
17,Earnings Yield,-443.36%,-716.19%,-483.12%,-386.21%,-362.81%,-72.65%,0.92%,10.60%,-68.61%,-159.54%,-41.05%
18,FCF Yield,-0.11%,-0.17%,81.11%,75.02%,118.64%,6.16%,41.94%,52.67%,51.79%,93.27%,25.70%
