,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,403,333,113,151,246,367,720,1739,638,596,1740
1,Market Cap Growth,120.72%,120.72%,-54.14%,-58.89%,-65.85%,-78.91%,12.77%,191.80%,-63.31%,-88.37%,-66.28%
2,Enterprise Value,169,112,-117,-94,57,217,495,1484,505,-767,237
3,Last Close Price,0.25,0.24,0.08,0.11,0.18,0.27,0.53,1.28,0.47,0.50,1.46
4,PE Ratio,-,-,9.27,-1.83,-,-,-,-,-,-,-
5,Forward PE,-,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.13
6,PS Ratio,1.49,1.64,0.49,0.52,0.56,0.65,1.37,4.69,2.05,0.68,0.77
7,PB Ratio,0.40,0.41,0.14,0.20,0.31,0.41,0.77,1.76,0.55,0.29,0.61
8,P/TBV Ratio,0.42,0.42,0.15,0.21,0.32,0.72,1.41,3.06,1.15,0.55,0.93
9,P/FCF Ratio,-,-,12.37,-,2.01,2.81,-23.74,-,-0.48,-,-
10,P/OCF Ratio,40.83,-,3.97,-,1.72,2.81,-25.62,-,-0.48,-,-
11,PEG Ratio,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20
12,EV/Sales Ratio,0.83,0.55,-,-,0.13,0.38,0.94,4.00,1.63,-,0.10
13,EV/EBITDA Ratio,1.69,1.17,-,-,-,-,-,-,-,-,-
14,EV/EBIT Ratio,2.45,-,-,-,-,-,-,-,-,-,-
15,EV/FCF Ratio,-2.91,-,-,-,0.46,1.67,-16.32,-,-0.38,-,-
16,Debt / Equity Ratio,0.14,0.14,0.27,0.26,0.27,0.30,0.30,0.27,0.23,0.15,0.10
17,Debt / FCF Ratio,-,-,23.26,-,1.79,2.04,-9.30,-,-0.20,-,-
18,Return on Capital Employed (ROCE),8.22%,-,4.64%,-,-,-,-,-,-,-,-
19,Earnings Yield,-8.34%,-10.09%,10.79%,-54.59%,-38.03%,-20.05%,-39.84%,-79.24%,-316.07%,-376.24%,-72.58%
20,FCF Yield,-14.41%,-17.43%,8.08%,23.50%,49.64%,35.55%,-4.21%,-3.75%,-210.36%,-219.19%,12.63%
21,Buyback Yield / Dilution,0.39%,0.34%,0.42%,-0.49%,-0.76%,-0.65%,-3.23%,-20.75%,-17.37%,6.93%,5.39%
22,Total Shareholder Return,0.39%,0.34%,0.42%,-0.49%,-0.76%,-0.65%,-3.23%,-20.75%,-17.37%,6.93%,5.39%
