,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Cash & Equivalents,77440,99658,69972,-
1,Short-Term Investments,35392,37808,24027,-
2,Cash & Short-Term Investments,112832,137466,93999,-
3,Accounts Receivable,519833,340054,188828,-
4,Other Receivables,5113,5981,5385,-
5,Receivables,524946,346036,194213,-
6,Inventory,431682,524813,438414,-
7,Prepaid Expenses,7453,4269,5299,-
8,Other Current Assets,140818,189808,214762,-
9,Total Current Assets,1217731,1202391,946686,-
10,"Property, Plant & Equipment",381917,321689,147731,-
11,Goodwill,1157,1157,426.12,-
12,Other Intangible Assets,2571,2805,3588,-
13,Long-Term Deferred Tax Assets,2239,2919,1983,-
14,Other Long-Term Assets,18357,14518,15282,-
15,Total Assets,1623972,1545479,1115696,-
16,Accounts Payable,136932,158818,91018,-
17,Accrued Expenses,8071,5114,15376,-
18,Short-Term Debt,683482,624620,450846,-
19,Current Portion of Long-Term Debt,22161,-,2037,-
20,Current Income Taxes Payable,15721,13156,13642,-
21,Current Unearned Revenue,878.18,-,-,-
22,Other Current Liabilities,62437,92416,56860,-
23,Total Current Liabilities,929682,894124,629778,-
24,Long-Term Debt,155243,126243,5653,-
25,Long-Term Leases,-,-,187.12,-
26,Other Long-Term Liabilities,966,-,-,-
27,Total Liabilities,1085891,1020367,635618,-
28,Common Stock,312494,249999,249999,-
29,Additional Paid-In Capital,79978,79978,79978,-
30,Retained Earnings,126648,176310,137425,-
31,Total Common Equity,519120,506287,467402,-
32,Minority Interest,18960,18825,12676,-
33,Shareholders' Equity,538081,525112,480078,-
34,Total Liabilities & Equity,1623972,1545479,1115696,-
35,Total Debt,860886,750863,458723,-
36,Net Cash (Debt),-748055,-613397,-364724,-
37,Net Cash Per Share,-29339.62,-20290.80,-11671.24,-
38,Filing Date Shares Outstanding,31.25,30.23,31.25,21.6
39,Total Common Shares Outstanding,31.25,30.23,31.25,21.6
40,Working Capital,288049,308267,316908,-
41,Book Value Per Share,16612.17,16747.67,14956.94,-
42,Tangible Book Value,515392,502325,463388,-
43,Tangible Book Value Per Share,16492.86,16616.61,14828.49,-
44,Buildings,248841,-,91583,-
45,Machinery,148921,-,135684,-
46,Construction In Progress,74727,188104,3485,-
