,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1335,1236,1173,1316,1162,1023,1022,1101,1025,1020,613.77,609.52,199.83,139.9,-,84.13,-,-,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,461.43,461.2,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1335,1236,1173,1316,1162,1023,1022,1101,1025,1020,1075,1071,199.83,139.9,84.13,84.13,-,-,97.81
3,Cash Growth,14.85%,20.89%,14.74%,19.58%,13.39%,0.24%,-4.92%,2.82%,412.95%,629.18%,1178.09%,1172.77%,-,-,-14.00%,-,-,-,-
4,Accounts Receivable,356.31,403.75,371.28,442.76,447.67,430.19,377.57,324.22,445.53,473.02,415.19,464.59,482,443.88,-,321.4,-,-,-
5,Other Receivables,0.76,18.93,0.53,18.31,0.29,13.66,0.21,28.81,0.18,20.33,0.19,9.88,0.19,0.25,-,0.25,-,-,-
6,Receivables,357.07,422.67,371.82,461.08,447.95,443.85,377.79,353.03,445.71,493.35,415.39,474.47,482.2,444.13,-,321.65,-,-,-
7,Inventory,301.3,327.19,372.43,380.3,396.73,420.38,466.99,482.79,438.05,429,363.5,304.77,284.22,305.25,-,254.4,-,-,-
8,Other Current Assets,23.01,8.87,27.45,8.87,30.31,12.63,46.84,20.64,103.84,55.3,47.49,1.34,30.55,9.32,-,39.94,-,-,-
9,Total Current Assets,2016,1995,1945,2167,2037,1899,1914,1957,2013,1998,1902,1851,996.8,898.6,-,700.12,-,-,-
10,"Property, Plant & Equipment",403.61,414.34,425.53,435.55,440.72,411.49,415.11,420.53,421.33,416.53,439.35,379.21,365.37,372.04,-,353.36,-,-,-
11,Goodwill,33.34,33.34,33.34,33.34,37.57,37.57,37.57,37.57,53.93,53.93,53.93,53.93,53.93,53.93,-,53.93,-,-,-
12,Other Intangible Assets,151.43,152.74,154.14,155.38,156.5,157.8,159.11,160.41,162.85,163.78,152.66,153.1,154.76,155.62,-,158.05,-,-,-
