,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,250.22,265.67,219.33,228.67,220.13,236.54,224.29,197.95,273.46,312.75,228.94,307.45,289.28,270.44,300.7,237.95,273.06,238.75,238.75
1,Other Revenue,-23.67,23.67,-,6.83,-2.33,2.33,-,16.8,-10.32,10.32,-,13.3,-4.66,4.66,-,9.42,-,-,-
2,Revenue,226.55,289.34,219.33,235.5,217.8,238.86,224.29,214.75,263.14,323.07,228.94,320.74,284.62,275.1,300.7,247.37,273.06,238.75,238.75
3,Revenue Growth (YoY),4.02%,21.13%,-2.21%,9.66%,-17.23%,-26.06%,-2.03%,-33.05%,-7.55%,17.44%,-23.86%,29.66%,4.23%,15.22%,25.95%,-,-,-,-
4,Cost of Revenue,190.14,256.08,185.22,227.39,175.23,201.48,190.89,208.47,225.18,261.55,185.42,255.22,212.28,191.33,208.97,171.34,197.49,157.25,157.25
5,Gross Profit,36.41,33.25,34.11,8.1,42.57,37.39,33.39,6.28,37.96,61.52,43.52,65.52,72.34,83.77,91.73,76.03,75.57,81.51,81.51
6,"Selling, General & Admin",18.38,17.88,15.22,15.94,18.65,15.26,10.73,13.32,15.82,12.3,13.01,19.53,12.82,11.6,11.27,6.82,14.6,10.8,10.8
7,Research & Development,10,11.07,10.24,11.46,7.43,10.06,7.05,10.3,9.53,11.13,8.94,13.03,10.98,12.16,6.78,6.16,6.34,8.43,8.43
8,Other Operating Expenses,-6.68,4.96,-2.16,1.62,-0.25,1.97,1.79,-0.53,0.33,-0.66,1,4.99,1.45,-0.93,1.54,4.39,0.93,0.22,0.22
9,Operating Expenses,20.84,36.98,26.6,34.27,25.81,27.93,22.41,21,24.56,23.97,25.89,32.89,27.06,23,24.43,12.31,22.86,22.46,22.46
10,Operating Income,15.57,-3.72,7.51,-26.17,16.77,9.45,10.98,-14.72,13.4,37.55,17.63,32.63,45.28,60.77,67.3,63.72,52.72,59.05,59.05
11,Interest Expense,-,-2.79,-,-5.8,-,-2.73,-,-7.2,-,-3.32,-,-,-2.96,-4.69,-0.06,-1.39,-3.45,-3.65,-3.65
12,Interest & Investment Income,6.71,8.75,7.56,13.38,4.61,11.34,5.49,8.13,7.48,7.7,3.12,6.65,-,-,0.53,0.68,-,0.26,0.26
