,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2557,2237,2031,2324,3360,2821,3067,3073,3051,3008,3043,3205,4092,-,-,-,-,-,-,-
1,Market Cap Growth,-20.70%,-20.70%,-33.78%,-24.38%,10.14%,-6.21%,0.79%,-4.12%,-25.45%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1608,1308,1117,1497,2533,1990,2269,2258,2235,2192,2111,3175,4062,-,-,-,-,-,-,-
3,Last Close Price,19.18,16.78,15.11,17.29,25.00,20.99,22.81,22.83,22.66,22.34,22.60,23.05,29.43,-,-,-,-,-,-,-
4,PE Ratio,180.68,158.15,96.62,80.40,-,153.47,139.06,79.88,-,27.88,23.73,22.71,23.35,-,-,-,-,-,-,-
5,PS Ratio,2.63,2.30,2.11,2.55,3.67,3.15,3.26,3.00,2.96,2.65,2.63,2.89,3.46,-,-,-,-,-,-,-
6,PB Ratio,1.23,1.10,0.99,1.14,1.65,1.37,1.52,1.53,1.53,1.48,1.51,1.54,2.01,-,-,-,-,-,-,-
7,P/TBV Ratio,1.22,1.22,1.10,1.27,1.85,1.54,1.68,1.70,1.71,1.67,1.71,1.73,2.23,-,-,-,-,-,-,-
8,P/FCF Ratio,14.29,12.50,17.49,27.79,89.21,-,-61.76,-,-,-,-,-,19.50,-,-,-,-,-,-,-
9,P/OCF Ratio,10.07,10.07,11.74,16.89,41.33,-,-124.57,-,-29.47,-,-,-,18.70,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.66,1.35,1.16,1.64,2.76,2.22,2.41,2.20,2.17,1.93,1.82,2.86,3.44,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,35.79,42.46,-,26.17,-,27.19,33.36,23.75,-,15.07,11.96,16.09,16.51,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-191.90,-,198.10,-,88.52,118.71,47.82,-,21.66,15.86,20.31,19.72,-,-,-,-,-,-,-
13,EV/FCF Ratio,8.98,7.31,9.61,17.91,67.26,-,-45.70,-,-,-,-,-,19.36,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.18,0.18,0.14,0.12,0.22,0.15,0.09,0.11,0.11,0.09,0.09,0.06,0.01,0.16,0.17,0.18,0.18,-,-,0.45
15,Debt / EBITDA Ratio,8.25,3.36,85.09,3.04,-,2.63,1.88,2.29,27.18,1.94,0.87,1.05,0.12,0.77,0.60,0.52,0.54,-,-,1.11
16,Debt / FCF Ratio,2.07,2.07,2.48,2.83,11.80,-,-3.79,-,-,-,-,-,0.10,0.95,1.26,1.42,1.57,-,-,10.04
17,Asset Turnover,0.35,0.45,0.33,0.34,0.33,0.38,0.35,0.33,0.40,0.50,0.37,0.64,0.74,-,-,-,-,-,-,
18,Inventory Turnover,2.46,2.42,2.93,1.97,2.34,1.72,1.82,1.61,1.81,2.08,2.64,2.22,3.47,2.88,-,-,-,-,-,-
19,Quick Ratio,3.03,3.03,3.16,3.16,2.49,2.85,3.36,2.97,2.75,2.60,2.74,3.75,3.85,1.28,1.35,-,1.07,-,-,-
20,Current Ratio,3.61,3.61,3.80,3.97,3.04,3.61,4.35,4.06,3.71,3.56,3.62,4.78,4.61,1.87,2.08,-,1.85,-,-,-
21,Return on Equity (ROE),0.76%,1.67%,2.31%,-5.44%,2.71%,2.74%,3.07%,-8.93%,3.35%,7.02%,3.87%,8.68%,15.18%,20.83%,24.49%,-,-,-,-,
22,Return on Assets (ROA),1.49%,-0.36%,0.70%,-2.38%,1.61%,0.93%,1.07%,-1.40%,1.26%,3.62%,1.76%,4.06%,7.39%,-,-,-,-,-,-,
23,Return on Capital (ROIC),1.64%,-0.40%,0.79%,-2.70%,1.83%,1.06%,1.23%,-1.66%,1.51%,4.27%,2.07%,5.00%,9.57%,13.73%,16.02%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-0.33%,-,0.36%,-,1.06%,0.92%,2.29%,-,4.84%,6.38%,7.25%,10.08%,22.72%,23.17%,-,26.26%,-,-,-
25,Earnings Yield,0.55%,0.63%,1.04%,1.24%,0.86%,0.65%,0.72%,1.25%,1.44%,3.59%,4.21%,4.40%,4.28%,-,-,-,-,-,-,-
26,FCF Yield,7.00%,8.00%,5.72%,3.60%,1.12%,-0.44%,-1.62%,-2.61%,-5.11%,-3.50%,0.46%,2.61%,5.13%,-,-,-,-,-,-,-
27,Dividend Yield,0.62%,-,-,-,0.48%,-,-,-,0.15%,-,-,-,2.55%,-,-,-,-,-,-,-
28,Payout Ratio,126.91%,211.26%,16.29%,1.41%,-,1.71%,31.42%,3.21%,-,2.28%,277.11%,-,4.79%,0.92%,4.85%,3.97%,4.17%,5.27%,7.72%,7.72%
29,Buyback Yield / Dilution,-0.55%,2.07%,-0.94%,-0.89%,-2.43%,-0.70%,2.02%,-0.37%,-7.74%,-29.62%,-35.70%,-34.35%,-23.09%,-0.93%,1.63%,-1.11%,-,-,-,-
30,Total Shareholder Return,0.07%,2.07%,-0.94%,-0.89%,-1.95%,-0.70%,2.02%,-0.37%,-7.58%,-29.62%,-35.70%,-34.35%,-20.54%,-0.93%,1.63%,-1.11%,-,-,-,-
