,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,2466,4724,2571,5437,2471,8452,5099,9628,3154,11099,Upgrade
1,Revenue Growth (YoY),-4.06%,-13.11%,4.02%,-35.68%,-51.54%,-12.21%,61.66%,-13.25%,44.30%,21.91%,Upgrade
2,Cost of Revenue,2326,4271,2531,5486,2268,7185,3872,8055,2165,8938,Upgrade
3,Gross Profit,140.21,453.05,40,-49.62,202.85,1267,1227,1573,989.74,2161,Upgrade
4,"Selling, General & Admin",463.01,198.47,433.35,989.05,493.77,668.74,562.33,679.75,507.15,555.38,Upgrade
5,Other Operating Expenses,12.9,29.86,16.6,51.9,-14.14,59.24,56.96,-117.37,-10.24,68.35,Upgrade
6,Operating Expenses,475.91,228.33,449.95,1041,479.63,727.98,619.3,562.37,496.91,623.73,Upgrade
7,Operating Income,-335.7,224.72,-409.96,-1091,-276.78,539.24,608.01,1010,492.82,1537,Upgrade
8,Interest Expense,-335.84,-337.93,-412.81,-695.73,-549.73,-450.91,-408.25,-431.94,-320.58,-271.3,Upgrade
9,Interest & Investment Income,7.29,13.13,5.66,215.74,92.81,256.45,150.29,225.65,174.3,225.33,Upgrade
10,Earnings From Equity Investments,-13.69,40.49,-145.83,-71.08,-44.17,-134.61,-20.76,129.62,41.03,228.25,Upgrade
11,Currency Exchange Gain (Loss),-48.81,156.48,-297.51,-392.15,-418.32,97.46,83.91,662.54,-53.62,-41.99,Upgrade
12,EBT Excluding Unusual Items,-726.74,96.89,-1260,-2034,-1196,307.65,413.2,1596,333.95,1677,Upgrade
13,Merger & Restructuring Charges,-,-,-,-0.15,-,-0.14,-,-,-,-,Upgrade
14,Impairment of Goodwill,-,-33.76,-,-,-,-,-,-,-,-,Upgrade
15,Gain (Loss) on Sale of Investments,-569.97,-351.87,-76.36,-234.5,-135.65,10.96,112.8,56.02,222.53,172.22,Upgrade
16,Gain (Loss) on Sale of Assets,-40.35,18.28,-1.94,-315.97,0.04,-0.16,157.05,0.04,90.5,31.39,Upgrade
17,Asset Writedown,-223.59,-38.3,-68,8.3,-183.55,39.42,-0.51,15.73,23.96,-47.45,Upgrade
18,Other Unusual Items,-,-,-,-,-,-,-,-,-,-77.44,Upgrade
19,Pretax Income,-1561,-308.76,-1407,-2576,-1515,357.72,682.53,1668,670.94,1756,Upgrade
20,Income Tax Expense,11.3,178.67,-52.85,247.59,-61.15,329.68,316.77,739.44,326.06,825.29,Upgrade
21,Earnings From Continuing Operations,-1572,-487.43,-1354,-2824,-1454,28.05,365.77,928.62,344.88,930.75,Upgrade
22,Minority Interest in Earnings,88.7,130.08,-9.97,15.99,-7.9,-195.81,-70.46,-264.16,-51.25,-307.2,Upgrade
23,Net Income,-1483,-357.36,-1364,-2808,-1462,-167.76,295.31,664.46,293.63,623.55,Upgrade
24,Net Income to Common,-1483,-357.36,-1364,-2808,-1462,-167.76,295.31,664.46,293.63,623.55,Upgrade
25,Net Income Growth,-,-,-,-,-,-,0.57%,6.56%,4.85%,-18.24%,Upgrade
26,Shares Outstanding (Basic),1539,1538,1537,1537,1536,1537,1536,1408,1396,1394,Upgrade
27,Shares Outstanding (Diluted),1539,1538,1537,1537,1537,1537,1537,1411,1398,1398,Upgrade
28,Shares Change (YoY),0.14%,0.02%,-0.02%,0.03%,0.02%,8.97%,9.91%,0.88%,-0.19%,-0.61%,Upgrade
29,EPS (Basic),-0.96,-0.23,-0.89,-1.83,-0.95,-0.11,0.19,0.47,0.21,0.45,Upgrade
30,EPS (Diluted),-0.96,-0.23,-0.89,-1.83,-0.95,-0.11,0.19,0.47,0.21,0.45,Upgrade
31,EPS Growth,-,-,-,-,-,-,-9.52%,4.79%,5.00%,-17.47%,Upgrade
32,Free Cash Flow,12.31,732.32,609.69,80.5,266.65,-4584,-266.81,-732.02,-841.47,536.13,Upgrade
33,Free Cash Flow Per Share,0.01,0.48,0.40,0.05,0.17,-2.98,-0.17,-0.52,-0.60,0.38,Upgrade
34,Operating Margin,-13.61%,4.76%,-15.95%,-20.06%,-11.20%,6.38%,11.92%,10.49%,15.62%,13.85%,Upgrade
35,Profit Margin,-60.14%,-7.56%,-53.06%,-51.64%,-59.17%,-1.98%,5.79%,6.90%,9.31%,5.62%,Upgrade
36,Free Cash Flow Margin,0.50%,15.50%,23.72%,1.48%,10.79%,-54.23%,-5.23%,-7.60%,-26.68%,4.83%,Upgrade
37,EBITDA,-329.28,229.16,-404.57,-1083,-267.55,542.36,613.51,1018,496.64,1541,Upgrade
38,D&A For EBITDA,6.42,4.44,5.39,7.85,9.22,3.12,5.51,7.69,3.82,3.7,Upgrade
39,EBIT,-335.7,224.72,-409.96,-1091,-276.78,539.24,608.01,1010,492.82,1537,Upgrade
40,Advertising Expenses,4.7,-,7.68,-,17.95,-,41.39,-,15.88,-,Upgrade
