,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,147,137,127,167,79,43,206,207,232,173,142,Upgrade
1,Market Cap Growth,1.62%,-17.84%,60.20%,285.25%,-61.38%,-79.12%,-11.19%,20.01%,63.23%,-23.61%,-46.44%,Upgrade
2,Last Close Price,0.20,0.19,0.18,0.23,0.11,0.06,0.29,0.29,0.33,0.26,0.24,Upgrade
3,PE Ratio,-,-,-,-,-,-,27.84,-,-,-,-,Upgrade
4,PS Ratio,-23.12,38.11,-,30.77,-,2.33,6.95,5.60,6.01,5.35,3.90,Upgrade
5,PB Ratio,0.45,0.43,0.38,0.43,0.19,0.10,0.43,0.47,0.49,0.35,0.28,Upgrade
6,P/FCF Ratio,8.44,6.65,-,-,-,-,-,-16.76,-,-76.10,-,Upgrade
7,P/OCF Ratio,7.50,6.65,-,-,-,-,13.32,18.29,-,4.93,8.16,Upgrade
8,Debt / Equity Ratio,0.72,0.72,0.71,0.64,0.63,0.52,0.54,0.49,0.54,0.51,0.37,Upgrade
9,Debt / FCF Ratio,13.06,11.07,-,-,-,-,-,-17.49,-,-109.67,-,Upgrade
10,Earnings Yield,-46.26%,-13.16%,-,-15.99%,-,20.29%,3.59%,-24.29%,-16.79%,-29.99%,-46.98%,Upgrade
11,FCF Yield,11.85%,15.03%,-,-20.82%,-,-57.45%,-5.06%,-5.96%,-4.83%,-1.31%,-14.04%,Upgrade
12,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,2.74%,-,Upgrade
13,Buyback Yield / Dilution,-0.35%,-0.47%,-,-,-,-0.99%,-2.55%,-11.10%,-19.01%,-19.49%,-3.96%,Upgrade
14,Total Shareholder Return,-0.35%,-0.47%,-,-,-,-0.99%,-2.55%,-11.10%,-19.01%,-16.76%,-3.96%,Upgrade
