,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,239265,232481,78050,78050,190777,254258,132479,83669,186318,243426,178217,138141,218323,236461,133972,69061,165632,90099,92109,81544,Upgrade
1,Revenue Growth (YoY),25.42%,-8.57%,-41.08%,-6.72%,2.39%,4.45%,-25.66%,-39.43%,-14.66%,2.95%,33.03%,100.03%,31.81%,162.45%,45.45%,-15.31%,-17.75%,-64.49%,-19.21%,10.33%,Upgrade
2,"Selling, General & Admin",2904,3700,9160,5587,-6292,2642,5325,8334,-6013,3039,6700,8391,-7504,2813,5893,7872,-6595,2119,-3707,7539,Upgrade
3,Depreciation & Amortization,120.6,121.17,-121.17,-,381.46,90.76,1.66,-92.42,372.67,92.42,-2.74,-89.68,442.89,113.34,-,-113.34,467.23,115.68,355.88,-117.67,Upgrade
4,Other Operating Expenses,91284,73435,52296,55747,104779,98362,73064,54581,108229,89988,84031,58487,115193,83969,74480,54006,91599,76767,75760,64578,Upgrade
5,Total Operating Expenses,94309,77257,61335,61335,98869,101094,78391,62822,102589,93119,90728,66788,108133,86895,80373,61765,85472,79002,72409,72000,Upgrade
6,Operating Income,144956,155224,16715,16715,91907,153164,54088,20847,83729,150307,87489,71353,110190,149566,53599,7296,80161,11097,19700,9543,Upgrade
7,Interest Expense,-1160,-1795,-2661,-1546,-3166,-4467,-7711,-3770,-5910,-6342,-6760,-7460,-9097,-10338,-10974,-11523,-12527,-13763,-14875,-16147,Upgrade
8,Interest Income,423.72,950.8,1115,-,311.43,631.5,3954,-,1703,951.78,958.8,836.97,106.07,32.05,40.32,17.59,419.04,760.19,1079,968.85,Upgrade
9,Net Interest Expense,-736.45,-844.13,-1546,-1546,-2855,-3835,-3757,-3770,-4207,-5390,-5801,-6623,-8991,-10306,-10934,-11506,-12108,-13002,-13795,-15178,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,0.83,-,-,-,-1.68,-0.07,-1.62,-,Upgrade
11,Other Non-Operating Income (Expenses),179.27,-55.9,-25.6,-25.6,49.8,-501.29,639.82,-1.23,-3659,-624.98,413.1,-,50,-,211.68,-,266.55,0,88.73,40.31,Upgrade
12,EBT Excluding Unusual Items,144399,154324,15144,15144,89103,148828,50970,17075,75864,144292,82101,64729,101250,139260,42876,-4210,68318,-1906,5992,-5595,Upgrade
13,Pretax Income,144399,154324,15144,15144,89103,148828,50970,17075,75864,144292,82101,64729,101250,139260,42876,-4210,68318,-1906,5992,-5595,Upgrade
14,Income Tax Expense,14480,15517,1546,1546,8846,14936,5181,1733,31337,7261,4102,3253,5059,7027,1957,-,3347,-,45.17,-,Upgrade
15,Net Income,129919,138808,13598,13598,80257,133892,45790,15343,44526,137030,77999,61476,96191,132233,40919,-4210,64971,-1906,5947,-5595,Upgrade
16,Preferred Dividends & Other Adjustments,10234,5810,-5810,-,9194,7058,-4846,-2212,11951,10286,-5098,-5188,8056,3888,-2772,-1116,2463,-,15.15,-15.15,Upgrade
17,Net Income to Common,119685,132997,19409,13598,71063,126834,50635,17555,32575,126744,83097,66664,88136,128345,43691,-3094,62508,-1906,5932,-5579,Upgrade
18,Net Income Growth,61.88%,3.67%,-70.30%,-11.37%,80.25%,-2.29%,-41.29%,-75.04%,-53.71%,3.63%,90.62%,-,48.05%,-,588.08%,-,-21.31%,-,-67.02%,-,Upgrade
19,Shares Outstanding (Basic),101,101,108,105,101,101,105,109,101,101,105,109,101,101,104,107,101,101,113,89,Upgrade
20,Shares Outstanding (Diluted),101,101,108,105,101,101,105,109,101,101,105,109,101,101,104,107,101,101,113,89,Upgrade
21,Shares Change (YoY),-,-,3.24%,-3.55%,-,-,-0.20%,-0.12%,-0.00%,-,0.96%,1.44%,-,-0.00%,-8.07%,20.63%,-,-,8.32%,-21.22%,Upgrade
22,EPS (Basic),1182.59,1314.12,179.07,129.50,702.16,1253.22,482.30,161.25,321.87,1252.34,789.94,611.57,870.84,1268.15,419.32,-28.79,617.62,-18.83,52.34,-62.63,Upgrade
23,EPS (Diluted),1182.59,1314.12,179.07,129.50,702.16,1253.22,482.30,161.25,321.87,1252.34,789.94,611.57,870.84,1268.15,419.32,-28.79,617.34,-18.83,52.34,-62.63,Upgrade
24,EPS Growth,68.42%,4.86%,-62.87%,-19.69%,118.15%,0.07%,-38.94%,-73.63%,-63.04%,-1.25%,88.38%,-,41.06%,-,701.18%,-,-15.64%,-,-77.39%,-,Upgrade
25,Free Cash Flow,93202,121817,94161,94161,109977,110206,46991,12760,239792,59695,88029,87319,204712,104285,25734,85591,93561,44551,23015,75096,Upgrade
26,Free Cash Flow Per Share,920.91,1203.65,868.74,896.70,1086.66,1088.93,447.59,117.20,2369.34,589.83,836.83,801.06,2022.70,1030.42,246.98,796.53,924.46,440.20,203.07,843.03,Upgrade
27,Dividend Per Share,-,-,-,-,2000.000,1000.000,-,-,3500.000,-,-,-,2000.000,-,-,-,462.963,-,-,-,Upgrade
28,Dividend Growth,-,-,-,-,-42.86%,-,-,-,75.00%,-,-,-,332.00%,-,-,-,-75.00%,-,-,-,Upgrade
29,Profit Margin,50.02%,57.21%,24.87%,17.42%,37.25%,49.88%,38.22%,20.98%,17.48%,52.07%,46.63%,48.26%,40.37%,54.28%,32.61%,-4.48%,37.74%,-2.11%,6.44%,-6.84%,Upgrade
30,Free Cash Flow Margin,38.95%,52.40%,120.64%,120.64%,57.65%,43.34%,35.47%,15.25%,128.70%,24.52%,49.39%,63.21%,93.77%,44.10%,19.21%,123.94%,56.49%,49.45%,24.99%,92.09%,Upgrade
31,EBITDA,172189,182458,48464,48464,130889,192154,93110,59898,122810,189402,126589,110444,149288,188680,92712,46395,119271,54992,64608,54893,Upgrade
32,EBITDA Margin,71.97%,78.48%,62.09%,62.09%,68.61%,75.57%,70.28%,71.59%,65.91%,77.81%,71.03%,79.95%,68.38%,79.79%,69.20%,67.18%,72.01%,61.04%,70.14%,67.32%,Upgrade
33,D&A For EBITDA,27233,27233,31749,31749,38981,38990,39023,39051,39081,39095,39100,39091,39098,39114,39114,39099,39110,43895,44907,45349,Upgrade
34,EBIT,144956,155224,16715,16715,91907,153164,54088,20847,83729,150307,87489,71353,110190,149566,53599,7296,80161,11097,19700,9543,Upgrade
35,EBIT Margin,60.58%,66.77%,21.42%,21.42%,48.18%,60.24%,40.83%,24.92%,44.94%,61.75%,49.09%,51.65%,50.47%,63.25%,40.01%,10.56%,48.40%,12.32%,21.39%,11.70%,Upgrade
36,Effective Tax Rate,10.03%,10.05%,10.21%,10.21%,9.93%,10.04%,10.16%,10.15%,41.31%,5.03%,5.00%,5.03%,5.00%,5.05%,4.56%,-,4.90%,-,0.75%,-,Upgrade
37,Revenue as Reported,239265,232481,78050,78050,190777,254258,132479,83669,186318,243426,178217,138141,218323,236461,133972,69061,165632,90099,92109,81544,Upgrade
