,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,44717,29542,41079,52651,38587,45070,43603,47535,45734,16023,6097
1,Market Cap Growth,-43.89%,-43.89%,6.46%,16.82%,-11.50%,-5.19%,-4.66%,196.66%,650.13%,114.50%,-32.71%
2,Enterprise Value,35346,17932,29264,42636,28759,34561,32495,38397,37731,8940,1751
3,Last Close Price,14.70,9.87,13.15,17.09,12.24,14.40,13.99,15.20,14.58,4.83,1.85
4,PE Ratio,16.50,11.06,14.12,19.89,15.79,22.91,25.94,34.32,40.22,20.29,10.80
5,Forward PE,17.33,8.41,12.17,16.61,14.44,19.44,19.77,25.08,32.66,15.42,15.42
6,PS Ratio,1.28,0.86,1.07,1.43,1.10,1.34,1.32,1.63,1.99,0.95,0.46
7,PB Ratio,5.05,3.38,4.44,6.95,5.14,7.14,7.87,10.50,10.69,4.24,1.78
8,P/TBV Ratio,3.90,3.90,5.01,8.08,6.05,8.53,7.98,10.67,10.90,4.28,1.79
9,P/FCF Ratio,-,-,15.47,11.16,14.04,43.41,12.97,14.20,23.32,4.53,2.31
10,P/OCF Ratio,88.45,-,10.42,9.37,11.09,24.72,9.62,10.88,17.37,3.76,1.93
11,EV/Sales Ratio,1.02,0.52,0.76,1.16,0.82,1.03,0.98,1.32,1.64,0.53,0.13
12,EV/EBITDA Ratio,11.22,5.72,8.88,13.21,9.36,15.26,18.51,23.96,28.37,10.03,2.85
13,EV/EBIT Ratio,12.88,6.38,9.90,14.66,10.40,17.42,21.13,27.07,31.70,11.33,3.40
14,EV/FCF Ratio,-28.94,-,11.02,9.03,10.47,33.28,9.67,11.47,19.24,2.53,0.66
15,Debt / Equity Ratio,0.24,0.24,0.12,0.15,0.29,0.42,0.12,0.09,0.05,0.01,0.02
16,Debt / FCF Ratio,-,-,0.41,0.24,0.79,2.54,0.19,0.12,0.11,0.01,0.02
17,Return on Capital Employed (ROCE),29.27%,29.27%,28.97%,34.26%,32.90%,28.18%,24.66%,28.72%,26.52%,20.45%,14.84%
18,Earnings Yield,5.97%,9.04%,7.08%,5.03%,6.33%,4.36%,3.86%,2.91%,2.49%,4.93%,9.26%
19,FCF Yield,-2.73%,-4.13%,6.47%,8.96%,7.12%,2.30%,7.71%,7.04%,4.29%,22.07%,43.32%
20,Buyback Yield / Dilution,0.22%,0.26%,0.07%,-2.76%,-2.70%,-0.52%,0.28%,-0.04%,0.57%,1.88%,1.91%
21,Total Shareholder Return,3.48%,0.26%,0.07%,-2.76%,-2.70%,-0.52%,0.28%,-0.04%,0.57%,1.88%,1.91%
