,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Market Capitalization,122,134,230,208,201,186,247,205,400,383,302,Upgrade
1,Market Cap Growth,-35.51%,-35.51%,14.41%,11.87%,-18.62%,-9.13%,-38.30%,-46.44%,32.39%,-27.42%,-46.21%,Upgrade
2,Enterprise Value,140,145,237,176,146,172,147,165,337,350,-91,Upgrade
3,Last Close Price,0.14,0.16,0.27,0.24,0.24,0.22,0.29,0.24,0.47,0.45,0.35,Upgrade
4,PS Ratio,0.12,0.13,0.25,0.26,0.16,0.15,0.30,0.20,0.38,0.45,0.33,Upgrade
5,PB Ratio,0.23,0.25,0.41,0.37,0.34,0.30,0.37,0.31,0.60,0.59,0.41,Upgrade
6,P/TBV Ratio,0.25,0.25,0.41,0.37,0.34,0.30,0.37,0.31,0.60,0.59,0.41,Upgrade
7,P/FCF Ratio,-,-,-,-,-,-4.17,-,6.51,-,-1.62,-,Upgrade
8,P/OCF Ratio,-,-,-,-,-,-4.17,-,6.51,-,-1.62,-,Upgrade
9,EV/Sales Ratio,0.13,0.14,0.26,0.22,0.12,0.14,0.18,0.16,0.32,0.41,-,Upgrade
10,EV/FCF Ratio,-,-,-,-,-,-3.86,-,5.26,-,-1.49,-,Upgrade
11,Debt / Equity Ratio,0.06,0.06,0.07,0.05,0.02,0.05,0.03,0.03,0.04,0.04,0.03,Upgrade
12,Debt / FCF Ratio,-,-,-,-,-,-0.70,-,0.57,-,-0.10,-,Upgrade
13,Earnings Yield,-18.71%,-17.06%,-10.00%,-9.12%,-9.89%,-12.80%,-10.21%,-20.71%,-29.02%,-22.73%,-2.07%,Upgrade
14,FCF Yield,-8.01%,-8.01%,-19.44%,-29.02%,8.71%,-23.99%,-11.36%,15.36%,1.16%,-61.60%,-256.88%,Upgrade
