,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3109,3566,4961,3574,1128,1158,201,249,246,274,356
1,Market Cap Growth,-0.21%,-0.21%,339.86%,208.55%,462.03%,365.31%,-18.56%,-9.26%,-30.71%,-29.87%,-27.84%
2,Enterprise Value,3040,3446,4820,3394,946,1096,142,163,167,187,282
3,Last Close Price,4.08,4.68,6.51,4.69,1.48,1.52,0.34,0.42,0.42,0.47,0.60
4,PE Ratio,-,-,-,-,-,-,44.87,114.48,-,28.48,24.81
5,Forward PE,-,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.30,12.25
6,PS Ratio,23.09,26.49,37.46,34.79,9.61,9.64,1.65,2.38,2.56,2.81,3.41
7,PB Ratio,14.25,16.40,18.60,12.32,3.45,3.29,0.89,1.16,1.15,1.38,1.78
8,P/TBV Ratio,18.04,18.04,20.37,12.70,3.57,3.45,0.98,1.26,1.24,1.47,1.88
9,P/FCF Ratio,-,-,-,-,-,-,-13.42,-,23.39,-,15.38
10,P/OCF Ratio,-,-,-,-,-,-,-13.93,-,22.39,-,15.30
11,PEG Ratio,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
12,EV/Sales Ratio,22.58,25.60,36.40,33.03,8.07,9.13,1.17,1.55,1.73,1.92,2.71
13,EV/EBITDA Ratio,-,-,-,-,-,-,-,-607.31,-,-,43.18
14,EV/EBIT Ratio,-,-,-,-,-,-,-,-88.29,-,-,49.69
15,EV/FCF Ratio,-63.53,-,-,-,-,-,-9.49,-,15.84,-,12.21
16,Debt / Equity Ratio,0.11,0.11,0.06,0.05,0.04,0.04,0.06,0.07,0.07,0.07,0.02
17,Debt / FCF Ratio,-,-,-,-,-,-,-0.97,-,1.40,-,0.13
18,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-0.85%,-,-,2.79%
19,Earnings Yield,-2.23%,-1.95%,-1.05%,-0.91%,-1.20%,-0.21%,2.23%,0.87%,0.53%,3.51%,4.03%
20,FCF Yield,-1.54%,-1.34%,-0.66%,-0.64%,-1.74%,-1.01%,-7.45%,0.71%,4.28%,5.08%,6.50%
21,Buyback Yield / Dilution,-0.00%,-,-0.00%,-45.32%,-52.88%,-4.03%,1.63%,1.04%,-,-,-0.47%
22,Total Shareholder Return,-0.00%,-,-0.00%,-45.32%,-52.88%,-4.03%,1.63%,1.04%,-,-,-0.47%
