,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,459,376,289,404,471,567,675,691,283,214,317,Upgrade
1,Market Cap Growth,-6.86%,-6.86%,-38.66%,-28.70%,-30.19%,-17.98%,138.77%,222.77%,-10.84%,-42.86%,6.41%,Upgrade
2,Enterprise Value,-134,-196,-361,16,-26,13,826,846,440,459,669,Upgrade
3,Last Close Price,0.58,0.47,0.36,0.51,0.60,0.73,0.87,0.90,0.37,0.28,0.41,Upgrade
4,PE Ratio,-,-,-,-,-,-,15.34,3.75,4.10,-,-,Upgrade
5,PS Ratio,1.28,1.05,0.76,0.83,0.75,0.72,0.77,0.76,0.35,0.30,0.39,Upgrade
6,PB Ratio,0.36,0.29,0.20,0.28,0.29,0.32,0.35,0.37,0.15,0.14,0.19,Upgrade
7,P/TBV Ratio,0.29,0.29,0.20,0.28,0.29,0.32,0.35,0.37,0.15,0.14,0.19,Upgrade
8,P/FCF Ratio,-,-,-,-4.72,-,-,-,-,4.09,48.96,-,Upgrade
9,P/OCF Ratio,-,-,-,-6.45,-,-12.69,-,-,2.85,6.04,21.27,Upgrade
10,EV/Sales Ratio,-,-,-,0.03,-,0.02,0.94,0.93,0.54,0.64,0.83,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,25.49,28.77,-46.95,-,-,Upgrade
12,EV/FCF Ratio,1.40,-,-,-0.19,-,-,-,-,6.36,105.09,-,Upgrade
13,Debt / Equity Ratio,0.04,0.04,0.10,0.07,0.12,0.12,0.15,0.10,0.15,0.13,0.17,Upgrade
14,Debt / FCF Ratio,-,-,-,-1.13,-,-,-,-,3.98,48.11,-,Upgrade
15,Earnings Yield,-39.94%,-48.77%,-59.54%,-56.91%,-45.28%,-16.67%,6.52%,26.65%,24.39%,-87.36%,-30.35%,Upgrade
16,FCF Yield,-20.82%,-25.42%,-12.10%,-21.20%,-22.65%,-15.34%,-23.48%,-3.08%,24.48%,2.04%,-4.58%,Upgrade
17,Buyback Yield / Dilution,-1.10%,-0.58%,-1.62%,-1.47%,1.36%,3.31%,-2.93%,-5.02%,-0.42%,0.99%,2.34%,Upgrade
18,Total Shareholder Return,-1.10%,-0.58%,-1.62%,-1.47%,1.36%,3.31%,-2.93%,-5.02%,-0.42%,0.99%,2.34%,Upgrade
