,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,2380,2436,2429,2612,3280,3631,-,-,-,-,-,-,-
1,Market Cap Growth,-32.90%,-32.90%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1923,1858,1844,1776,2445,3610,-,-,-,-,-,-,-
3,Last Close Price,16.98,17.38,17.33,18.11,22.75,25.18,-,-,-,-,-,-,-
4,PE Ratio,33.68,34.79,25.06,22.08,28.26,36.04,-,-,-,-,-,-,-
5,PS Ratio,0.76,0.79,0.81,0.92,1.21,1.52,-,-,-,-,-,-,-
6,PB Ratio,1.69,1.73,1.73,1.78,2.27,2.58,-,-,-,-,-,-,-
7,P/TBV Ratio,1.93,1.93,1.94,1.98,2.33,2.65,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-11.40,-,285.22,-,-,-,-,-,-,-,-
9,P/OCF Ratio,37.08,37.08,62.13,-,24.90,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.62,0.60,0.61,0.63,0.90,1.51,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,21.09,19.75,13.67,10.75,14.73,26.24,-,-,-,-,-,-,-
12,EV/EBIT Ratio,35.83,33.42,-,13.54,18.43,35.23,-,-,-,-,-,-,-
13,EV/FCF Ratio,-6.13,-,-8.65,-,212.58,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.03,0.03,0.08,0.11,0.12,-,-,0.49,0.49
15,Debt / EBITDA Ratio,0.50,1.18,2.14,0.37,0.22,0.23,0.33,0.46,0.69,-,-,1.19,1.36
16,Debt / FCF Ratio,-,-,-0.21,-,3.86,-,-,-,0.46,-,-,-,2.27
17,Asset Turnover,1.83,1.85,1.54,2.08,2.22,3.27,3.00,-,-,-,-,-,
18,Inventory Turnover,19.35,15.51,13.21,11.97,22.10,18.67,19.77,18.38,-,-,-,-,-
19,Quick Ratio,3.52,3.52,3.79,4.00,4.37,4.24,1.41,1.59,1.67,-,-,-,1.06
20,Current Ratio,4.52,4.52,4.92,5.63,5.05,5.03,2.16,2.39,2.41,-,-,-,1.34
21,Return on Equity (ROE),2.31%,0.91%,6.05%,10.27%,14.32%,18.37%,15.43%,-,-,-,28.66%,-,
22,Return on Assets (ROA),0.12%,-1.07%,3.08%,5.97%,8.62%,9.08%,7.92%,-,-,-,-,-,
23,Return on Capital (ROIC),0.14%,-1.21%,3.52%,6.94%,10.29%,11.48%,9.89%,-,-,-,16.93%,-,
24,Return on Capital Employed (ROCE),3.73%,3.87%,-,8.79%,9.03%,7.15%,15.41%,15.06%,19.18%,-,-,-,6.03%
25,Earnings Yield,2.94%,2.87%,3.99%,4.53%,3.54%,2.77%,-,-,-,-,-,-,-
26,FCF Yield,-13.19%,-12.88%,-8.77%,-10.94%,0.35%,-1.41%,-,-,-,-,-,-,-
27,Dividend Yield,2.92%,-,-,-,2.20%,-,-,-,-,-,-,-,-
28,Payout Ratio,101.20%,1.14%,2159.47%,1.07%,0.66%,0.76%,4.73%,0.96%,0.83%,2.84%,12.48%,5.68%,9.95%
29,Buyback Yield / Dilution,-24.33%,-5.84%,-33.59%,-32.00%,-29.92%,-23.00%,-3.50%,1.43%,-1.38%,-,-,-,-
30,Total Shareholder Return,-21.42%,-5.84%,-33.59%,-32.00%,-27.72%,-23.00%,-3.50%,1.43%,-1.38%,-,-,-,-
