,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,756.98,776.17,661.73,873.51,677.75,608.21,536.48,552.32,572.08,600.96,578.38,814.99
1,Other Revenue,-,-,-,15.82,-,-,-,8.6,-5.14,1.74,3.39,1.5
2,Revenue,756.98,776.17,661.73,889.32,677.75,608.21,536.48,560.93,566.94,602.7,581.78,816.49
3,Revenue Growth (YoY),11.69%,27.61%,23.35%,58.55%,19.54%,0.91%,-7.79%,-31.30%,-,-,-,-
4,Cost of Revenue,707.33,779.57,621.34,821.54,604.2,570.61,500.04,521.26,533.02,572.07,526.74,773.08
5,Gross Profit,49.64,-3.4,40.39,67.79,73.55,37.6,36.44,39.67,33.93,30.63,55.04,43.41
6,"Selling, General & Admin",20.19,18.7,14.5,25.02,19.42,14.18,9.62,16.93,9.33,10.04,11.76,13.46
7,Research & Development,3.19,7.08,2.35,3.39,2.89,3.29,1.98,2.3,1.57,1.5,1.33,1.58
8,Other Operating Expenses,25.06,-21.77,0.7,-0.25,7.76,-6.52,0.22,9.9,-5.26,-0.68,0.78,1.74
9,Operating Expenses,48.86,3.78,19.24,26.94,31.38,10.62,13.81,28.98,5.88,8.64,13.31,17.72
10,Operating Income,0.79,-7.17,21.15,40.85,42.17,26.99,22.63,10.69,28.05,21.99,41.74,25.68
11,Interest Expense,-0.32,-0.44,-0.45,-0.44,-0.5,-0.48,-0.65,-0.83,-0.75,-1.47,-1.66,-2.03
12,Interest & Investment Income,1.32,2.38,2.88,3.85,0.85,0.12,0.15,0.19,0.31,0.24,0.24,0.1
13,Currency Exchange Gain (Loss),-3.09,3.09,-,1.9,-2.32,2.32,-,-0.62,-1.06,1.14,-0.08,-0.22
14,Other Non Operating Income (Expenses),2.66,-0.88,0.64,-2.63,0.31,-0.66,0.52,-1.64,1.55,-0.05,-0.07,-0.08
15,EBT Excluding Unusual Items,1.36,-3.03,24.21,43.53,40.5,28.29,22.64,7.79,28.09,21.86,40.17,23.45
16,Gain (Loss) on Sale of Investments,-,-0.01,0.01,0.68,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,0,-,-,-,-,-,-,-,-,-
18,Asset Writedown,0.07,-0.48,0.48,-2.48,0.25,0.29,-0.29,0.5,-0.5,-,-,-0.01
19,Other Unusual Items,6.61,6.54,0.49,1.63,0.15,-0.15,-,9.64,-0.06,-0.54,0.6,0.42
20,Pretax Income,8.04,3.02,25.2,43.35,40.9,28.43,22.35,17.93,27.53,21.32,40.77,23.87
21,Income Tax Expense,-0.07,-0.24,3.17,6.69,5.84,3.81,2.52,-3.38,6.54,3.82,11.14,5.7
22,Earnings From Continuing Operations,8.11,3.26,22.04,36.66,35.06,24.62,19.83,21.3,20.99,17.5,29.63,18.17
23,Minority Interest in Earnings,0,-0,-0.01,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.05
24,Net Income,8.11,3.26,22.02,36.63,35.03,24.6,19.81,21.29,20.98,17.49,29.62,18.12
25,Net Income to Common,8.11,3.26,22.02,36.63,35.03,24.6,19.81,21.29,20.98,17.49,29.62,18.12
26,Net Income Growth,-76.84%,-86.77%,11.16%,72.03%,67.01%,40.66%,-33.12%,17.52%,-,-,-,-
27,Shares Outstanding (Basic),137,143,138,138,129,107,104,106,105,104,106,105
28,Shares Outstanding (Diluted),137,143,138,138,129,107,104,106,105,104,106,105
29,Shares Change (YoY),5.84%,33.59%,32.00%,29.92%,23.00%,3.50%,-1.43%,1.38%,-,-,-,-
30,EPS (Basic),0.06,0.02,0.16,0.27,0.27,0.23,0.19,0.20,0.20,0.17,0.28,0.17
31,EPS (Diluted),0.06,0.02,0.16,0.27,0.27,0.23,0.19,0.20,0.20,0.17,0.28,0.17
32,EPS Growth,-78.12%,-90.09%,-15.79%,32.42%,35.78%,35.91%,-32.14%,17.83%,-,-,-,-
33,Free Cash Flow,-120.31,58.38,-316.96,65.05,-19.62,-14.04,-19.89,2.46,47.91,86.74,-7.12,89.32
34,Free Cash Flow Per Share,-0.88,0.41,-2.30,0.47,-0.15,-0.13,-0.19,0.02,0.46,0.84,-0.07,0.85
35,Dividend Per Share,-,-,-,0.500,-,-,-,-,-,-,-,-
36,Gross Margin,6.56%,-0.44%,6.10%,7.62%,10.85%,6.18%,6.79%,7.07%,5.98%,5.08%,9.46%,5.32%
