,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,458.14,622.62,571.96,370.62,429.93,67.63,91.13,114.89,-,-,-,156.7
1,Trading Asset Securities,45,-,58.26,573.93,451.25,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,503.14,622.62,630.22,944.54,881.18,67.63,91.13,114.89,-,-,156.7,156.7
3,Cash Growth,-42.90%,820.61%,591.56%,722.16%,-,-,-41.85%,-26.69%,-,-,-,-
4,Accounts Receivable,239.1,220.2,208.31,188.7,210.71,189.04,189.75,158.81,-,-,-,225.52
5,Other Receivables,0.07,0.08,0.12,0.03,0.03,0.02,0.02,0.02,-,-,-,0.03
6,Receivables,239.17,220.28,208.42,188.73,210.74,189.06,189.77,158.83,-,-,-,225.54
7,Inventory,156.67,208.11,264.08,151.27,146.16,112.68,118.26,99.44,-,-,-,85.87
8,Prepaid Expenses,-,-,-,-,-,7.92,7.17,6.7,-,-,-,2.55
9,Other Current Assets,55.73,41.42,77.23,26.36,57.9,15.93,16.16,15.99,-,-,-,10.22
10,Total Current Assets,954.71,1092,1180,1311,1296,393.22,422.49,395.85,-,-,-,480.89
11,"Property, Plant & Equipment",539.41,404.77,366.67,370.92,349.54,316.94,249.62,242.73,-,-,-,273.9
12,Other Intangible Assets,146.32,147.54,149.13,40.22,41.23,41.58,42.27,42.95,-,-,-,23.23
13,Long-Term Deferred Tax Assets,6.26,5.23,3.73,3.52,3.64,3.51,3.62,3.36,-,-,-,6.87
14,Other Long-Term Assets,2.79,2.22,1.85,3.17,-,0.59,12.2,13.61,-,-,-,0.23
15,Total Assets,1649,1652,1701,1729,1690,755.85,730.2,698.51,-,-,-,785.12
16,Accounts Payable,97.62,122.45,127.4,136.9,134.53,83.85,60.47,55.54,-,-,-,51.18
17,Accrued Expenses,4.3,8.1,3.92,24.04,11.49,9.74,20.15,21.63,-,-,-,40.5
18,Short-Term Debt,27.02,27.03,27.03,27.03,27.03,27.04,37.96,41.2,-,-,-,202.61
19,Current Portion of Long-Term Debt,6.45,5.33,-,5.45,-,-,-,1.31,-,-,-,-
20,Current Portion of Leases,-,0.73,6.08,0.48,7.2,7.2,1.35,0.46,-,-,-,0.08
21,Current Income Taxes Payable,3.29,0.41,4.02,6.4,6.27,3.36,0,0,-,-,-,6.59
22,Current Unearned Revenue,27.06,26.63,21.42,32.1,37.5,18.83,19.84,19.96,-,-,-,10.61
