,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1127,1513,1691,1134,1691,1483,1815,1763,2047,1140,1280,1813,429.35,390.41,-,298.77,-,-,-
1,Short-Term Investments,-,125.04,-,118.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,70.59,0.55,17.39,320.52,64.48,0.45,0.46,140.91,150.81,472.24,644.05,103.56,50.98,128.33,-,22.02,-,-,-
3,Cash & Short-Term Investments,1198,1639,1708,1573,1755,1484,1816,1904,2198,1612,1924,1917,480.32,518.74,320.79,320.79,-,-,230.93
4,Cash Growth,-31.76%,10.48%,-5.90%,-17.38%,-20.14%,-7.97%,-5.65%,-0.67%,357.63%,210.75%,499.88%,497.44%,-,-,38.91%,-,-,-,-
5,Accounts Receivable,1284,1260,962.55,964.49,1033,1177,705.58,667.26,545.55,1033,703.41,854.9,1017,939.34,-,752.36,-,-,-
6,Other Receivables,39.45,28.17,24.38,48.52,33.88,67.53,48.03,50.93,31.78,36.47,25.86,44.22,19.64,38.48,-,53.63,-,-,-
7,Receivables,1323,1288,986.93,1013,1067,1245,753.62,718.19,577.33,1069,729.27,899.12,1037,977.82,-,805.99,-,-,-
8,Inventory,519.33,432.7,376.26,375.74,276.01,284.55,281.06,254.26,204.5,246.41,359.05,333.34,320.29,364.65,-,255.75,-,-,-
9,Other Current Assets,205.19,61.62,178.84,22.34,58.12,28.55,78.95,42.38,32.11,17.68,49.79,18.81,50.42,27.53,-,23.71,-,-,-
10,Total Current Assets,3246,3422,3250,2984,3157,3042,2929,2918,3012,2945,3062,3168,1888,1889,-,1406,-,-,-
11,"Property, Plant & Equipment",1086,1052,1015,983.91,822.23,719.21,687.86,581.57,493.71,486.8,407.64,340.26,335.78,341.34,-,293.58,-,-,-
12,Other Intangible Assets,309.48,137.02,137.9,138.68,139.6,140.25,141.19,142.06,142.97,143.71,111.78,112.47,113.16,113.85,-,69.69,-,-,-
13,Long-Term Accounts Receivable,-,-,-,-,-,3.67,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Long-Term Deferred Tax Assets,24.58,25.87,25.13,26.85,25.86,27.75,7.46,20.02,7.12,8.32,6.19,4.97,4.73,5.02,-,4.88,-,-,-
15,Long-Term Deferred Charges,74.52,65.46,67.89,54.48,59.9,54.15,53.68,58.96,64.52,65.87,49.02,44.6,27.88,31.21,-,47.18,-,-,-
16,Other Long-Term Assets,143.97,198.02,108.07,85.08,85.84,66.87,72.31,60.57,45.48,36.15,11.37,13.5,23.08,18.49,-,16.65,-,-,-
17,Total Assets,4885,4900,4605,4273,4290,4054,3892,3782,3766,3686,3648,3684,2393,2399,-,1838,-,-,-
18,Accounts Payable,1469,1394,1095,1111,1027,956.89,671.44,649.22,671.84,887.48,1084,1113,1197,1244,-,949.62,-,-,-
19,Accrued Expenses,48.64,83.89,53.64,94.31,44.47,40.69,30.93,61.06,37.75,46.35,19.61,61.23,35.54,65.07,-,61,-,-,-
20,Short-Term Debt,54.71,5,5,-,297.8,199.6,349.32,349.58,349.36,78.95,-,62.81,263.05,226.55,-,128.45,-,-,-
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,5.59,20,26.96,20.07,23.57,20.01,-,14.59,-,-,-
22,Current Portion of Leases,16.7,16.52,16.7,16.81,15.99,16.54,15.69,5.98,-,6.02,-,3.9,-,3.82,-,-,-,-,-
23,Current Income Taxes Payable,18.1,13.14,8.12,11.36,18.55,18.62,6.64,3.34,14.98,15.48,19.22,20.97,12.32,22.07,-,33.57,-,-,-
24,Current Unearned Revenue,31.07,23.35,33.46,28.18,26.11,19.22,19.22,30.87,38.64,23.89,20.06,29.48,35.15,33.73,-,25.01,-,-,-
25,Other Current Liabilities,261,167.2,174.54,168.91,65.16,75.63,111.45,59.15,71.35,114.81,18.98,8.58,29.63,14.73,-,37.69,-,-,-
26,Total Current Liabilities,1900,1703,1386,1430,1495,1327,1205,1159,1190,1193,1189,1320,1596,1630,-,1250,-,-,-
27,Long-Term Debt,-,300.81,300.6,-,-,-,-,-,-,20,20,30,30,59.8,-,69.8,-,-,-
28,Long-Term Leases,55.89,58.87,64.33,69.99,74.4,81.66,81.93,46.2,52.08,51.21,66.63,32.09,32.18,33.99,-,-,-,-,-
29,Long-Term Unearned Revenue,14.35,15.08,15.81,15.54,16.24,16.95,17.65,18.36,19.07,19.78,20.48,8.56,8.9,9.25,-,9.94,-,-,-
30,Long-Term Deferred Tax Liabilities,21.59,22.44,23.85,25.27,26.58,28.43,9.69,20.5,0.06,0.28,0.56,0.49,0.85,3.49,-,3.24,-,-,-
31,Total Liabilities,1991,2100,1791,1541,1612,1454,1314,1244,1261,1284,1297,1391,1668,1737,-,1333,-,-,-
