,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1195,967.37,824.56,554.05,840.84,723.39,564.24,325.42,394.63,569.13,570.16,480.79,865.67,743.99,615.79,638.95,642.34,378.74,378.74
1,Other Revenue,-70.42,70.42,-,92.61,-54.46,54.46,-,78.68,-44.78,44.78,-,135.27,-90.12,90.12,-,25.9,-3.31,1.66,1.66
2,Revenue,1124,1038,824.56,646.67,786.38,777.85,564.24,404.1,349.85,613.92,570.16,616.06,775.56,834.11,615.79,664.85,639.03,380.39,380.39
3,Revenue Growth (YoY),42.99%,33.42%,46.14%,60.02%,124.78%,26.70%,-1.04%,-34.40%,-54.89%,-26.40%,-7.41%,-7.34%,21.36%,119.28%,61.88%,-,-,-,-
4,Cost of Revenue,925.51,855.31,680.82,509.7,632.71,643.55,462.1,332.16,295.57,512.91,457.92,472.81,648.58,677.03,497.04,480.44,483.46,273,273
5,Gross Profit,198.95,182.48,143.74,136.96,153.66,134.3,102.14,71.94,54.28,101,112.24,143.25,126.98,157.07,118.75,184.41,155.57,107.39,107.39
6,"Selling, General & Admin",50.02,43.29,40.58,34.5,36.56,31.23,30.24,24.29,24.97,30.62,27.66,36.18,28.99,25.92,29.1,18.92,16.05,20.27,20.27
7,Research & Development,35.18,34.88,27.45,30.68,24.63,23.32,22.55,20.31,15.62,23.31,22.21,20.45,26.92,27.79,22.49,23.34,22.84,13.6,13.6
8,Other Operating Expenses,1.45,4.31,3.14,4,-5.37,4.42,3.45,7.89,-0.9,6.27,0.55,8.37,-1.21,1.69,3.69,4.29,-0.01,2.1,2.1
9,Operating Expenses,88.24,83.7,68.7,72.89,53.68,64.58,53.13,59.37,29.63,64.86,49.63,65.4,54.66,55.79,54.1,50.89,36.19,38.75,38.75
10,Operating Income,110.71,98.78,75.03,64.07,99.98,69.72,49.01,12.57,24.64,36.14,62.62,77.85,72.31,101.28,64.65,133.52,119.38,68.65,68.65
11,Interest Expense,-1.47,-2.71,-2.36,-3.53,-2.15,-2.56,-2.68,-0.27,-4.41,-1.01,-1.65,-1.97,-1.15,-2.96,-1.86,-2.54,-3.43,-3.2,-3.2
12,Interest & Investment Income,11.68,20.14,13.12,20.07,11.85,14.89,12.49,14.15,12.31,8.15,8.92,16.01,8.73,6.66,5.2,16.19,0.41,0.99,0.99
13,Currency Exchange Gain (Loss),-22,22,-,36.11,-49.5,49.5,-,150.7,-73.35,73.35,-,-24.85,12.02,-12.02,-,-61.92,-3.56,1.78,1.78
14,Other Non Operating Income (Expenses),7.43,-7.19,6.03,-54.68,50.88,8.65,-10.01,-153.17,150.44,3.89,-2.99,6.01,-10.3,1.19,1.45,20.76,-22.17,-0.65,-0.65
15,EBT Excluding Unusual Items,106.35,131.02,91.82,62.04,111.06,140.19,48.81,23.98,109.63,120.52,66.89,73.04,81.61,94.16,69.44,106.02,90.63,67.56,67.56
16,Gain (Loss) on Sale of Investments,0.04,0.07,-,-0.14,0.05,0.04,-,0.1,-1.44,-0.39,2.26,-0.02,-11.94,17.43,-2.29,17.58,14.75,-5.32,-5.32
17,Gain (Loss) on Sale of Assets,-,-,-,-0.01,0.27,-0.26,0.18,-4.9,0.2,-,0.05,-0.6,-0.15,-0.23,-,-0.03,-0.69,0.1,0.1
18,Asset Writedown,-5.08,-,-,0.72,-0.72,-,-,0.18,-0.18,0.62,-0.62,0.93,-0.93,-,-,3.99,-3.99,-,-
19,Other Unusual Items,1.21,3.82,2.7,0.7,-5.64,5.64,-,6.98,-,-,-,18.33,-,-,-,2.02,-,-,-
20,Pretax Income,102.52,134.91,94.52,63.32,105.01,145.61,48.99,26.34,108.22,120.76,68.57,91.69,68.59,111.35,67.15,129.57,100.69,62.35,62.35
21,Income Tax Expense,8.08,13.07,9.23,4.52,13.12,16.27,6.84,-9.31,13.19,12.95,8.5,10.64,5.68,13.29,8.49,18.54,13.97,9.22,9.22
22,Net Income,94.44,121.84,85.29,58.8,91.89,129.34,42.15,35.65,95.02,107.8,60.07,81.05,62.9,98.06,58.66,111.03,86.73,53.12,53.12
23,Net Income to Common,94.44,121.84,85.29,58.8,91.89,129.34,42.15,35.65,95.02,107.8,60.07,81.05,62.9,98.06,58.66,111.03,86.73,53.12,53.12
24,Net Income Growth,2.78%,-5.80%,102.33%,64.93%,-3.30%,19.98%,-29.83%,-56.01%,51.06%,9.93%,2.42%,-27.00%,-27.47%,84.59%,10.41%,-,-,-,-
25,Shares Outstanding (Basic),377,369,371,368,367,362,383,382,365,380,366,338,275,275,274,276,274,274,274
