,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2067,2101,2155,1861,2351,2267,2329,-,-,-,-,-
1,Market Cap Growth,-7.35%,-7.35%,-7.45%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1772,1819,1874,1496,1987,1854,2305,-,-,-,-,-
3,Last Close Price,15.50,15.75,16.16,13.86,17.52,16.89,17.35,-,-,-,-,-
4,PE Ratio,75.51,77.85,77.32,60.23,58.13,47.20,41.87,-,-,-,-,-
5,PS Ratio,4.10,4.22,4.44,3.99,4.67,4.41,4.53,-,-,-,-,-
6,PB Ratio,1.99,2.02,2.08,1.79,2.27,-,2.28,-,-,-,-,-
7,P/TBV Ratio,2.26,2.26,2.33,1.97,2.51,-,2.30,-,-,-,-,-
8,P/FCF Ratio,-,-39.89,-32.29,-,-,-77.60,-78.57,-,-,-,-,-
9,P/OCF Ratio,78.61,78.61,141.96,-,-,224.59,577.53,-,-,-,-,-
10,EV/Sales Ratio,3.56,3.66,3.86,3.21,3.95,3.61,4.48,-,-,-,-,-
11,EV/EBITDA Ratio,30.38,36.50,40.53,35.62,34.74,27.17,29.52,-,-,-,-,-
12,EV/EBIT Ratio,64.90,78.85,91.96,86.42,59.45,40.92,41.84,-,-,-,-,-
13,EV/FCF Ratio,-33.66,-34.53,-28.07,-,-,-63.45,-77.78,-,-,-,-,-
14,Debt / Equity Ratio,0.12,0.12,0.12,0.11,0.11,-,0.09,0.09,0.08,0.08,-,0.10
15,Debt / EBITDA Ratio,2.19,2.15,2.21,2.41,2.26,-,2.46,0.51,0.50,0.50,-,0.54
16,Debt / FCF Ratio,-,-2.43,-1.79,-,-,-,-3.27,-,-,-,-,-
17,Asset Turnover,0.42,0.41,-,0.35,-,0.43,0.63,0.61,-,-,-,
18,Inventory Turnover,-,1.55,1.43,-,1.10,-,1.24,1.36,1.33,-,-,-
19,Quick Ratio,2.49,2.49,2.91,2.80,2.49,-,3.60,1.60,1.71,1.71,-,-
20,Current Ratio,3.46,3.46,4.28,4.18,3.60,-,5.04,2.87,2.96,2.96,-,-
21,Return on Equity (ROE),2.59%,2.91%,-,2.92%,-,5.16%,10.70%,10.50%,-,-,-,
22,Return on Assets (ROA),1.55%,1.15%,-,0.65%,-,0.69%,6.11%,4.51%,-,-,-,
23,Return on Capital (ROIC),1.80%,1.32%,-,0.82%,-,0.86%,8.39%,6.27%,-,-,-,
24,Return on Capital Employed (ROCE),2.49%,2.10%,1.86%,1.59%,3.09%,-,5.04%,11.37%,11.42%,8.91%,-,-
25,Earnings Yield,1.31%,1.28%,1.29%,1.66%,1.72%,2.12%,2.39%,-,-,-,-,-
26,FCF Yield,-2.55%,-2.51%,-3.10%,-3.81%,-1.88%,-1.29%,-1.27%,-,-,-,-,-
27,Dividend Yield,0.65%,-,-,-,0.57%,-,-,-,-,-,-,-
28,Payout Ratio,64.46%,1.26%,209.26%,9.44%,20.32%,7.87%,10.27%,-,5.85%,5.85%,84.42%,7.12%
29,Buyback Yield / Dilution,-19.03%,-1.35%,-4.66%,-41.97%,-34.19%,-28.39%,-15.50%,-0.76%,-,-,-,-
30,Total Shareholder Return,-18.38%,-1.35%,-4.66%,-41.97%,-33.62%,-28.39%,-15.50%,-0.76%,-,-,-,-
