,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,146.56,131.72,99.2,117.31,133.82,113.14,136.6,128.73,128.73,144.96,132.4
1,Other Revenue,-3.8,3.8,-,2.69,-3.46,3.46,-,1.81,1.81,6.73,-
2,Revenue,142.76,135.51,99.2,120,130.36,116.61,136.6,130.54,130.54,151.69,132.4
3,Revenue Growth (YoY),9.52%,16.22%,-27.38%,-8.08%,-0.14%,-23.13%,3.17%,-,-,-,-
4,Cost of Revenue,111.02,110,75.08,89.71,102.73,90.71,98.85,97.88,97.88,111.12,95.14
5,Gross Profit,31.74,25.52,24.12,30.29,27.62,25.89,37.75,32.67,32.67,40.58,37.26
6,"Selling, General & Admin",14.87,13.92,14.56,17.23,16.5,14.43,12.01,12.87,12.87,12.49,12.84
7,Research & Development,6.21,3.92,3.07,3.9,4,4.52,4.18,4.46,4.46,5.61,4.7
8,Other Operating Expenses,1.53,0.26,0.36,-0.06,0.84,0.29,0.42,1.36,1.36,-0,0.21
9,Operating Expenses,23.37,19.44,19.08,26.71,21.95,22.87,16.61,17.2,17.2,20.69,17.74
10,Operating Income,8.37,6.08,5.04,3.58,5.68,3.02,21.15,15.47,15.47,19.88,19.52
11,Interest Expense,-1.09,-1.98,-,-3.25,-0.99,-0.42,-0.71,-0.48,-0.48,-0.07,-0.97
12,Interest & Investment Income,2.91,3,2.5,7.31,2.67,1.72,-,0.57,0.57,0.24,-
13,Currency Exchange Gain (Loss),-1.07,1.07,-,0.93,-2.03,2.03,-,0.83,0.83,3.36,-
14,Other Non Operating Income (Expenses),-1.04,0.29,-0.38,-5.31,3.91,3.02,0.01,-0.89,-0.89,1.64,0
15,EBT Excluding Unusual Items,8.08,8.46,7.15,3.26,9.25,9.37,20.45,15.5,15.5,25.06,18.55
16,Gain (Loss) on Sale of Investments,-0.02,-0,-,-0,-0.04,-,-,-0.04,-0.04,-0.03,-
17,Gain (Loss) on Sale of Assets,-,0.01,-,-0.08,0.1,-0.1,-,-0.31,-0.31,-0.01,-
18,Asset Writedown,-0.65,0.56,-0.56,0.61,-0.61,2.63,-2.63,-,-,0.8,-0.8
19,Other Unusual Items,-0.15,0.15,-,5.53,-,-,-,2.1,2.1,-,-
20,Pretax Income,7.27,9.18,6.59,9.33,8.69,11.9,17.82,17.25,17.25,25.81,17.75
21,Income Tax Expense,0.53,1.63,0.47,1.77,1.25,1.5,2.27,2.22,2.22,2.96,2.27
22,Earnings From Continuing Operations,6.73,7.55,6.12,7.55,7.44,10.39,15.55,15.04,15.04,22.85,15.48
23,Minority Interest in Earnings,-0.25,-0.25,-0.29,-0.17,-0.06,-0.08,-0.17,-0.07,-0.07,-0.43,-0.22
24,Net Income,6.49,7.29,5.82,7.38,7.38,10.31,15.38,14.97,14.97,22.42,15.27
25,Net Income to Common,6.49,7.29,5.82,7.38,7.38,10.31,15.38,14.97,14.97,22.42,15.27
