,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,424.34,402.73,394.01,462.92,-,511.11,79.39,137.19,137.19,-,-
1,Cash & Short-Term Investments,424.34,402.73,394.01,462.92,-,511.11,79.39,137.19,137.19,-,102.26
2,Cash Growth,-,-21.21%,396.27%,237.42%,-,-,-22.36%,-,-,-,-
3,Accounts Receivable,303.96,241.05,250.65,285.57,-,253.7,301.8,276.27,276.27,-,-
4,Other Receivables,3.65,3.22,3.32,3.04,-,0.85,1.06,0.42,0.42,-,-
5,Receivables,307.61,244.28,253.97,288.61,-,254.55,302.86,276.69,276.69,-,-
6,Inventory,277.3,297.5,315.79,325.35,-,297.46,287.84,295.08,295.08,-,-
7,Other Current Assets,8.2,6.7,4.04,8.22,-,8.3,13.84,7.08,7.08,-,-
8,Total Current Assets,1017,951.2,967.82,1085,-,1071,683.93,716.04,716.04,-,-
9,"Property, Plant & Equipment",198.32,189.31,195.91,188.91,-,137.13,134.98,120.72,120.72,-,-
10,Other Intangible Assets,109.55,110.08,95.35,95.93,-,6.8,6.88,6.93,6.93,-,-
11,Long-Term Deferred Tax Assets,0.02,0.03,0.02,0.03,-,0.01,0.01,0.03,0.03,-,-
12,Long-Term Deferred Charges,5.97,6.08,1.79,1.43,-,1.25,1.6,0.37,0.37,-,-
13,Other Long-Term Assets,59.88,58.61,58.34,11.87,-,88.97,44.33,13.62,13.62,-,-
14,Total Assets,1391,1315,1319,1383,-,1306,871.73,857.71,857.71,-,-
15,Accounts Payable,130.81,103.44,89.63,137.06,-,121.4,118.46,131.6,131.6,-,-
16,Accrued Expenses,10.37,10.21,6.17,17.54,-,7.92,5.24,14.85,14.85,-,-
17,Short-Term Debt,71.36,63.36,37.59,39.04,-,29.03,15.99,3.93,3.93,-,-
18,Current Portion of Long-Term Debt,5.91,2.93,30.44,30.4,-,-,-,-,-,-,-
19,Current Portion of Leases,-,0.04,-,0.04,-,0.99,1.93,2.52,2.52,-,-
20,Current Income Taxes Payable,8.54,1.43,4.69,4.2,-,2.73,10.69,3.2,3.2,-,-
21,Current Unearned Revenue,2.35,1.44,2.7,2.52,-,1.94,2.87,2.59,2.59,-,-
22,Other Current Liabilities,64.4,39.54,60.17,70.54,-,48.7,83.51,82.94,82.94,-,-
23,Total Current Liabilities,293.75,222.39,231.39,301.34,-,212.7,238.69,241.63,241.63,-,-
24,Long-Term Debt,50.52,52.96,42.75,42.79,-,66.57,36.84,36.84,36.84,-,-
25,Long-Term Leases,-,-,0.04,0.04,-,0.21,0.23,0.18,0.18,-,-
26,Long-Term Unearned Revenue,0.83,0.88,0.93,0.99,-,1.16,1.23,1.3,1.3,-,-
27,Long-Term Deferred Tax Liabilities,3.62,4.18,3.73,3.9,-,4.7,5.15,5.04,5.04,-,-
28,Total Liabilities,348.72,280.41,278.85,349.06,-,285.34,282.13,284.99,284.99,-,-
29,Common Stock,133.38,133.38,133.38,133.38,-,133.38,100,100,100,-,-
30,Additional Paid-In Capital,629.94,629.71,629.49,629.26,-,628.91,241.42,241.13,241.13,-,-
31,Retained Earnings,276.37,269.89,275.93,270.11,-,255.35,245.04,229.66,229.66,-,-
32,Comprehensive Income & Other,1.29,0.7,0.1,0.29,-,1.67,2.3,1.25,1.25,-,-
33,Total Common Equity,1041,1034,1039,1033,-,1019,588.75,572.03,572.03,-,522.61
34,Minority Interest,1.47,1.23,1.47,1.17,-,0.94,0.85,0.68,0.68,-,-
35,Shareholders' Equity,1042,1035,1040,1034,-,1020,589.6,572.71,572.71,-,523.84
36,Total Liabilities & Equity,1391,1315,1319,1383,-,1306,871.73,857.71,857.71,-,-
37,Total Debt,127.8,119.29,110.82,112.31,-,96.79,54.99,43.48,43.48,-,52.1
38,Net Cash (Debt),296.54,283.44,283.2,350.61,-,414.32,24.41,93.71,93.71,-,50.16
39,Net Cash Growth,-,-31.59%,1060.22%,274.15%,-,-,-51.34%,-,-,-,-
40,Net Cash Per Share,2.29,2.43,1.95,2.62,-,3.71,0.24,0.94,0.94,-,0.49
41,Filing Date Shares Outstanding,133.38,133.38,133.38,133.38,128.01,133.38,100,100,99.7,96.58,101.77
42,Total Common Shares Outstanding,133.38,133.38,133.38,133.38,128.01,133.38,100,100,99.7,96.58,101.77
43,Working Capital,723.69,728.82,736.42,783.77,-,858.72,445.25,474.41,474.41,-,-
44,Book Value Per Share,7.80,7.75,7.79,7.75,-,7.64,5.89,5.72,5.74,-,5.23
45,Tangible Book Value,931.44,923.6,943.55,937.11,-,1013,581.87,565.11,565.11,-,515.39
46,Tangible Book Value Per Share,6.98,6.92,7.07,7.03,-,7.59,5.82,5.65,5.67,-,5.15
47,Buildings,-,148.08,-,148.08,-,96.86,-,81.78,81.78,-,-
48,Machinery,-,184.04,-,180.13,-,160.62,-,157.79,157.79,-,-
49,Construction In Progress,-,31.22,-,21.48,-,14.26,-,5.19,5.19,-,-
