,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,26.21,25.87,13.33,17.48,30.39,107.2,81.68,30.49,-
1,Cash & Short-Term Investments,26.21,25.87,13.33,17.48,30.39,107.2,81.68,30.49,-
2,Cash Growth,96.68%,47.96%,-56.14%,-83.69%,-62.79%,251.65%,-,-,-
3,Accounts Receivable,513.43,596.84,640.97,692.39,612.61,634.41,490.35,493.45,-
4,Other Receivables,24.56,11.49,12.5,8.9,8.41,5.76,7.45,1.53,-
5,Receivables,537.99,608.33,653.48,701.29,621.02,640.17,497.79,494.99,-
6,Inventory,73.32,89.67,116.74,48.1,76.54,48.85,106.11,57.05,-
7,Restricted Cash,-,0.5,-,0,34.41,8.71,7.7,4.71,-
8,Other Current Assets,8.63,14.22,14.07,17.61,9.25,4.89,3.62,7.61,-
9,Total Current Assets,646.15,738.59,797.61,784.47,771.61,809.82,696.9,594.85,-
10,"Property, Plant & Equipment",517.41,509.12,508.34,494.95,347.56,324.7,178.26,183.77,-
11,Goodwill,-,39.3,-,39.3,-,39.3,-,-,-
12,Other Intangible Assets,39.42,0.16,39.47,0.22,39.56,0.16,0.17,0.19,-
13,Long-Term Accounts Receivable,31.4,24.89,24.86,25.39,30.51,30.73,19.62,17.89,-
14,Long-Term Deferred Tax Assets,4.62,5.02,10.72,4.41,5.52,3.39,0.83,1.58,-
15,Other Long-Term Assets,31.65,35.18,35.78,36.36,53.01,40.83,10.03,10.05,-
16,Total Assets,1271,1352,1417,1385,1248,1249,905.81,808.32,-
17,Accounts Payable,277.07,328.51,385.54,348.41,358.8,328.29,216.42,286.01,-
18,Accrued Expenses,17.81,21.31,23.62,25.79,22.72,41.34,24.97,44.33,-
19,Short-Term Debt,31.92,11.87,327.36,19.59,16.96,-,155.38,159.5,-
20,Current Portion of Long-Term Debt,256.43,290.48,-,282.3,238.61,259.04,-,-,-
21,Current Portion of Leases,-,-,1.23,-,1.17,7.83,7.73,6.81,-
22,Current Income Taxes Payable,0.22,6.93,6.94,1.72,0.88,10.53,4.24,16.51,-
23,Current Unearned Revenue,9.2,4.39,9.08,2.28,2.15,1.9,2.31,0.64,-
24,Other Current Liabilities,49.09,54.05,47.9,64.58,43.29,71.54,7.02,19.13,-
25,Total Current Liabilities,641.74,717.53,801.66,744.67,684.58,720.46,418.07,532.94,-
26,Long-Term Debt,157.17,163.71,145.96,186.21,104.17,65.95,47.3,95.67,-
27,Long-Term Leases,-,-,-,-,-,4.42,6.54,10.35,-
28,Long-Term Unearned Revenue,10.55,11.14,1.56,1.84,1.98,2.12,2.26,2.4,-
29,Long-Term Deferred Tax Liabilities,6.88,6.72,13.88,9.32,14.68,14.17,-,-,-
30,Total Liabilities,816.33,899.1,963.06,942.03,805.41,807.12,474.17,641.35,-
31,Common Stock,6.36,6.36,6.36,6.36,6.36,6.36,6.36,0.01,-
32,Additional Paid-In Capital,220.97,220.97,220.97,220.97,220.97,220.97,220.97,-,-
33,Retained Earnings,99.86,98.69,99.26,88.61,87.89,87.36,77.18,66.96,-
34,Comprehensive Income & Other,127.14,127.14,127.14,127.14,127.14,127.14,127.14,100,-
35,Shareholders' Equity,454.32,453.15,453.72,443.07,442.35,441.82,431.64,166.97,-
36,Total Liabilities & Equity,1271,1352,1417,1385,1248,1249,905.81,808.32,-
37,Total Debt,445.51,466.06,474.55,488.1,360.91,337.23,216.95,272.32,-
38,Net Cash (Debt),-419.3,-440.2,-461.22,-470.61,-330.52,-230.04,-135.27,-241.84,-
39,Net Cash Per Share,-0.56,-0.59,-0.62,-0.63,-0.44,-0.31,-0.20,-0.43,-
40,Filing Date Shares Outstanding,748,748,748,748,748,748,748,748,561
41,Total Common Shares Outstanding,748,748,748,748,748,748,748,560,561
42,Working Capital,4.41,21.06,-4.05,39.81,87.03,89.36,278.83,61.91,-
43,Book Value Per Share,0.61,0.61,0.61,0.59,0.59,0.59,0.58,0.30,-
44,Tangible Book Value,414.9,413.69,414.25,403.56,402.79,402.36,431.47,166.78,-
45,Tangible Book Value Per Share,0.55,0.55,0.55,0.54,0.54,0.54,0.58,0.30,-
46,Buildings,-,229.05,-,97.36,-,96.92,-,49.82,-
47,Machinery,-,292.74,-,189.37,-,186.83,-,170.37,-
48,Construction In Progress,-,19.54,-,221.78,-,31.96,-,1,-
