,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,404,628,815,6919,1945,1683,1601,942,-,-
1,Market Cap Growth,-90.92%,-90.92%,-58.08%,311.11%,21.50%,78.57%,-,-,-,-
2,Enterprise Value,854,1113,1314,7451,2332,1965,1763,1230,-,-
3,Last Close Price,0.54,0.84,1.09,9.25,2.60,2.25,2.14,1.26,-,-
4,PE Ratio,625.48,972.97,-,563.07,1372.94,134.19,63.93,11.93,-,-
5,PS Ratio,0.71,1.11,1.44,11.47,2.71,1.91,1.70,0.95,-,-
6,PB Ratio,0.83,1.29,1.63,14.11,3.88,3.25,2.95,1.82,-,-
7,P/TBV Ratio,1.41,1.41,1.79,15.46,4.26,3.57,3.24,1.82,-,-
8,P/FCF Ratio,8.39,13.05,31.12,-42.64,-,-,-11.55,-,-,-
9,P/OCF Ratio,5.36,5.36,7.78,58745.46,-,46.68,-12.95,-,-,-
10,EV/Sales Ratio,1.51,1.97,2.33,12.35,3.25,2.23,1.88,1.24,-,-
11,EV/EBITDA Ratio,18.08,20.32,17.42,151.01,66.75,32.93,19.26,7.78,-,-
12,EV/EBIT Ratio,94.19,-,28.12,269.41,188.81,51.39,24.61,8.85,-,-
13,EV/FCF Ratio,17.74,23.12,50.14,-45.92,-,-,-12.73,-,-,-
14,Debt / Equity Ratio,0.98,0.98,1.03,1.05,1.10,0.82,0.76,0.50,1.63,-
15,Debt / FCF Ratio,9.94,9.94,19.60,-3.16,-,-,-2.99,-,-52.75,-
16,Return on Capital Employed (ROCE),1.34%,-,6.68%,4.16%,1.71%,5.80%,11.05%,23.68%,38.28%,-
17,Earnings Yield,0.16%,0.10%,1.36%,0.18%,0.07%,0.75%,1.56%,8.38%,-,-
18,FCF Yield,11.92%,7.66%,3.21%,-2.35%,-12.00%,-1.73%,-8.65%,-15.52%,-,-
19,Buyback Yield / Dilution,-,-,-,0.10%,-13.30%,-33.46%,-17.68%,-,-,
20,Total Shareholder Return,-,-,-,0.10%,-13.30%,-33.46%,-17.68%,-,-,
