,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,244.08,281.75,231.02,327.48,306.68,444.4,320.69,501.77,283.13
1,Revenue Growth (YoY),5.65%,-13.96%,-24.67%,-26.31%,-4.37%,-11.43%,13.27%,-,-
2,Cost of Revenue,198.56,210.26,198.24,306.07,270.6,394.15,266.65,393.63,238.77
3,Gross Profit,45.52,71.5,32.78,21.4,36.08,50.24,54.04,108.15,44.36
4,"Selling, General & Admin",39.57,46.81,28.29,26.07,37.25,32.85,30.36,30.33,21.95
5,Other Operating Expenses,8.88,4.97,-19.2,-13.9,-4.42,-12.97,-7.8,-3.95,-1
6,Operating Expenses,46.83,51.55,10.32,18.27,28.29,25.38,20.53,26.14,20.95
7,Operating Income,-1.31,19.95,22.46,3.14,7.79,24.86,33.51,82.01,23.41
8,Interest Expense,-10.05,-8.92,-6.96,-5.43,-7.4,-5.53,-7.04,-6.4,-6.44
9,Interest & Investment Income,0.02,0.01,0.01,0.03,0.09,0.1,0.11,0.04,0.04
10,Currency Exchange Gain (Loss),-,1.28,-,0.05,-,-2.13,-,0.2,-
11,Other Non Operating Income (Expenses),-,-0.79,-,-0.43,-,-0.64,-9.52,-2.52,-4.69
12,EBT Excluding Unusual Items,-11.34,11.54,15.5,-2.64,0.49,16.66,17.06,73.33,12.32
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,1.09,-1.09
14,Gain (Loss) on Sale of Assets,-,-0.43,-,0.08,-,-0.18,-,-0.03,-
15,Asset Writedown,-,-2.34,-,-0.06,-,-0.03,-,-,-
16,Other Unusual Items,11.2,-10.2,-,-,-,-,-,-,-
17,Pretax Income,-0.14,-1.43,15.5,-2.62,0.49,16.45,17.06,74.4,11.23
18,Income Tax Expense,-1.31,-0.86,4.85,-3.34,-0.05,6.27,6.84,18.93,4.07
19,Net Income,1.17,-0.57,10.65,0.72,0.53,10.18,10.22,55.47,7.15
20,Net Income to Common,1.17,-0.57,10.65,0.72,0.53,10.18,10.22,55.47,7.15
21,Net Income Growth,-88.99%,-,1909.25%,-92.90%,-94.81%,-81.65%,42.87%,-,-
22,Shares Outstanding (Basic),748,748,748,748,748,749,660,561,561
23,Shares Outstanding (Diluted),748,748,748,748,748,749,660,561,561
24,Shares Change (YoY),-,-,-,-0.10%,13.30%,33.46%,17.68%,-,-
25,EPS (Basic),0.00,-0.00,0.01,0.00,0.00,0.01,0.02,0.10,0.01
26,EPS (Diluted),0.00,-0.00,0.01,0.00,0.00,0.01,0.02,0.10,0.01
27,EPS Growth,-89.00%,-,1910.73%,-92.89%,-95.43%,-86.25%,21.41%,-,-
28,Free Cash Flow,24.53,20.29,3.49,-153.65,-52.81,27.98,-140.84,19.25,-24.42
29,Free Cash Flow Per Share,0.03,0.03,0.00,-0.21,-0.07,0.04,-0.21,0.03,-0.04
30,Operating Margin,-0.54%,7.08%,9.72%,0.96%,2.54%,5.59%,10.45%,16.34%,8.27%
31,Profit Margin,0.48%,-0.20%,4.61%,0.22%,0.17%,2.29%,3.19%,11.05%,2.53%
32,Free Cash Flow Margin,10.05%,7.20%,1.51%,-46.92%,-17.22%,6.30%,-43.92%,3.84%,-8.62%
33,EBITDA,14.94,36.05,32.41,13.26,17.65,33.31,41.27,90.09,31.02
34,D&A For EBITDA,16.25,16.09,9.95,10.12,9.86,8.45,7.76,8.08,7.61
35,EBIT,-1.31,19.95,22.46,3.14,7.79,24.86,33.51,82.01,23.41
