,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,456.44,390.66,386.81,156.27,206.01,118.55,-
1,Trading Asset Securities,84.58,69.57,70.2,300.81,-,-,-
2,Cash & Short-Term Investments,541.01,460.23,457.01,457.09,206.01,118.55,-
3,Cash Growth,18.38%,0.69%,121.84%,285.55%,-,-,-
4,Accounts Receivable,98.8,105.98,125.2,64.88,58.31,53.44,-
5,Other Receivables,164.9,152.58,119.19,113.76,132.12,134.33,-
6,Receivables,263.7,258.56,244.39,178.64,190.42,187.77,-
7,Inventory,101.19,78.99,94.81,76.63,63.1,74.31,-
8,Other Current Assets,9.56,10.96,20.26,14.72,18.81,9.42,-
9,Total Current Assets,915.46,808.74,816.48,727.08,478.34,390.05,-
10,"Property, Plant & Equipment",763.06,795.65,764.35,802.86,810,753.91,-
11,Goodwill,21.2,21.2,-,-,-,-,-
12,Other Intangible Assets,21.67,26,-,-,-,-,-
13,Long-Term Deferred Tax Assets,12.19,10.08,13.59,13.19,6.76,5.48,-
14,Other Long-Term Assets,20.07,19.43,13.58,17.74,20.97,28.38,-
15,Total Assets,1754,1681,1608,1561,1316,1178,-
16,Accounts Payable,107.63,147.84,118.57,125.12,120.68,68.29,-
17,Accrued Expenses,32.33,47.77,30.36,31.46,25.02,31.89,-
18,Current Portion of Long-Term Debt,575.07,413.81,411.2,406.36,491.95,390.42,-
19,Current Portion of Leases,9.34,9.67,8.47,6.42,8.9,10.45,-
20,Current Income Taxes Payable,-,0.06,0.02,0.02,0,0.02,-
21,Current Unearned Revenue,19.55,19.17,18.61,17.51,21.12,19.5,-
22,Other Current Liabilities,9.53,6.85,9.2,12.09,9.71,8.51,-
23,Total Current Liabilities,753.44,645.17,596.44,598.99,677.39,529.09,-
24,Long-Term Debt,264.44,278.41,199.37,144.56,1242,1268,-
25,Long-Term Leases,10.31,8.41,8.37,6.5,8.96,10.71,-
26,Long-Term Deferred Tax Liabilities,7.87,9.3,3.16,3.51,-,-,-
27,Total Liabilities,1036,941.29,807.33,753.55,1929,1808,-
28,Common Stock,3.16,3.16,3.16,3.16,0.51,54.16,-
29,Additional Paid-In Capital,1286,1264,1264,1264,-,-,-
30,Retained Earnings,-752.65,-712.87,-624.04,-581.68,-687.46,-681.63,-
31,Comprehensive Income & Other,178.56,182.5,157.77,122.05,74.45,-2.75,-
32,Total Common Equity,715.14,736.57,800.67,807.31,-612.5,-630.22,-
33,Minority Interest,2.45,3.24,-,-,-,-,-
34,Shareholders' Equity,717.59,739.81,800.67,807.31,-612.5,-630.22,-
35,Total Liabilities & Equity,1754,1681,1608,1561,1316,1178,-
36,Total Debt,859.16,710.3,627.41,563.83,1752,1680,-
37,Net Cash (Debt),-318.14,-250.07,-170.4,-106.75,-1546,-1561,-
38,Net Cash Per Share,-1.04,-0.82,-0.56,-0.40,-6.13,-13.09,-
39,Filing Date Shares Outstanding,353.26,353.26,353.26,353.26,167.16,119.26,121.12
40,Total Common Shares Outstanding,353.26,353.26,353.26,353.26,167.16,119.26,121.12
41,Working Capital,162.02,163.56,220.05,128.09,-199.05,-139.04,-
42,Book Value Per Share,2.02,2.09,2.27,2.29,-3.66,-5.28,-
43,Tangible Book Value,672.27,689.37,800.67,807.31,-612.5,-630.22,-
44,Tangible Book Value Per Share,1.90,1.95,2.27,2.29,-3.66,-5.28,-
45,Machinery,-,1397,-,1254,1172,1053,-
46,Leasehold Improvements,-,3.13,-,2.53,5.88,6.84,-
