,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,820,1742,2685,3681,3928,-,-,-
1,Market Cap Growth,-52.69%,-52.69%,-31.65%,-,-,-,-,-
2,Enterprise Value,1164,2021,2869,5492,5739,-,-,-
3,Last Close Price,2.32,4.93,7.60,10.42,11.12,-,-,-
4,PE Ratio,-,-,-,-,34.77,-,-,-
5,Forward PE,-,-,29.03,-,-,-,-,-
6,PS Ratio,0.34,0.85,1.36,2.09,2.09,-,-,-
7,PB Ratio,1.07,2.26,3.29,4.25,4.30,-,-,-
8,P/TBV Ratio,2.41,2.41,3.54,4.25,4.30,-,-,-
9,P/OCF Ratio,10.04,10.04,14.82,16.81,10.15,-,-,-
10,EV/Sales Ratio,0.57,0.98,1.45,3.11,3.05,-,-,-
11,EV/EBITDA Ratio,6.62,12.28,17.31,29.12,27.36,-,-,-
12,Debt / Equity Ratio,1.20,1.20,0.96,0.78,0.70,-2.86,-2.67,-
13,Debt / FCF Ratio,-,-,-,-,-,367.69,-,-
14,Earnings Yield,-16.87%,-7.94%,-5.39%,1.86%,2.88%,-,-,-
15,FCF Yield,-25.09%,-11.81%,-6.55%,-2.15%,0.41%,-,-,-
16,Buyback Yield / Dilution,-7.29%,-0.03%,-15.40%,-21.12%,-121.34%,-108.16%,-,-
17,Total Shareholder Return,-7.29%,-0.03%,-15.40%,-21.12%,-121.34%,-108.16%,-,-
