,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q4 2020,Q4 2019,Q4 2017,Q4 2016
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016"
0,Cash & Equivalents,3938,4150,1860,-,65.9,-,1888,-
1,Cash & Short-Term Investments,3938,4150,1860,-,65.9,-,1888,-
2,Cash Growth,5875.89%,-,-1.45%,-,-,-,-,-
3,Accounts Receivable,902.97,1592,4394,-,2713,-,8787,-
4,Other Receivables,778.37,607.5,901.58,-,719.82,-,1499,-
5,Receivables,1681,2200,5296,-,3433,-,10285,-
6,Inventory,7549,8796,13763,-,17917,-,19685,-
7,Prepaid Expenses,-,16.3,-,-,1237,-,712.34,-
8,Other Current Assets,78.4,376.17,152.23,-,261.1,-,79.75,-
9,Total Current Assets,13246,15538,21072,-,22913,-,32650,-
10,"Property, Plant & Equipment",989.86,1060,1272,-,3339,-,5741,-
11,Long-Term Deferred Tax Assets,169.83,167.35,160.43,-,413.6,-,567.17,-
12,Other Long-Term Assets,67727,68277,66569,-,59196,-,57549,-
13,Total Assets,82133,85043,89073,-,85862,-,96507,-
14,Accounts Payable,2908,3348,4821,-,6484,-,10868,-
15,Accrued Expenses,1432,752.53,989.17,-,2123,-,2449,-
16,Short-Term Debt,3600,4800,4000,-,3000,-,7949,-
17,Current Income Taxes Payable,304.17,1596,-,-,2148,-,2990,-
18,Other Current Liabilities,3380,2210,7773,-,2095,-,2515,-
19,Total Current Liabilities,11624,12707,17583,-,15850,-,26771,-
20,Long-Term Debt,-,-,-,-,697.53,-,505.7,-
21,Other Long-Term Liabilities,849.16,836.73,802.14,-,-,-,-,-
22,Total Liabilities,12473,13544,18385,-,16548,-,27277,-
23,Common Stock,50161,50161,50161,-,50161,-,50161,-
24,Retained Earnings,20229,22069,21258,-,19884,-,19799,-
25,Treasury Stock,-730.46,-730.46,-730.46,-,-730.46,-,-730.46,-
26,Shareholders' Equity,69660,71499,70688,-,69315,-,69230,-
27,Total Liabilities & Equity,82133,85043,89073,-,85862,-,96507,-
28,Total Debt,3600,4800,4000,-,3698,-,8455,-
29,Net Cash (Debt),338,-650.28,-2140,-,-3632,-,-6567,-
30,Net Cash Per Share,59.85,-114.81,-376.06,-,-308.09,-,-1105.17,-
31,Filing Date Shares Outstanding,4.99,5.66,5.69,5.69,11.79,6.3,5.94,5.93
32,Total Common Shares Outstanding,4.99,5.66,5.69,5.69,11.79,6.3,5.94,5.93
33,Working Capital,1623,2831,3489,-,7063,-,5879,-
34,Book Value Per Share,13970.75,12623.97,12424.86,-,5880.43,-,11651.09,-
35,Tangible Book Value,69660,71499,70688,-,69315,-,69230,-
36,Tangible Book Value Per Share,13970.75,12623.97,12424.86,-,5880.43,-,11651.09,-
37,Buildings,14231,-,14231,-,-,-,-,-
38,Machinery,6953,-,7051,-,-,-,-,-
